年,罪種00,罪種01,罪種02,年齢層,検挙人員
2020,凶悪犯,殺人,殺人,14歳,2
2020,凶悪犯,殺人,嬰児殺,14歳,0
2020,凶悪犯,殺人,殺人予備,14歳,0
2020,凶悪犯,殺人,自殺関与,14歳,0
2020,凶悪犯,強盗,強盗殺人,14歳,0
2020,凶悪犯,強盗,強盗傷人,14歳,6
2020,凶悪犯,強盗,強盗・強制性交等,14歳,0
2020,凶悪犯,強盗,強盗・準強盗,14歳,7
2020,凶悪犯,放火,,14歳,1
2020,凶悪犯,強制性交等,,14歳,12
2020,粗暴犯,凶器準備集合,,14歳,0
2020,粗暴犯,暴行,,14歳,98
2020,粗暴犯,傷害,傷害致死,14歳,0
2020,粗暴犯,脅迫,,14歳,15
2020,粗暴犯,恐喝,,14歳,30
2020,窃盗犯,侵入盗,,14歳,49
2020,窃盗犯,乗り物盗,,14歳,319
2020,窃盗犯,非侵入盗,,14歳,683
2020,知能犯,詐欺,,14歳,18
2020,知能犯,横領,横領,14歳,0
2020,知能犯,横領,業務上横領,14歳,0
2020,知能犯,偽造,通貨偽造,14歳,0
2020,知能犯,偽造,文書偽造,14歳,1
2020,知能犯,偽造,支払用カード偽造,14歳,0
2020,知能犯,偽造,有価証券偽造,14歳,0
2020,知能犯,偽造,印章偽造,14歳,0
2020,知能犯,汚職,賄賂,14歳,0
2020,知能犯,あっせん利得処罰法,,14歳,0
2020,知能犯,背任,,14歳,0
2020,風俗犯,賭博,普通賭博,14歳,0
2020,風俗犯,賭博,常習賭博,14歳,0
2020,風俗犯,賭博,賭博開張等,14歳,0
2020,風俗犯,わいせつ,強制わいせつ,14歳,44
2020,風俗犯,わいせつ,公然わいせつ,14歳,17
2020,その他の刑法犯,占有離脱物横領,,14歳,130
2020,その他の刑法犯,公務執行妨害,,14歳,2
2020,その他の刑法犯,住居侵入,,14歳,104
2020,その他の刑法犯,逮捕監禁,,14歳,0
2020,その他の刑法犯,略取誘拐・人身売買,,14歳,0
2020,その他の刑法犯,盗品等,,14歳,29
2020,その他の刑法犯,器物損壊等,,14歳,68
2020,粗暴犯,傷害,その他,14歳,194
2020,知能犯,汚職,その他,14歳,0
2020,風俗犯,わいせつ,その他,14歳,6
2020,その他の刑法犯,その他,,14歳,35
2020,凶悪犯,殺人,殺人,15歳,4
2020,凶悪犯,殺人,嬰児殺,15歳,0
2020,凶悪犯,殺人,殺人予備,15歳,0
2020,凶悪犯,殺人,自殺関与,15歳,0
2020,凶悪犯,強盗,強盗殺人,15歳,0
2020,凶悪犯,強盗,強盗傷人,15歳,14
2020,凶悪犯,強盗,強盗・強制性交等,15歳,0
2020,凶悪犯,強盗,強盗・準強盗,15歳,7
2020,凶悪犯,放火,,15歳,8
2020,凶悪犯,強制性交等,,15歳,21
2020,粗暴犯,凶器準備集合,,15歳,0
2020,粗暴犯,暴行,,15歳,108
2020,粗暴犯,傷害,傷害致死,15歳,1
2020,粗暴犯,脅迫,,15歳,19
2020,粗暴犯,恐喝,,15歳,36
2020,窃盗犯,侵入盗,,15歳,56
2020,窃盗犯,乗り物盗,,15歳,585
2020,窃盗犯,非侵入盗,,15歳,931
2020,知能犯,詐欺,,15歳,48
2020,知能犯,横領,横領,15歳,1
2020,知能犯,横領,業務上横領,15歳,0
2020,知能犯,偽造,通貨偽造,15歳,0
2020,知能犯,偽造,文書偽造,15歳,5
2020,知能犯,偽造,支払用カード偽造,15歳,0
2020,知能犯,偽造,有価証券偽造,15歳,0
2020,知能犯,偽造,印章偽造,15歳,0
2020,知能犯,汚職,賄賂,15歳,0
2020,知能犯,あっせん利得処罰法,,15歳,0
2020,知能犯,背任,,15歳,0
2020,風俗犯,賭博,普通賭博,15歳,0
2020,風俗犯,賭博,常習賭博,15歳,0
2020,風俗犯,賭博,賭博開張等,15歳,0
2020,風俗犯,わいせつ,強制わいせつ,15歳,34
2020,風俗犯,わいせつ,公然わいせつ,15歳,13
2020,その他の刑法犯,占有離脱物横領,,15歳,202
2020,その他の刑法犯,公務執行妨害,,15歳,12
2020,その他の刑法犯,住居侵入,,15歳,112
2020,その他の刑法犯,逮捕監禁,,15歳,1
