年,在留資格,性別,年齢,人口
2018,教授,男,0歳,0
2018,芸術,男,0歳,0
2018,宗教,男,0歳,0
2018,報道,男,0歳,0
2018,高度専門職1号イ,男,0歳,0
2018,高度専門職1号ロ,男,0歳,0
2018,高度専門職1号ハ,男,0歳,0
2018,高度専門職2号,男,0歳,0
2018,経営・管理,男,0歳,0
2018,法律・会計業務,男,0歳,0
2018,医療,男,0歳,0
2018,研究,男,0歳,0
2018,教育,男,0歳,0
2018,技術・人文知識・国際業務,男,0歳,0
2018,企業内転勤,男,0歳,0
2018,介護,男,0歳,0
2018,興行,男,0歳,0
2018,技能,男,0歳,0
2018,技能実習1号イ,男,0歳,0
2018,技能実習1号ロ,男,0歳,0
2018,技能実習2号イ,男,0歳,0
2018,技能実習2号ロ,男,0歳,0
2018,技能実習3号イ,男,0歳,0
2018,技能実習3号ロ,男,0歳,0
2018,文化活動,男,0歳,0
2018,留学,男,0歳,0
2018,研修,男,0歳,0
2018,家族滞在,男,0歳,4084
2018,特定活動,男,0歳,117
2018,永住者,男,0歳,1172
2018,日本人の配偶者等,男,0歳,14
2018,永住者の配偶者等,男,0歳,1294
2018,定住者,男,0歳,1131
2018,特別永住者,男,0歳,354
2018,教授,女,0歳,0
2018,芸術,女,0歳,0
2018,宗教,女,0歳,0
2018,報道,女,0歳,0
2018,高度専門職1号イ,女,0歳,0
2018,高度専門職1号ロ,女,0歳,0
2018,高度専門職1号ハ,女,0歳,0
2018,高度専門職2号,女,0歳,0
2018,経営・管理,女,0歳,0
2018,法律・会計業務,女,0歳,0
2018,医療,女,0歳,0
2018,研究,女,0歳,0
2018,教育,女,0歳,0
2018,技術・人文知識・国際業務,女,0歳,0
2018,企業内転勤,女,0歳,0
2018,介護,女,0歳,0
2018,興行,女,0歳,0
2018,技能,女,0歳,0
2018,技能実習1号イ,女,0歳,0
2018,技能実習1号ロ,女,0歳,0
2018,技能実習2号イ,女,0歳,0
2018,技能実習2号ロ,女,0歳,0
2018,技能実習3号イ,女,0歳,0
2018,技能実習3号ロ,女,0歳,0
2018,文化活動,女,0歳,0
2018,留学,女,0歳,0
2018,研修,女,0歳,0
2018,家族滞在,女,0歳,3750
2018,特定活動,女,0歳,94
2018,永住者,女,0歳,1093
2018,日本人の配偶者等,女,0歳,18
2018,永住者の配偶者等,女,0歳,1168
2018,定住者,女,0歳,1077
2018,特別永住者,女,0歳,348
2018,教授,男,1歳,0
2018,芸術,男,1歳,0
2018,宗教,男,1歳,0
2018,報道,男,1歳,0
2018,高度専門職1号イ,男,1歳,0
2018,高度専門職1号ロ,男,1歳,0
2018,高度専門職1号ハ,男,1歳,0
2018,高度専門職2号,男,1歳,0
2018,経営・管理,男,1歳,0
2018,法律・会計業務,男,1歳,0
2018,医療,男,1歳,0
2018,研究,男,1歳,0
2018,教育,男,1歳,0
2018,技術・人文知識・国際業務,男,1歳,0
2018,企業内転勤,男,1歳,0
2018,介護,男,1歳,0
2018,興行,男,1歳,0
2018,技能,男,1歳,0
2018,技能実習1号イ,男,1歳,0
2018,技能実習1号ロ,男,1歳,0
2018,技能実習2号イ,男,1歳,0
2018,技能実習2号ロ,男,1歳,0
2018,技能実習3号イ,男,1歳,0
2018,技能実習3号ロ,男,1歳,0
2018,文化活動,男,1歳,0
2018,留学,男,1歳,0
2018,研修,男,1歳,0
2018,家族滞在,男,1歳,4678
2018,特定活動,男,1歳,155
2018,永住者,男,1歳,1733
2018,日本人の配偶者等,男,1歳,26
2018,永住者の配偶者等,男,1歳,1163
2018,定住者,男,1歳,1391
2018,特別永住者,男,1歳,409
2018,教授,女,1歳,0
2018,芸術,女,1歳,0
2018,宗教,女,1歳,0
2018,報道,女,1歳,0
2018,高度専門職1号イ,女,1歳,0
2018,高度専門職1号ロ,女,1歳,0
2018,高度専門職1号ハ,女,1歳,0
2018,高度専門職2号,女,1歳,0
2018,経営・管理,女,1歳,0
2018,法律・会計業務,女,1歳,0
2018,医療,女,1歳,0
2018,研究,女,1歳,0
2018,教育,女,1歳,0
2018,技術・人文知識・国際業務,女,1歳,0
2018,企業内転勤,女,1歳,0
2018,介護,女,1歳,0
2018,興行,女,1歳,0
2018,技能,女,1歳,0
2018,技能実習1号イ,女,1歳,0
2018,技能実習1号ロ,女,1歳,0
2018,技能実習2号イ,女,1歳,0
2018,技能実習2号ロ,女,1歳,0
2018,技能実習3号イ,女,1歳,0
2018,技能実習3号ロ,女,1歳,0
2018,文化活動,女,1歳,0
2018,留学,女,1歳,0
2018,研修,女,1歳,0
2018,家族滞在,女,1歳,4390
2018,特定活動,女,1歳,154
2018,永住者,女,1歳,1713
2018,日本人の配偶者等,女,1歳,36
2018,永住者の配偶者等,女,1歳,1070
2018,定住者,女,1歳,1407
2018,特別永住者,女,1歳,414
2018,教授,男,2歳,0
2018,芸術,男,2歳,0
2018,宗教,男,2歳,0
2018,報道,男,2歳,0
2018,高度専門職1号イ,男,2歳,0
2018,高度専門職1号ロ,男,2歳,0
2018,高度専門職1号ハ,男,2歳,0
2018,高度専門職2号,男,2歳,0
2018,経営・管理,男,2歳,0
2018,法律・会計業務,男,2歳,0
2018,医療,男,2歳,0
2018,研究,男,2歳,0
2018,教育,男,2歳,0
2018,技術・人文知識・国際業務,男,2歳,0
2018,企業内転勤,男,2歳,0
2018,介護,男,2歳,0
2018,興行,男,2歳,0
2018,技能,男,2歳,0
2018,技能実習1号イ,男,2歳,0
2018,技能実習1号ロ,男,2歳,0
2018,技能実習2号イ,男,2歳,0
2018,技能実習2号ロ,男,2歳,0
2018,技能実習3号イ,男,2歳,0
2018,技能実習3号ロ,男,2歳,0
2018,文化活動,男,2歳,0
2018,留学,男,2歳,0
2018,研修,男,2歳,0
2018,家族滞在,男,2歳,4084
2018,特定活動,男,2歳,128
2018,永住者,男,2歳,2136
2018,日本人の配偶者等,男,2歳,57
2018,永住者の配偶者等,男,2歳,833
2018,定住者,男,2歳,1497
2018,特別永住者,男,2歳,468
2018,教授,女,2歳,0
2018,芸術,女,2歳,0
2018,宗教,女,2歳,0
2018,報道,女,2歳,0
2018,高度専門職1号イ,女,2歳,0
2018,高度専門職1号ロ,女,2歳,0
2018,高度専門職1号ハ,女,2歳,0
2018,高度専門職2号,女,2歳,0
2018,経営・管理,女,2歳,0
2018,法律・会計業務,女,2歳,0
2018,医療,女,2歳,0
2018,研究,女,2歳,0
2018,教育,女,2歳,0
2018,技術・人文知識・国際業務,女,2歳,0
2018,企業内転勤,女,2歳,0
2018,介護,女,2歳,0
2018,興行,女,2歳,0
2018,技能,女,2歳,0
2018,技能実習1号イ,女,2歳,0
2018,技能実習1号ロ,女,2歳,0
2018,技能実習2号イ,女,2歳,0
2018,技能実習2号ロ,女,2歳,0
2018,技能実習3号イ,女,2歳,0
2018,技能実習3号ロ,女,2歳,0
2018,文化活動,女,2歳,0
2018,留学,女,2歳,0
2018,研修,女,2歳,0
2018,家族滞在,女,2歳,3843
2018,特定活動,女,2歳,155
2018,永住者,女,2歳,2026
2018,日本人の配偶者等,女,2歳,62
2018,永住者の配偶者等,女,2歳,779
2018,定住者,女,2歳,1518
2018,特別永住者,女,2歳,401
2018,教授,男,3歳,0
2018,芸術,男,3歳,0
2018,宗教,男,3歳,0
2018,報道,男,3歳,0
2018,高度専門職1号イ,男,3歳,0
2018,高度専門職1号ロ,男,3歳,0
2018,高度専門職1号ハ,男,3歳,0
2018,高度専門職2号,男,3歳,0
2018,経営・管理,男,3歳,0
2018,法律・会計業務,男,3歳,0
2018,医療,男,3歳,0
2018,研究,男,3歳,0
2018,教育,男,3歳,0
2018,技術・人文知識・国際業務,男,3歳,0
2018,企業内転勤,男,3歳,0
2018,介護,男,3歳,0
2018,興行,男,3歳,0
2018,技能,男,3歳,0
2018,技能実習1号イ,男,3歳,0
2018,技能実習1号ロ,男,3歳,0
2018,技能実習2号イ,男,3歳,0
2018,技能実習2号ロ,男,3歳,0
2018,技能実習3号イ,男,3歳,0
2018,技能実習3号ロ,男,3歳,0
2018,文化活動,男,3歳,0
2018,留学,男,3歳,0
2018,研修,男,3歳,0
2018,家族滞在,男,3歳,3840
2018,特定活動,男,3歳,165
2018,永住者,男,3歳,2503
2018,日本人の配偶者等,男,3歳,66
2018,永住者の配偶者等,男,3歳,676
2018,定住者,男,3歳,1732
2018,特別永住者,男,3歳,472
2018,教授,女,3歳,0
2018,芸術,女,3歳,0
2018,宗教,女,3歳,0
2018,報道,女,3歳,0
2018,高度専門職1号イ,女,3歳,0
2018,高度専門職1号ロ,女,3歳,0
2018,高度専門職1号ハ,女,3歳,0
2018,高度専門職2号,女,3歳,0
2018,経営・管理,女,3歳,0
2018,法律・会計業務,女,3歳,0
2018,医療,女,3歳,0
2018,研究,女,3歳,0
2018,教育,女,3歳,0
2018,技術・人文知識・国際業務,女,3歳,0
2018,企業内転勤,女,3歳,0
2018,介護,女,3歳,0
2018,興行,女,3歳,0
2018,技能,女,3歳,0
2018,技能実習1号イ,女,3歳,0
2018,技能実習1号ロ,女,3歳,0
2018,技能実習2号イ,女,3歳,0
2018,技能実習2号ロ,女,3歳,0
2018,技能実習3号イ,女,3歳,0
2018,技能実習3号ロ,女,3歳,0
2018,文化活動,女,3歳,0
2018,留学,女,3歳,0
2018,研修,女,3歳,0
2018,家族滞在,女,3歳,3549
2018,特定活動,女,3歳,171
2018,永住者,女,3歳,2329
2018,日本人の配偶者等,女,3歳,67
2018,永住者の配偶者等,女,3歳,628
2018,定住者,女,3歳,1587
2018,特別永住者,女,3歳,474
2018,教授,男,4歳,0
2018,芸術,男,4歳,0
2018,宗教,男,4歳,0
2018,報道,男,4歳,0
2018,高度専門職1号イ,男,4歳,0
2018,高度専門職1号ロ,男,4歳,0
2018,高度専門職1号ハ,男,4歳,0
2018,高度専門職2号,男,4歳,0
2018,経営・管理,男,4歳,0
2018,法律・会計業務,男,4歳,0
2018,医療,男,4歳,0
2018,研究,男,4歳,0
2018,教育,男,4歳,0
2018,技術・人文知識・国際業務,男,4歳,0
2018,企業内転勤,男,4歳,0
2018,介護,男,4歳,0
2018,興行,男,4歳,0
2018,技能,男,4歳,0
2018,技能実習1号イ,男,4歳,0
2018,技能実習1号ロ,男,4歳,0
2018,技能実習2号イ,男,4歳,0
2018,技能実習2号ロ,男,4歳,0
2018,技能実習3号イ,男,4歳,0
2018,技能実習3号ロ,男,4歳,0
2018,文化活動,男,4歳,0
2018,留学,男,4歳,0
2018,研修,男,4歳,0
2018,家族滞在,男,4歳,3383
2018,特定活動,男,4歳,115
2018,永住者,男,4歳,2660
2018,日本人の配偶者等,男,4歳,83
2018,永住者の配偶者等,男,4歳,522
2018,定住者,男,4歳,1709
2018,特別永住者,男,4歳,506
2018,教授,女,4歳,0
2018,芸術,女,4歳,0
2018,宗教,女,4歳,0
2018,報道,女,4歳,0
2018,高度専門職1号イ,女,4歳,0
2018,高度専門職1号ロ,女,4歳,0
2018,高度専門職1号ハ,女,4歳,0
2018,高度専門職2号,女,4歳,0
2018,経営・管理,女,4歳,0
2018,法律・会計業務,女,4歳,0
2018,医療,女,4歳,0
2018,研究,女,4歳,0
2018,教育,女,4歳,0
2018,技術・人文知識・国際業務,女,4歳,0
2018,企業内転勤,女,4歳,0
2018,介護,女,4歳,0
2018,興行,女,4歳,0
2018,技能,女,4歳,0
2018,技能実習1号イ,女,4歳,0
2018,技能実習1号ロ,女,4歳,0
2018,技能実習2号イ,女,4歳,0
2018,技能実習2号ロ,女,4歳,0
2018,技能実習3号イ,女,4歳,0
2018,技能実習3号ロ,女,4歳,0
2018,文化活動,女,4歳,0
2018,留学,女,4歳,0
2018,研修,女,4歳,0
2018,家族滞在,女,4歳,3194
2018,特定活動,女,4歳,117
2018,永住者,女,4歳,2398
2018,日本人の配偶者等,女,4歳,63
2018,永住者の配偶者等,女,4歳,513
2018,定住者,女,4歳,1706
2018,特別永住者,女,4歳,439
2018,教授,男,5歳,0
2018,芸術,男,5歳,0
2018,宗教,男,5歳,0
2018,報道,男,5歳,0
2018,高度専門職1号イ,男,5歳,0
2018,高度専門職1号ロ,男,5歳,0
2018,高度専門職1号ハ,男,5歳,0
2018,高度専門職2号,男,5歳,0
2018,経営・管理,男,5歳,0
2018,法律・会計業務,男,5歳,0
2018,医療,男,5歳,0
2018,研究,男,5歳,0
2018,教育,男,5歳,0
2018,技術・人文知識・国際業務,男,5歳,0
2018,企業内転勤,男,5歳,0
2018,介護,男,5歳,0
2018,興行,男,5歳,0
2018,技能,男,5歳,0
2018,技能実習1号イ,男,5歳,0
2018,技能実習1号ロ,男,5歳,0
2018,技能実習2号イ,男,5歳,0
2018,技能実習2号ロ,男,5歳,0
2018,技能実習3号イ,男,5歳,0
2018,技能実習3号ロ,男,5歳,0
2018,文化活動,男,5歳,0
2018,留学,男,5歳,0
2018,研修,男,5歳,0
2018,家族滞在,男,5歳,3077
2018,特定活動,男,5歳,122
2018,永住者,男,5歳,2856
2018,日本人の配偶者等,男,5歳,81
2018,永住者の配偶者等,男,5歳,412
2018,定住者,男,5歳,1888
2018,特別永住者,男,5歳,542
2018,教授,女,5歳,0
2018,芸術,女,5歳,0
2018,宗教,女,5歳,0
2018,報道,女,5歳,0
2018,高度専門職1号イ,女,5歳,0
2018,高度専門職1号ロ,女,5歳,0
2018,高度専門職1号ハ,女,5歳,0
2018,高度専門職2号,女,5歳,0
2018,経営・管理,女,5歳,0
2018,法律・会計業務,女,5歳,0
2018,医療,女,5歳,0
2018,研究,女,5歳,0
2018,教育,女,5歳,0
2018,技術・人文知識・国際業務,女,5歳,0
2018,企業内転勤,女,5歳,0
2018,介護,女,5歳,0
2018,興行,女,5歳,0
2018,技能,女,5歳,0
2018,技能実習1号イ,女,5歳,0
2018,技能実習1号ロ,女,5歳,0
2018,技能実習2号イ,女,5歳,0
2018,技能実習2号ロ,女,5歳,0
2018,技能実習3号イ,女,5歳,0
2018,技能実習3号ロ,女,5歳,0
2018,文化活動,女,5歳,0
2018,留学,女,5歳,0
2018,研修,女,5歳,0
2018,家族滞在,女,5歳,2892
2018,特定活動,女,5歳,114
2018,永住者,女,5歳,2716
2018,日本人の配偶者等,女,5歳,70
2018,永住者の配偶者等,女,5歳,414
2018,定住者,女,5歳,1751
2018,特別永住者,女,5歳,476
2018,教授,男,6歳,0
2018,芸術,男,6歳,0
2018,宗教,男,6歳,0
2018,報道,男,6歳,0
2018,高度専門職1号イ,男,6歳,0
2018,高度専門職1号ロ,男,6歳,0
2018,高度専門職1号ハ,男,6歳,0
2018,高度専門職2号,男,6歳,0
2018,経営・管理,男,6歳,0
2018,法律・会計業務,男,6歳,0
2018,医療,男,6歳,0
2018,研究,男,6歳,0
2018,教育,男,6歳,0
2018,技術・人文知識・国際業務,男,6歳,0
2018,企業内転勤,男,6歳,0
2018,介護,男,6歳,0
2018,興行,男,6歳,0
2018,技能,男,6歳,0
2018,技能実習1号イ,男,6歳,0
2018,技能実習1号ロ,男,6歳,0
2018,技能実習2号イ,男,6歳,0
2018,技能実習2号ロ,男,6歳,0
2018,技能実習3号イ,男,6歳,0
2018,技能実習3号ロ,男,6歳,0
2018,文化活動,男,6歳,0
2018,留学,男,6歳,2
2018,研修,男,6歳,0
2018,家族滞在,男,6歳,2627
2018,特定活動,男,6歳,97
2018,永住者,男,6歳,3121
2018,日本人の配偶者等,男,6歳,96
2018,永住者の配偶者等,男,6歳,182
2018,定住者,男,6歳,1834
2018,特別永住者,男,6歳,572
2018,教授,女,6歳,0
2018,芸術,女,6歳,0
2018,宗教,女,6歳,0
2018,報道,女,6歳,0
2018,高度専門職1号イ,女,6歳,0
2018,高度専門職1号ロ,女,6歳,0
2018,高度専門職1号ハ,女,6歳,0
2018,高度専門職2号,女,6歳,0
2018,経営・管理,女,6歳,0
2018,法律・会計業務,女,6歳,0
2018,医療,女,6歳,0
2018,研究,女,6歳,0
2018,教育,女,6歳,0
2018,技術・人文知識・国際業務,女,6歳,0
2018,企業内転勤,女,6歳,0
2018,介護,女,6歳,0
2018,興行,女,6歳,0
2018,技能,女,6歳,0
2018,技能実習1号イ,女,6歳,0
2018,技能実習1号ロ,女,6歳,0
2018,技能実習2号イ,女,6歳,0
2018,技能実習2号ロ,女,6歳,0
2018,技能実習3号イ,女,6歳,0
2018,技能実習3号ロ,女,6歳,0
2018,文化活動,女,6歳,0
2018,留学,女,6歳,2
2018,研修,女,6歳,0
2018,家族滞在,女,6歳,2396
2018,特定活動,女,6歳,82
2018,永住者,女,6歳,2788
2018,日本人の配偶者等,女,6歳,85
2018,永住者の配偶者等,女,6歳,146
2018,定住者,女,6歳,1740
2018,特別永住者,女,6歳,499
2018,教授,男,7歳,0
2018,芸術,男,7歳,0
2018,宗教,男,7歳,0
2018,報道,男,7歳,0
2018,高度専門職1号イ,男,7歳,0
2018,高度専門職1号ロ,男,7歳,0
2018,高度専門職1号ハ,男,7歳,0
2018,高度専門職2号,男,7歳,0
2018,経営・管理,男,7歳,0
2018,法律・会計業務,男,7歳,0
2018,医療,男,7歳,0
2018,研究,男,7歳,0
2018,教育,男,7歳,0
2018,技術・人文知識・国際業務,男,7歳,0
2018,企業内転勤,男,7歳,0
2018,介護,男,7歳,0
2018,興行,男,7歳,0
2018,技能,男,7歳,0
