年,区分,性別,年齢,人口_千人
2013,日本人,男,0歳,527.4836796124562
2013,日本人,男,1歳,527.9957996897498
2013,日本人,男,2歳,542.4824519314094
2013,日本人,男,3歳,528.9957917346169
2013,日本人,男,4歳,529.5073930805885
2013,日本人,男,5歳,544.507427508663
2013,日本人,男,6歳,542.5074878347124
2013,日本人,男,7歳,538.9957121832864
2013,日本人,男,8歳,537.4838307757757
2013,日本人,男,9歳,557.9955610357583
2013,日本人,男,10歳,568.9954735292948
2013,日本人,男,11歳,583.9953542022989
2013,日本人,男,12歳,592.9952826061016
2013,日本人,男,13歳,599.9952269201704
2013,日本人,男,14歳,598.9952348753033
2013,日本人,男,15歳,608.5069437195765
2013,日本人,男,16歳,604.995187144505
2013,日本人,男,17歳,601.9952110099042
2013,日本人,男,18歳,620.9950598623763
2013,日本人,男,19歳,624.995028041844
2013,日本人,男,20歳,611.9951314585736
2013,日本人,男,21歳,618.4805329000134
2013,日本人,男,22歳,608.9951553239729
2013,日本人,男,23歳,614.9951075931745
2013,日本人,男,24歳,626.9950121315779
2013,日本人,男,25歳,645.99486098405
2013,日本人,男,26歳,659.4835220756945
2013,日本人,男,27歳,674.5060150523431
2013,日本人,男,28歳,700.9944234517322
2013,日本人,男,29歳,723.5037581276274
2013,日本人,男,30歳,731.9941768426078
2013,日本人,男,31歳,730.9941847977407
2013,日本人,男,32歳,742.9940893361442
2013,日本人,男,33歳,776.9938188616205
2013,日本人,男,34歳,798.9936438486934
2013,日本人,男,35歳,834.5018979589263
2013,日本人,男,36歳,855.9931904061096
2013,日本人,男,37歳,900.4840843548653
2013,日本人,男,38歳,942.9924983095343
2013,日本人,男,39歳,994.9920846426159
2013,日本人,男,40歳,1010.9919573604868
2013,日本人,男,41歳,993.4833965421715
2013,日本人,男,42歳,965.9923153414742
2013,日本人,男,43歳,937.9925380851995
2013,日本人,男,44歳,920.9926733224612
2013,日本人,男,45歳,900.9928324251223
2013,日本人,男,46歳,898.9928483353883
2013,日本人,男,47歳,699.498400745821
2013,日本人,男,48歳,866.9931028996461
2013,日本人,男,49歳,810.9935483870968
2013,日本人,男,50歳,789.9937154448908
2013,日本人,男,51歳,763.4958999244263
2013,日本人,男,52歳,751.9940177399467
2013,日本人,男,53歳,756.4929892296922
2013,日本人,男,54歳,768.4942113639567
2013,日本人,男,55歳,746.9940575156119
2013,日本人,男,56歳,724.9942325285391
2013,日本人,男,57歳,761.4910029341763
2013,日本人,男,58歳,787.9937313551569
2013,日本人,男,59歳,786.498151313243
2013,日本人,男,60歳,832.4865605713475
2013,日本人,男,61歳,875.9930313034484
2013,日本人,男,62歳,926.992625591663
2013,日本人,男,63歳,993.9920925977486
2013,日本人,男,64歳,1082.9913845909073
2013,日本人,男,65歳,1068.99149596277
2013,日本人,男,66歳,1011.5068142426476
2013,日本人,男,67歳,624.4761424241143
2013,日本人,男,68歳,659.9947496121873
2013,日本人,男,69歳,795.9936677140926
2013,日本人,男,70歳,763.9939222783499
2013,日本人,男,71歳,776.5251856777473
2013,日本人,男,72歳,746.4603117616642
2013,日本人,男,73歳,665.9947018813889
2013,日本人,男,74歳,568.4535423565926
2013,日本人,男,75歳,591.9952905612347
2013,日本人,男,76歳,591.9952905612347
2013,日本人,男,77歳,573.9954337536295
