年,年代,滞在期間,人数
2024,00~04歳,(空白),22.0
2024,00~04歳,5日以内,338805.0
2024,00~04歳,10日以内,193678.0
2024,00~04歳,15日以内,49769.0
2024,00~04歳,20日以内,12136.0
2024,00~04歳,1月以内,8055.0
2024,00~04歳,2月以内,3335.0
2024,00~04歳,3月以内,2325.0
2024,00~04歳,6月以内,203.0
2024,00~04歳,1年以内,22.0
2024,00~04歳,2年以内,7.0
2024,00~04歳,3年以内,1.0
2024,00~04歳,5年以内,
2024,00~04歳,10年以内,
2024,00~04歳,10年を超える,
2024,00~04歳,不詳,109.0
2024,05~09歳,(空白),57.0
2024,05~09歳,5日以内,616706.0
2024,05~09歳,10日以内,390229.0
2024,05~09歳,15日以内,89937.0
2024,05~09歳,20日以内,19290.0
2024,05~09歳,1月以内,10996.0
2024,05~09歳,2月以内,4082.0
2024,05~09歳,3月以内,1742.0
2024,05~09歳,6月以内,136.0
2024,05~09歳,1年以内,16.0
2024,05~09歳,2年以内,8.0
2024,05~09歳,3年以内,5.0
2024,05~09歳,5年以内,2.0
2024,05~09歳,10年以内,6.0
2024,05~09歳,10年を超える,
2024,05~09歳,不詳,7.0
2024,10~14歳,(空白),66.0
2024,10~14歳,5日以内,686362.0
2024,10~14歳,10日以内,416495.0
2024,10~14歳,15日以内,118983.0
2024,10~14歳,20日以内,27444.0
2024,10~14歳,1月以内,13657.0
2024,10~14歳,2月以内,4471.0
2024,10~14歳,3月以内,1300.0
2024,10~14歳,6月以内,83.0
2024,10~14歳,1年以内,12.0
2024,10~14歳,2年以内,8.0
2024,10~14歳,3年以内,
2024,10~14歳,5年以内,1.0
2024,10~14歳,10年以内,8.0
2024,10~14歳,10年を超える,
2024,10~14歳,不詳,2.0
2024,15~19歳,(空白),72.0
2024,15~19歳,5日以内,761748.0
2024,15~19歳,10日以内,458920.0
2024,15~19歳,15日以内,145583.0
2024,15~19歳,20日以内,35614.0
2024,15~19歳,1月以内,20781.0
2024,15~19歳,2月以内,8712.0
2024,15~19歳,3月以内,3887.0
2024,15~19歳,6月以内,318.0
2024,15~19歳,1年以内,23.0
2024,15~19歳,2年以内,24.0
2024,15~19歳,3年以内,1.0
2024,15~19歳,5年以内,5.0
2024,15~19歳,10年以内,8.0
2024,15~19歳,10年を超える,2.0
2024,15~19歳,不詳,1.0
2024,20~24歳,(空白),73.0
2024,20~24歳,5日以内,1450951.0
2024,20~24歳,10日以内,732456.0
2024,20~24歳,15日以内,263821.0
2024,20~24歳,20日以内,73917.0
2024,20~24歳,1月以内,51452.0
2024,20~24歳,2月以内,21896.0
2024,20~24歳,3月以内,14540.0
2024,20~24歳,6月以内,1016.0
2024,20~24歳,1年以内,122.0
2024,20~24歳,2年以内,230.0
2024,20~24歳,3年以内,105.0
2024,20~24歳,5年以内,139.0
2024,20~24歳,10年以内,102.0
2024,20~24歳,10年を超える,1.0
2024,20~24歳,不詳,5.0
2024,25~29歳,(空白),117.0
2024,25~29歳,5日以内,2356591.0
2024,25~29歳,10日以内,1085066.0
2024,25~29歳,15日以内,399891.0
2024,25~29歳,20日以内,116988.0
2024,25~29歳,1月以内,70336.0
2024,25~29歳,2月以内,22306.0
2024,25~29歳,3月以内,16979.0
2024,25~29歳,6月以内,1199.0
2024,25~29歳,1年以内,128.0
2024,25~29歳,2年以内,251.0
2024,25~29歳,3年以内,136.0
2024,25~29歳,5年以内,148.0
2024,25~29歳,10年以内,356.0
2024,25~29歳,10年を超える,3.0
2024,25~29歳,不詳,6.0
2024,30~34歳,(空白),174.0
2024,30~34歳,5日以内,2468445.0
2024,30~34歳,10日以内,1146845.0
2024,30~34歳,15日以内,406682.0
2024,30~34歳,20日以内,122691.0
2024,30~34歳,1月以内,69810.0
2024,30~34歳,2月以内,20226.0
2024,30~34歳,3月以内,14845.0
2024,30~34歳,6月以内,1078.0
2024,30~34歳,1年以内,76.0
2024,30~34歳,2年以内,137.0
2024,30~34歳,3年以内,53.0
2024,30~34歳,5年以内,96.0
2024,30~34歳,10年以内,183.0
2024,30~34歳,10年を超える,25.0
2024,30~34歳,不詳,7.0
2024,35~39歳,(空白),253.0
2024,35~39歳,5日以内,2062132.0
2024,35~39歳,10日以内,997396.0
2024,35~39歳,15日以内,279669.0
2024,35~39歳,20日以内,74555.0
2024,35~39歳,1月以内,44520.0
2024,35~39歳,2月以内,14818.0
2024,35~39歳,3月以内,11580.0
2024,35~39歳,6月以内,921.0
2024,35~39歳,1年以内,71.0
2024,35~39歳,2年以内,61.0
2024,35~39歳,3年以内,29.0
2024,35~39歳,5年以内,45.0
2024,35~39歳,10年以内,91.0
2024,35~39歳,10年を超える,25.0
2024,35~39歳,不詳,1.0
2024,40~44歳,(空白),257.0
2024,40~44歳,5日以内,1936905.0
2024,40~44歳,10日以内,905696.0
2024,40~44歳,15日以内,224499.0
2024,40~44歳,20日以内,53796.0
2024,40~44歳,1月以内,32182.0
2024,40~44歳,2月以内,11378.0
2024,40~44歳,3月以内,8641.0
2024,40~44歳,6月以内,758.0
2024,40~44歳,1年以内,56.0
2024,40~44歳,2年以内,26.0
2024,40~44歳,3年以内,14.0
2024,40~44歳,5年以内,30.0
2024,40~44歳,10年以内,46.0
2024,40~44歳,10年を超える,25.0
2024,40~44歳,不詳,3.0
2024,45~49歳,(空白),257.0
2024,45~49歳,5日以内,1548859.0
2024,45~49歳,10日以内,712365.0
2024,45~49歳,15日以内,189124.0
2024,45~49歳,20日以内,46030.0
2024,45~49歳,1月以内,26311.0
2024,45~49歳,2月以内,9235.0
2024,45~49歳,3月以内,7330.0
2024,45~49歳,6月以内,875.0
2024,45~49歳,1年以内,57.0
2024,45~49歳,2年以内,16.0
2024,45~49歳,3年以内,5.0
2024,45~49歳,5年以内,8.0
2024,45~49歳,10年以内,17.0
2024,45~49歳,10年を超える,15.0
