年,滞在期間,人数
2013,5日以内,6526066.0
2013,10日以内,1701696.0
2013,15日以内,478768.0
2013,20日以内,144499.0
2013,1月以内,127888.0
2013,2月以内,90534.0
2013,3月以内,93142.0
2013,6月以内,16182.0
2013,5年以内,819.0
2013,不詳,95.0
2013,10年を,152.0
2013,10年以内,649.0
2013,2年以内,563.0
2013,3年以内,363.0
2013,1年以内,1050.0
2014,20日以内,174128.0
2014,1年以内,1223.0
2014,3年以内,323.0
2014,10年以内,711.0
2014,10年を,116.0
2014,6月以内,19599.0
2014,2年以内,551.0
2014,5年以内,765.0
2014,不詳,92.0
2014,10日以内,2375332.0
2014,3月以内,103615.0
2014,1月以内,146833.0
2014,2月以内,98538.0
2014,5日以内,8391268.0
2014,15日以内,622858.0
2015,1月以内,184166.0
2015,3月以内,113240.0
2015,2年以内,606.0
2015,1年以内,1228.0
2015,10年を,125.0
2015,10年以内,489.0
2015,5年以内,631.0
2015,3年以内,334.0
2015,2月以内,111273.0
2015,不詳,109.0
2015,5日以内,11941167.0
2015,6月以内,23645.0
2015,15日以内,874253.0
2015,20日以内,231699.0
2015,10日以内,3799484.0
2016,5年以内,649.0
2016,3月以内,121061.0
2016,2月以内,119063.0
2016,不詳,137.0
2016,6月以内,26046.0
2016,10年を,80.0
2016,1年以内,1349.0
2016,2年以内,719.0
2016,3年以内,372.0
2016,10日以内,4921784.0
2016,15日以内,1091197.0
2016,5日以内,13817388.0
2016,10年以内,408.0
2016,20日以内,269027.0
2016,1月以内,204486.0
2017,3年以内,363.0
2017,5日以内,16602758.0
2017,15日以内,1253006.0
2017,10日以内,5836628.0
2017,6月以内,27678.0
2017,1月以内,228583.0
2017,3月以内,131213.0
2017,2月以内,124312.0
2017,1年以内,1689.0
2017,10年を,89.0
2017,不詳,139.0
2017,10年以内,400.0
2017,5年以内,706.0
2017,2年以内,744.0
2017,20日以内,301462.0
2018,6月以内,27898.0
2018,3月以内,140824.0
2018,2月以内,131992.0
2018,1月以内,266050.0
2018,20日以内,350730.0
2018,5年以内,852.0
2018,10年以内,442.0
2018,10年を,115.0
2018,3年以内,560.0
2018,15日以内,1463791.0
2018,5日以内,17882372.0
2018,10日以内,6689600.0
2018,不詳,202.0
2018,2年以内,1113.0
2018,1年以内,1802.0
2019,15日以内,1689584.0
2019,2月以内,141239.0
2019,3年以内,627.0
2019,1月以内,314265.0
2019,20日以内,415009.0
2019,不詳,205.0
2019,2年以内,1160.0
2019,1年以内,1945.0
2019,10日以内,7695812.0
2019,3月以内,151948.0
2019,5日以内,17305375.0
2019,5年以内,887.0
2019,10年以内,414.0
2019,10年を,93.0
2019,6月以内,28972.0
2020,15日以内,346791.0
2020,1月以内,74490.0
2020,20日以内,87127.0
2020,3年以内,1089.0
2020,2年以内,2210.0
2020,5日以内,2061565.0
2020,不詳,125.0
2020,10年を,101.0
2020,10日以内,1261471.0
2020,3月以内,38122.0
2020,2月以内,36337.0
2020,6月以内,18562.0
2020,1年以内,16009.0
2020,5年以内,2196.0
2020,10年以内,1019.0
2021,10日以内,10758.0
2021,20日以内,15021.0
2021,10年以内,1318.0
2021,不詳,143.0
2021,2年以内,4931.0
2021,3年以内,943.0
2021,1年以内,1687.0
2021,10年を超える,99.0
2021,5年以内,2090.0
2021,6月以内,1437.0
2021,15日以内,14934.0
2021,5日以内,1997.0
2021,1月以内,16486.0
2021,2月以内,7532.0
2021,3月以内,4366.0
