年,年代,人数
2013,0~4歳,201621.0
2013,10~14歳,305933.0
2013,15~19歳,428543.0
2013,20~24歳,853151.0
2013,25~29歳,1348715.0
2013,30~34歳,1508929.0
2013,35~39歳,1252522.0
2013,40~44歳,1215729.0
2013,45~49歳,1066693.0
2013,50~54歳,960136.0
2013,55~59歳,752052.0
2013,5~9歳,250920.0
2013,60~64歳,508795.0
2013,65~69歳,296380.0
2013,70歳以上,305102.0
2014,0~4歳,275116.0
2014,10~14歳,385599.0
2014,15~19歳,524634.0
2014,20~24歳,1073722.0
2014,25~29歳,1696486.0
2014,30~34歳,1885387.0
2014,35~39歳,1571329.0
2014,40~44歳,1477955.0
2014,45~49歳,1298616.0
2014,50~54歳,1194565.0
2014,55~59歳,954574.0
2014,5~9歳,347534.0
2014,60~64歳,669342.0
2014,65~69歳,400926.0
2014,70歳以上,394400.0
2015,0~4歳,421014.0
2015,10~14歳,566545.0
2015,15~19歳,809191.0
2015,20~24歳,1564898.0
2015,25~29歳,2427414.0
2015,30~34歳,2565737.0
2015,35~39歳,2133051.0
2015,40~44歳,1942247.0
2015,45~49歳,1737491.0
2015,50~54歳,1614951.0
2015,55~59歳,1308302.0
2015,5~9歳,532728.0
2015,60~64歳,960440.0
2015,65~69歳,579804.0
2015,70歳以上,524434.0
2016,0~4歳,558358.0
2016,10~14歳,657785.0
2016,15~19歳,988481.0
2016,20~24歳,2002154.0
2016,25~29歳,3000135.0
2016,30~34歳,3041679.0
2016,35~39歳,2532425.0
2016,40~44歳,2178820.0
2016,45~49歳,1980926.0
2016,50~54歳,1797312.0
2016,55~59歳,1464686.0
2016,5~9歳,671800.0
2016,60~64歳,1098768.0
2016,65~69歳,667712.0
2016,70歳以上,577871.0
2017,0~4歳,690656.0
2017,10~14歳,810797.0
2017,15~19歳,1205646.0
2017,20~24歳,2442342.0
2017,25~29歳,3570603.0
2017,30~34歳,3471862.0
2017,35~39歳,3017984.0
2017,40~44歳,2501392.0
2017,45~49歳,2330855.0
2017,50~54歳,2046218.0
2017,55~59歳,1721534.0
2017,5~9歳,840438.0
2017,60~64歳,1290367.0
2017,65~69歳,786439.0
2017,70歳以上,701649.0
2018,0~4歳,744539.0
2018,10~14歳,926145.0
2018,15~19歳,1291805.0
2018,20~24歳,2629305.0
2018,25~29歳,3935595.0
2018,30~34歳,3775325.0
2018,35~39歳,3393770.0
2018,40~44歳,2713868.0
2018,45~49歳,2527912.0
2018,50~54歳,2169341.0
2018,55~59歳,1909442.0
2018,5~9歳,970530.0
2018,60~64歳,1437320.0
2018,65~69歳,886807.0
2018,70歳以上,790398.0
2019,0~4歳,762258.0
2019,10~14歳,957189.0
2019,15~19歳,1284465.0
2019,20~24歳,2651129.0
2019,25~29歳,4007169.0
2019,30~34歳,3981469.0
2019,35~39歳,3571529.0
2019,40~44歳,2826860.0
2019,45~49歳,2555217.0
2019,50~54歳,2222187.0
2019,55~59歳,1993995.0
2019,5~9歳,1025634.0
2019,60~64歳,1524573.0
2019,65~69歳,971550.0
2019,70歳以上,851955.0
2020,0~4歳,98129.0
2020,10~14歳,146692.0
2020,15~19歳,201257.0
2020,20~24歳,467231.0
2020,25~29歳,602830.0
2020,30~34歳,562719.0
2020,35~39歳,492612.0
2020,40~44歳,393130.0
2020,45~49歳,332958.0
2020,50~54歳,277774.0
2020,55~59歳,229636.0
2020,5~9歳,167778.0
2020,60~64歳,161718.0
2020,65~69歳,97665.0
2020,70歳以上,75128.0
2021,0~4歳,9185.0
2021,10~14歳,4932.0
2021,15~19歳,14173.0
2021,20~24歳,45797.0
2021,25~29歳,52041.0
2021,30~34歳,49819.0
2021,35~39歳,39871.0
2021,40~44歳,33453.0
2021,45~49歳,28856.0
2021,50~54歳,25808.0
2021,55~59歳,19798.0
2021,5~9歳,6348.0
2021,60~64歳,12355.0
2021,65~69歳,6407.0
2021,70歳以上,4276.0
