年,在留資格,人数
2018,短期滞在,44592
2018,技能実習1号イ,8
2018,技能実習1号ロ,2894
2018,技能実習2号イ,24
2018,技能実習2号ロ,3988
2018,技能実習3号イ,0
2018,技能実習3号ロ,0
2018,特定活動,2286
2018,留学,4100
2018,日本人の配偶者等,3092
2018,その他,5514
2019,短期滞在,47399
2019,技能実習1号イ,12
2019,技能実習1号ロ,4015
2019,技能実習2号イ,21
2019,技能実習2号ロ,5318
2019,技能実習3号イ,0
2019,技能実習3号ロ,0
2019,特定活動,4224
2019,留学,4708
2019,日本人の配偶者等,2946
2019,その他,5524
2020,短期滞在,51239
2020,技能実習1号イ,13
2020,技能実習1号ロ,5309
2020,技能実習2号イ,14
2020,技能実習2号ロ,7048
2020,技能実習3号イ,0
2020,技能実習3号ロ,43
2020,特定活動,5688
2020,留学,5543
2020,日本人の配偶者等,2687
2020,その他,5308
