年,州,国籍・地域,属性,罪種00,罪種01,罪種02,検挙人員
2005,アジア州の国,韓国・朝鮮,,凶悪犯,殺人,,20
2005,アジア州の国,中国,,凶悪犯,殺人,,18
2005,アジア州の国,イラン,,凶悪犯,殺人,,4
2005,アジア州の国,インド,,凶悪犯,殺人,,0
2005,アジア州の国,インドネシア,,凶悪犯,殺人,,0
2005,アジア州の国,スリランカ,,凶悪犯,殺人,,0
2005,アジア州の国,タイ,,凶悪犯,殺人,,3
2005,アジア州の国,パキスタン,,凶悪犯,殺人,,0
2005,アジア州の国,バングラディシュ,,凶悪犯,殺人,,1
2005,アジア州の国,フィリピン,,凶悪犯,殺人,,8
2005,アジア州の国,ベトナム,,凶悪犯,殺人,,0
2005,アジア州の国,マレーシア,,凶悪犯,殺人,,0
2005,アジア州の国,その他,,凶悪犯,殺人,,3
2005,ヨーロッパ州の国,イギリス,,凶悪犯,殺人,,0
2005,ヨーロッパ州の国,イタリア,,凶悪犯,殺人,,0
2005,ヨーロッパ州の国,ロシア,,凶悪犯,殺人,,1
2005,ヨーロッパ州の国,ドイツ,,凶悪犯,殺人,,0
2005,ヨーロッパ州の国,フランス,,凶悪犯,殺人,,0
2005,ヨーロッパ州の国,その他,,凶悪犯,殺人,,0
2005,南北アメリカ州の国,アメリカ,軍人,凶悪犯,殺人,,1
2005,南北アメリカ州の国,アメリカ,軍属,凶悪犯,殺人,,0
2005,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,殺人,,0
2005,南北アメリカ州の国,アメリカ,その他,凶悪犯,殺人,,0
2005,南北アメリカ州の国,カナダ,,凶悪犯,殺人,,1
2005,南北アメリカ州の国,ブラジル,,凶悪犯,殺人,,7
2005,南北アメリカ州の国,その他,,凶悪犯,殺人,,4
2005,アフリカ州の国,,,凶悪犯,殺人,,3
2005,オセアニア州の国,,,凶悪犯,殺人,,0
2005,無国籍,,,凶悪犯,殺人,,0
2005,国籍不明,,,凶悪犯,殺人,,0
2005,アジア州の国,韓国・朝鮮,,凶悪犯,強盗,,55
2005,アジア州の国,中国,,凶悪犯,強盗,,139
2005,アジア州の国,イラン,,凶悪犯,強盗,,2
2005,アジア州の国,インド,,凶悪犯,強盗,,0
2005,アジア州の国,インドネシア,,凶悪犯,強盗,,0
2005,アジア州の国,スリランカ,,凶悪犯,強盗,,2
2005,アジア州の国,タイ,,凶悪犯,強盗,,5
2005,アジア州の国,パキスタン,,凶悪犯,強盗,,4
2005,アジア州の国,バングラディシュ,,凶悪犯,強盗,,1
2005,アジア州の国,フィリピン,,凶悪犯,強盗,,6
2005,アジア州の国,ベトナム,,凶悪犯,強盗,,19
2005,アジア州の国,マレーシア,,凶悪犯,強盗,,0
2005,アジア州の国,その他,,凶悪犯,強盗,,4
2005,ヨーロッパ州の国,イギリス,,凶悪犯,強盗,,1
2005,ヨーロッパ州の国,イタリア,,凶悪犯,強盗,,0
2005,ヨーロッパ州の国,ロシア,,凶悪犯,強盗,,7
2005,ヨーロッパ州の国,ドイツ,,凶悪犯,強盗,,1
2005,ヨーロッパ州の国,フランス,,凶悪犯,強盗,,0
2005,ヨーロッパ州の国,その他,,凶悪犯,強盗,,1
2005,南北アメリカ州の国,アメリカ,軍人,凶悪犯,強盗,,1
2005,南北アメリカ州の国,アメリカ,軍属,凶悪犯,強盗,,1
2005,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,強盗,,4
2005,南北アメリカ州の国,アメリカ,その他,凶悪犯,強盗,,6
2005,南北アメリカ州の国,カナダ,,凶悪犯,強盗,,1
2005,南北アメリカ州の国,ブラジル,,凶悪犯,強盗,,122
2005,南北アメリカ州の国,その他,,凶悪犯,強盗,,21
2005,アフリカ州の国,,,凶悪犯,強盗,,4
2005,オセアニア州の国,,,凶悪犯,強盗,,0
2005,無国籍,,,凶悪犯,強盗,,0
2005,国籍不明,,,凶悪犯,強盗,,0
2005,アジア州の国,韓国・朝鮮,,凶悪犯,放火,,9
2005,アジア州の国,中国,,凶悪犯,放火,,0
2005,アジア州の国,イラン,,凶悪犯,放火,,0
2005,アジア州の国,インド,,凶悪犯,放火,,0
2005,アジア州の国,インドネシア,,凶悪犯,放火,,0
2005,アジア州の国,スリランカ,,凶悪犯,放火,,0
2005,アジア州の国,タイ,,凶悪犯,放火,,0
2005,アジア州の国,パキスタン,,凶悪犯,放火,,0
2005,アジア州の国,バングラディシュ,,凶悪犯,放火,,1
2005,アジア州の国,フィリピン,,凶悪犯,放火,,1
2005,アジア州の国,ベトナム,,凶悪犯,放火,,0
2005,アジア州の国,マレーシア,,凶悪犯,放火,,0
2005,アジア州の国,その他,,凶悪犯,放火,,0
2005,ヨーロッパ州の国,イギリス,,凶悪犯,放火,,0
2005,ヨーロッパ州の国,イタリア,,凶悪犯,放火,,0
2005,ヨーロッパ州の国,ロシア,,凶悪犯,放火,,0
2005,ヨーロッパ州の国,ドイツ,,凶悪犯,放火,,0
2005,ヨーロッパ州の国,フランス,,凶悪犯,放火,,0
2005,ヨーロッパ州の国,その他,,凶悪犯,放火,,0
2005,南北アメリカ州の国,アメリカ,軍人,凶悪犯,放火,,0
2005,南北アメリカ州の国,アメリカ,軍属,凶悪犯,放火,,0
2005,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,放火,,0
2005,南北アメリカ州の国,アメリカ,その他,凶悪犯,放火,,2
2005,南北アメリカ州の国,カナダ,,凶悪犯,放火,,0
2005,南北アメリカ州の国,ブラジル,,凶悪犯,放火,,2
2005,南北アメリカ州の国,その他,,凶悪犯,放火,,0
2005,アフリカ州の国,,,凶悪犯,放火,,0
2005,オセアニア州の国,,,凶悪犯,放火,,0
2005,無国籍,,,凶悪犯,放火,,0
2005,国籍不明,,,凶悪犯,放火,,0
2005,アジア州の国,韓国・朝鮮,,凶悪犯,強姦,,10
2005,アジア州の国,中国,,凶悪犯,強姦,,7
2005,アジア州の国,イラン,,凶悪犯,強姦,,1
2005,アジア州の国,インド,,凶悪犯,強姦,,1
2005,アジア州の国,インドネシア,,凶悪犯,強姦,,0
2005,アジア州の国,スリランカ,,凶悪犯,強姦,,0
2005,アジア州の国,タイ,,凶悪犯,強姦,,1
2005,アジア州の国,パキスタン,,凶悪犯,強姦,,3
2005,アジア州の国,バングラディシュ,,凶悪犯,強姦,,0
2005,アジア州の国,フィリピン,,凶悪犯,強姦,,2
2005,アジア州の国,ベトナム,,凶悪犯,強姦,,1
2005,アジア州の国,マレーシア,,凶悪犯,強姦,,0
2005,アジア州の国,その他,,凶悪犯,強姦,,0
2005,ヨーロッパ州の国,イギリス,,凶悪犯,強姦,,0
2005,ヨーロッパ州の国,イタリア,,凶悪犯,強姦,,0
2005,ヨーロッパ州の国,ロシア,,凶悪犯,強姦,,0
2005,ヨーロッパ州の国,ドイツ,,凶悪犯,強姦,,0
2005,ヨーロッパ州の国,フランス,,凶悪犯,強姦,,0
2005,ヨーロッパ州の国,その他,,凶悪犯,強姦,,1
2005,南北アメリカ州の国,アメリカ,軍人,凶悪犯,強姦,,1
2005,南北アメリカ州の国,アメリカ,軍属,凶悪犯,強姦,,0
2005,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,強姦,,0
2005,南北アメリカ州の国,アメリカ,その他,凶悪犯,強姦,,0
