年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2013,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,殺人,,4.0
2013,正規滞在,正規滞在,技能実習,凶悪犯,殺人,,5.0
2013,正規滞在,正規滞在,留学,凶悪犯,殺人,,1.0
2013,正規滞在,正規滞在,定住者,凶悪犯,殺人,,1.0
2013,正規滞在,正規滞在,その他,凶悪犯,殺人,,5.0
2013,不法滞在,不法入国・上陸,,凶悪犯,殺人,,1.0
2013,正規滞在,正規滞在,短期滞在,凶悪犯,強盗,侵入強盗,1.0
2013,正規滞在,正規滞在,留学,凶悪犯,強盗,侵入強盗,1.0
2013,正規滞在,正規滞在,定住者,凶悪犯,強盗,侵入強盗,10.0
2013,不法滞在,不法入国・上陸,,凶悪犯,強盗,侵入強盗,1.0
2013,不法滞在,不法残留,技能実習,凶悪犯,強盗,侵入強盗,2.0
2013,不法滞在,不法残留,研修,凶悪犯,強盗,侵入強盗,1.0
2013,不法滞在,不法残留,その他,凶悪犯,強盗,侵入強盗,4.0
2013,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,放火,,2.0
2013,正規滞在,正規滞在,定住者,凶悪犯,放火,,2.0
2013,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強姦,,2.0
2013,正規滞在,正規滞在,技能実習,凶悪犯,強姦,,3.0
2013,正規滞在,正規滞在,短期滞在,凶悪犯,強姦,,1.0
2013,正規滞在,正規滞在,留学,凶悪犯,強姦,,1.0
2013,正規滞在,正規滞在,定住者,凶悪犯,強姦,,4.0
2013,正規滞在,正規滞在,その他,凶悪犯,強姦,,1.0
2013,不法滞在,不法残留,短期滞在,凶悪犯,強姦,,1.0
2013,正規滞在,正規滞在,日本人の配偶者等,粗暴犯,,,279.0
2013,正規滞在,正規滞在,興行,粗暴犯,,,6.0
2013,正規滞在,正規滞在,技能実習,粗暴犯,,,22.0
2013,正規滞在,正規滞在,短期滞在,粗暴犯,,,54.0
2013,正規滞在,正規滞在,留学,粗暴犯,,,125.0
2013,正規滞在,正規滞在,研修,粗暴犯,,,15.0
2013,正規滞在,正規滞在,定住者,粗暴犯,,,287.0
2013,正規滞在,正規滞在,その他,粗暴犯,,,202.0
2013,不法滞在,不法入国・上陸,,粗暴犯,,,4.0
2013,不法滞在,不法在留,,粗暴犯,,,5.0
2013,不法滞在,不法残留,短期滞在,粗暴犯,,,3.0
2013,不法滞在,不法残留,留学,粗暴犯,,,7.0
2013,不法滞在,不法残留,研修,粗暴犯,,,4.0
2013,不法滞在,不法残留,その他,粗暴犯,,,20.0
2013,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,侵入盗,,14.0
2013,正規滞在,正規滞在,技能実習,窃盗犯,侵入盗,,7.0
2013,正規滞在,正規滞在,短期滞在,窃盗犯,侵入盗,,10.0
2013,正規滞在,正規滞在,留学,窃盗犯,侵入盗,,23.0
2013,正規滞在,正規滞在,研修,窃盗犯,侵入盗,,2.0
2013,正規滞在,正規滞在,定住者,窃盗犯,侵入盗,,46.0
2013,正規滞在,正規滞在,その他,窃盗犯,侵入盗,,22.0
2013,不法滞在,不法入国・上陸,,窃盗犯,侵入盗,,6.0
2013,不法滞在,不法在留,,窃盗犯,侵入盗,,6.0
2013,不法滞在,不法残留,技能実習,窃盗犯,侵入盗,,4.0
2013,不法滞在,不法残留,短期滞在,窃盗犯,侵入盗,,3.0
2013,不法滞在,不法残留,留学,窃盗犯,侵入盗,,11.0
2013,不法滞在,不法残留,研修,窃盗犯,侵入盗,,1.0
