年,在留資格,性別,年齢,人口
2024,介護,女,20歳,1
2024,介護,女,21歳,21
2024,介護,女,22歳,148
2024,介護,女,23歳,402
2024,介護,女,24歳,532
2024,介護,女,25歳,545
2024,介護,女,26歳,632
2024,介護,女,27歳,698
2024,介護,女,28歳,789
2024,介護,女,29歳,670
2024,介護,女,30歳,645
2024,介護,女,31歳,546
2024,介護,女,32歳,434
2024,介護,女,33歳,333
2024,介護,女,34歳,248
2024,介護,女,35歳,181
2024,介護,女,36歳,170
2024,介護,女,37歳,123
2024,介護,女,38歳,91
2024,介護,女,39歳,84
2024,介護,女,40歳,47
2024,介護,女,41歳,40
2024,介護,女,42歳,30
2024,介護,女,43歳,21
2024,介護,女,44歳,21
2024,介護,女,45歳,11
2024,介護,女,46歳,14
2024,介護,女,47歳,5
2024,介護,女,48歳,4
2024,介護,女,49歳,4
2024,介護,女,50歳,2
2024,介護,女,51歳,2
2024,介護,女,52歳,6
2024,介護,女,53歳,10
2024,介護,女,54歳,3
2024,介護,女,55歳,2
2024,介護,女,56歳,3
2024,介護,女,58歳,1
2024,介護,女,59歳,3
2024,介護,女,61歳,1
2024,介護,女,62歳,1
2024,介護,女,63歳,1
2024,介護,女,64歳,1
2024,介護,男,21歳,6
2024,介護,男,22歳,36
2024,介護,男,23歳,96
2024,介護,男,24歳,143
2024,介護,男,25歳,156
2024,介護,男,26歳,231
2024,介護,男,27歳,224
2024,介護,男,28歳,260
2024,介護,男,29歳,270
2024,介護,男,30歳,265
2024,介護,男,31歳,259
2024,介護,男,32歳,195
2024,介護,男,33歳,184
2024,介護,男,34歳,165
2024,介護,男,35歳,101
2024,介護,男,36歳,103
2024,介護,男,37歳,61
2024,介護,男,38歳,45
2024,介護,男,39歳,35
2024,介護,男,40歳,25
2024,介護,男,41歳,21
2024,介護,男,42歳,12
2024,介護,男,43歳,13
2024,介護,男,44歳,9
2024,介護,男,45歳,2
2024,介護,男,46歳,2
2024,介護,男,47歳,6
2024,介護,男,48歳,3
2024,介護,男,49歳,3
2024,介護,男,50歳,4
2024,介護,男,53歳,2
2024,介護,男,55歳,1
2024,介護,男,58歳,1
2024,介護,男,61歳,1
2024,介護,男,62歳,1
2024,介護,男,66歳,1
2024,企業内転勤,女,20歳,1
2024,企業内転勤,女,21歳,19
2024,企業内転勤,女,22歳,22
2024,企業内転勤,女,23歳,52
2024,企業内転勤,女,24歳,113
2024,企業内転勤,女,25歳,172
2024,企業内転勤,女,26歳,183
2024,企業内転勤,女,27歳,251
2024,企業内転勤,女,28歳,266
2024,企業内転勤,女,29歳,274
2024,企業内転勤,女,30歳,246
2024,企業内転勤,女,31歳,240
2024,企業内転勤,女,32歳,196
2024,企業内転勤,女,33歳,223
2024,企業内転勤,女,34歳,232
2024,企業内転勤,女,35歳,183
2024,企業内転勤,女,36歳,148
2024,企業内転勤,女,37歳,148
2024,企業内転勤,女,38歳,133
2024,企業内転勤,女,39歳,140
2024,企業内転勤,女,40歳,117
2024,企業内転勤,女,41歳,126
2024,企業内転勤,女,42歳,115
2024,企業内転勤,女,43歳,93
2024,企業内転勤,女,44歳,83
2024,企業内転勤,女,45歳,72
2024,企業内転勤,女,46歳,65
2024,企業内転勤,女,47歳,69
2024,企業内転勤,女,48歳,48
2024,企業内転勤,女,49歳,39
2024,企業内転勤,女,50歳,38
2024,企業内転勤,女,51歳,31
2024,企業内転勤,女,52歳,30
2024,企業内転勤,女,53歳,34
2024,企業内転勤,女,54歳,25
2024,企業内転勤,女,55歳,17
2024,企業内転勤,女,56歳,10
2024,企業内転勤,女,57歳,16
2024,企業内転勤,女,58歳,12
2024,企業内転勤,女,59歳,9
2024,企業内転勤,女,60歳,4
2024,企業内転勤,女,61歳,9
2024,企業内転勤,女,62歳,5
2024,企業内転勤,女,63歳,8
2024,企業内転勤,女,64歳,4
2024,企業内転勤,女,65歳,3
2024,企業内転勤,女,67歳,1
2024,企業内転勤,女,68歳,1
2024,企業内転勤,女,69歳,4
2024,企業内転勤,女,70歳,2
2024,企業内転勤,女,72歳,1
2024,企業内転勤,女,74歳,1
2024,企業内転勤,女,77歳,1
2024,企業内転勤,女,79歳,1
2024,企業内転勤,男,19歳,3
2024,企業内転勤,男,20歳,3
2024,企業内転勤,男,21歳,20
2024,企業内転勤,男,22歳,43
2024,企業内転勤,男,23歳,138
2024,企業内転勤,男,24歳,205
2024,企業内転勤,男,25歳,330
2024,企業内転勤,男,26歳,435
2024,企業内転勤,男,27歳,526
2024,企業内転勤,男,28歳,622
2024,企業内転勤,男,29歳,621
2024,企業内転勤,男,30歳,624
2024,企業内転勤,男,31歳,700
2024,企業内転勤,男,32歳,611
2024,企業内転勤,男,33歳,620
2024,企業内転勤,男,34歳,645
2024,企業内転勤,男,35歳,584
2024,企業内転勤,男,36歳,582
2024,企業内転勤,男,37歳,526
2024,企業内転勤,男,38歳,467
2024,企業内転勤,男,39歳,475
2024,企業内転勤,男,40歳,449
2024,企業内転勤,男,41歳,481
2024,企業内転勤,男,42歳,455
2024,企業内転勤,男,43歳,358
2024,企業内転勤,男,44歳,345
2024,企業内転勤,男,45歳,301
2024,企業内転勤,男,46歳,285
2024,企業内転勤,男,47歳,254
2024,企業内転勤,男,48歳,211
2024,企業内転勤,男,49歳,175
2024,企業内転勤,男,50歳,186
2024,企業内転勤,男,51歳,159
2024,企業内転勤,男,52歳,147
2024,企業内転勤,男,53歳,148
2024,企業内転勤,男,54歳,130
2024,企業内転勤,男,55歳,123
2024,企業内転勤,男,56歳,87
2024,企業内転勤,男,57歳,71
2024,企業内転勤,男,58歳,57
2024,企業内転勤,男,59歳,50
2024,企業内転勤,男,60歳,53
2024,企業内転勤,男,61歳,40
2024,企業内転勤,男,62歳,20
2024,企業内転勤,男,63歳,21
2024,企業内転勤,男,64歳,20
2024,企業内転勤,男,65歳,16
2024,企業内転勤,男,66歳,10
2024,企業内転勤,男,67歳,7
2024,企業内転勤,男,68歳,7
2024,企業内転勤,男,69歳,10
2024,企業内転勤,男,70歳,6
2024,企業内転勤,男,71歳,6
2024,企業内転勤,男,75歳,3
2024,企業内転勤,男,76歳,1
2024,企業内転勤,男,77歳,1
2024,企業内転勤,男,78歳,1
2024,企業内転勤,男,80歳以上,1
2024,医療,女,21歳,2
2024,医療,女,22歳,7
2024,医療,女,23歳,30
2024,医療,女,24歳,64
2024,医療,女,25歳,108
2024,医療,女,26歳,139
2024,医療,女,27歳,193
2024,医療,女,28歳,212
2024,医療,女,29歳,180
2024,医療,女,30歳,180
2024,医療,女,31歳,172
2024,医療,女,32歳,149
2024,医療,女,33歳,166
2024,医療,女,34歳,145
2024,医療,女,35歳,82
2024,医療,女,36歳,59
2024,医療,女,37歳,43
2024,医療,女,38歳,27
2024,医療,女,39歳,20
2024,医療,女,40歳,26
2024,医療,女,41歳,14
2024,医療,女,42歳,10
2024,医療,女,43歳,11
2024,医療,女,44歳,5
2024,医療,女,45歳,4
2024,医療,女,46歳,4
2024,医療,女,47歳,2
2024,医療,女,48歳,2
2024,医療,女,49歳,4
2024,医療,女,50歳,2
2024,医療,女,52歳,1
2024,医療,女,54歳,1
2024,医療,女,55歳,3
2024,医療,女,57歳,1
2024,医療,女,60歳,1
2024,医療,女,62歳,1
2024,医療,女,63歳,1
2024,医療,女,64歳,1
2024,医療,女,68歳,1
2024,医療,男,22歳,3
2024,医療,男,23歳,4
2024,医療,男,24歳,20
2024,医療,男,25歳,21
2024,医療,男,26歳,45
2024,医療,男,27歳,37
2024,医療,男,28歳,43
2024,医療,男,29歳,42
2024,医療,男,30歳,39
2024,医療,男,31歳,42
2024,医療,男,32歳,32
2024,医療,男,33歳,46
2024,医療,男,34歳,56
2024,医療,男,35歳,44
2024,医療,男,36歳,23
2024,医療,男,37歳,24
2024,医療,男,38歳,10
2024,医療,男,39歳,16
2024,医療,男,40歳,9
2024,医療,男,41歳,7
2024,医療,男,42歳,6
2024,医療,男,43歳,4
2024,医療,男,44歳,3
2024,医療,男,45歳,7
2024,医療,男,46歳,4
2024,医療,男,48歳,2
2024,医療,男,49歳,3
2024,医療,男,50歳,1
2024,医療,男,51歳,2
2024,医療,男,52歳,1
2024,医療,男,54歳,1
2024,医療,男,55歳,1
2024,医療,男,57歳,1
2024,医療,男,69歳,2
2024,医療,男,70歳,1
2024,医療,男,78歳,1
2024,医療,男,80歳以上,1
2024,報道,女,22歳,1
2024,報道,女,24歳,2
2024,報道,女,25歳,2
2024,報道,女,29歳,4
2024,報道,女,30歳,1
2024,報道,女,31歳,1
2024,報道,女,32歳,1
2024,報道,女,33歳,3
2024,報道,女,34歳,4
2024,報道,女,35歳,1
