年,区分,性別,年齢,人口_千人
2010,日本人,男,0歳,530.9831943411453
2010,日本人,男,1歳,530.4947928106742
2010,日本人,男,2歳,544.9827512540945
2010,日本人,男,3歳,542.9828145522447
2010,日本人,男,4歳,539.98290949947
2010,日本人,男,5歳,537.98297279762
2010,日本人,男,6歳,557.9823398161188
2010,日本人,男,7歳,568.9819916762932
2010,日本人,男,8歳,583.9815169401674
2010,日本人,男,9歳,591.9812637475669
2010,日本人,男,10歳,599.9810105549666
2010,日本人,男,11歳,598.4690925953201
2010,日本人,男,12歳,607.980757362366
2010,日本人,男,13歳,604.9808523095912
2010,日本人,男,14歳,602.4932714672478
2010,日本人,男,15歳,621.9803142753152
2010,日本人,男,16歳,626.4941287198025
2010,日本人,男,17歳,613.9805674679158
2010,日本人,男,18歳,622.4943475928982
2010,日本人,男,19歳,611.9806307660659
2010,日本人,男,20歳,615.9805041697656
2010,日本人,男,21歳,627.4923947195069
2010,日本人,男,22歳,646.979523048439
2010,日本人,男,23歳,661.4902780124023
2010,日本人,男,24歳,676.9785735761872
2010,日本人,男,25歳,703.4679596601027
2010,日本人,男,26歳,725.9770227715095
2010,日本人,男,27歳,734.9767379298339
2010,日本人,男,28歳,732.9768012279841
2010,日本人,男,29歳,745.467538228078
2010,日本人,男,30歳,779.9753137214565
2010,日本人,男,31歳,801.4841749490806
2010,日本人,男,32歳,836.4647112380239
2010,日本人,男,33歳,858.9728134445271
2010,日本人,男,34歳,902.9714208852248
2010,日本人,男,35歳,945.9700599749972
2010,日本人,男,36歳,998.9683825740192
2010,日本人,男,37歳,1014.9678761888184
2010,日本人,男,38歳,996.9684458721694
2010,日本人,男,39歳,968.969332046271
2010,日本人,男,40歳,941.9701865712974
2010,日本人,男,41歳,925.9706929564984
2010,日本人,男,42歳,904.9713575870744
2010,日本人,男,43歳,905.4777769253996
2010,日本人,男,44歳,702.9777507002358
2010,日本人,男,45歳,871.9724020065514
2010,日本人,男,46歳,816.9741427056795
2010,日本人,男,47歳,796.4789079108828
2010,日本人,男,48歳,770.4723507833911
2010,日本人,男,49歳,758.9759783520327
2010,日本人,男,50歳,764.9757884575823
2010,日本人,男,51歳,777.9753770196065
2010,日本人,男,52歳,756.4760574747203
2010,日本人,男,53歳,735.4770615378662
2010,日本人,男,54歳,772.9755352649819
2010,日本人,男,55歳,800.9746490908802
2010,日本人,男,56歳,800.9746490908803
2010,日本人,男,57歳,848.9731299352776
2010,日本人,男,58歳,895.9716424287501
2010,日本人,男,59歳,949.9699333786972
2010,日本人,男,60歳,1020.9676862943678
2010,日本人,男,61歳,1114.9647112813127
2010,日本人,男,62歳,1103.9650594211384
2010,日本人,男,63歳,1047.9668317693418
2010,日本人,男,64歳,648.9794597502888
2010,日本人,男,65歳,688.4600029051546
2010,日本人,男,66歳,832.9736363204786
2010,日本人,男,67歳,802.9745857927303
2010,日本人,男,68歳,818.9740794075294
2010,日本人,男,69歳,790.9749655816308
2010,日本人,男,70歳,708.9775608057854
2010,日本人,男,71歳,609.9806940642159
2010,日本人,男,72歳,639.4424697792298
2010,日本人,男,73歳,644.979586346589
2010,日本人,男,74歳,631.9799977845647
2010,日本人,男,75歳,588.4288647657423
2010,日本人,男,76歳,539.5417469917089
2010,日本人,男,77歳,521.416581081964
2010,日本人,男,78歳,490.98446030414766
2010,日本人,男,79歳,452.98566296899975
2010,日本人,男,80歳,407.9870871773772
2010,日本人,男,81歳,373.9881632459292
2010,日本人,男,82歳,340.989207665406
2010,日本人,男,83歳,304.99034703210805
2010,日本人,男,84歳,271.99139145158483
2010,日本人,男,85歳,224.9928789581124
2010,日本人,男,86歳,178.31799258548486
2010,日本人,男,87歳,138.7035932139064
2010,日本人,男,88歳,112.99642365451868
2010,日本人,男,89歳,91.99708828509486
2010,日本人,男,90歳,79.74669231200808
2010,日本人,男,91歳,53.99829094994698
2010,日本人,男,92歳,44.99857579162249
2010,日本人,男,93歳,35.998860633297994
2010,日本人,男,94歳,27.99911382589844
2010,日本人,男,95歳,19.999367018498887
2010,日本人,男,96歳,14.999525263874164
2010,日本人,男,97歳,9.999683509249442
2010,日本人,男,98歳,6.999778456474609
2010,日本人,男,99歳,3.999873403699777
2010,日本人,男,100歳以上,5.999810105549665
2010,日本人,女,0歳,506.98395391894667
2010,日本人,女,1歳,506.4723870984928
2010,日本人,女,2歳,519.983542480971
2010,日本人,女,3歳,517.983605779121
2010,日本人,女,4歳,513.9837323754214
2010,日本人,女,5歳,512.9837640244964
2010,日本人,女,6歳,533.9830993939202
2010,日本人,女,7歳,540.9828778503949
2010,日本人,女,8歳,556.9823714651939
2010,日本人,女,9歳,563.9821499216685
2010,日本人,女,10歳,567.9820233253683
2010,日本人,女,11歳,570.4939096359396
2010,日本人,女,12歳,579.9816435364677
2010,日本人,女,13歳,577.9817068346176
2010,日本人,女,14歳,573.4695092204867
2010,日本人,女,15歳,589.981327045717
2010,日本人,女,16歳,592.4672910577045
2010,日本人,女,17歳,580.9816118873925
2010,日本人,女,18歳,588.4673253772092
2010,日本人,女,19歳,580.9816118873927
2010,日本人,女,20歳,584.9814852910923
2010,日本人,女,21歳,597.4688351635497
2010,日本人,女,22歳,614.9805358188407
2010,日本人,女,23歳,632.4687680844754
2010,日本人,女,24歳,645.9795546975139
2010,日本人,女,25歳,676.4883646163205
2010,日本人,女,26歳,698.9778772965361
2010,日本人,女,27歳,706.9776241039356
2010,日本人,女,28歳,708.9775608057854
2010,日本人,女,29歳,719.4860958769652
2010,日本人,女,30歳,752.976168246483
2010,日本人,女,31歳,771.4660410558567
2010,日本人,女,32歳,807.4832576825845
2010,日本人,女,33歳,829.9737312677038
2010,日本人,女,34歳,871.9724020065513
2010,日本人,女,35歳,913.971072745399
2010,日本人,女,36歳,963.9694902916464
2010,日本人,女,37歳,982.9688889592202
2010,日本人,女,38歳,961.9695535897964
2010,日本人,女,39歳,938.9702815185226
2010,日本人,女,40歳,911.9711360435492
2010,日本人,女,41歳,900.9714841833749
2010,日本人,女,42歳,882.9720538667258
2010,日本人,女,43歳,882.4656345284006
2010,日本人,女,44歳,689.9781621382116
2010,日本人,女,45歳,856.9728767426772
2010,日本人,女,46歳,800.9746490908803
2010,日本人,女,47歳,783.4710865505291
2010,日本人,女,48歳,760.4791944826986
2010,日本人,女,49歳,749.9762631937082
2010,日本人,女,50歳,757.9760100011077
2010,日本人,女,51歳,773.9755036159069
2010,日本人,女,52歳,756.4760574747203
2010,日本人,女,53歳,736.4763510236515
2010,日本人,女,54歳,775.9754403177567
2010,日本人,女,55歳,802.9745857927302
2010,日本人,女,56歳,806.9744591964301
2010,日本人,女,57歳,862.9726868482269
2010,日本人,女,58歳,913.9710727453988
2010,日本人,女,59歳,971.9692370990458
2010,日本人,女,60歳,1047.9668317693413
2010,日本人,女,61歳,1150.9635719146108
2010,日本人,女,62歳,1144.963761809061
2010,日本人,女,63歳,1088.9655341572643
2010,日本人,女,64歳,683.978352032662
2010,日本人,女,65歳,740.4947705665908
2010,日本人,女,66歳,903.9713892361495
2010,日本人,女,67歳,875.9722754102511
2010,日本人,女,68歳,900.9714841833749
2010,日本人,女,69歳,874.9723070593263
2010,日本人,女,70歳,795.9748073362556
2010,日本人,女,71歳,692.9780671909863
2010,日本人,女,72歳,742.5137911990431
2010,日本人,女,73歳,760.9759150538825
2010,日本人,女,74歳,759.9759467029577
2010,日本人,女,75歳,726.5295167005594
2010,日本人,女,76歳,683.419546189498
2010,日本人,女,77歳,682.5453134316688
2010,日本人,女,78歳,658.9791432595382
2010,日本人,女,79歳,627.9801243808649
2010,日本人,女,80歳,587.9813903438671
2010,日本人,女,81歳,563.9821499216687
2010,日本人,女,82歳,532.9831310429953
2010,日本人,女,83歳,501.9841121643221
2010,日本人,女,84歳,475.9849350402735
2010,日本人,女,85歳,427.9864541958761
2010,日本人,女,86歳,372.6645687741594
2010,日本人,女,87歳,336.28137347544214
2010,日本人,女,88歳,300.9904736284081
2010,日本人,女,89歳,260.9917395914104
2010,日本人,女,90歳,238.24324328212413
2010,日本人,女,91歳,166.99471460446568
2010,日本人,女,92歳,148.9952842878167
2010,日本人,女,93歳,124.99604386561802
2010,日本人,女,94歳,104.99667684711916
2010,日本人,女,95歳,77.99753137214566
2010,日本人,女,96歳,62.99800610827148
2010,日本人,女,97歳,45.99854414254743
2010,日本人,女,98歳,32.99895558052316
2010,日本人,女,99歳,21.99930372034877
2010,日本人,女,100歳以上,37.99879733514789
2011,日本人,男,0歳,543.9913775340382
2011,日本人,男,1歳,529.9915994357358
2011,日本人,男,2歳,529.4800245328054
2011,日本人,男,3歳,544.4796327058099
2011,日本人,男,4歳,542.9913933841594
2011,日本人,男,5歳,538.9914567846444
2011,日本人,男,6歳,537.9914726347656
2011,日本人,男,7歳,557.9911556323406
2011,日本人,男,8歳,568.9909812810067
2011,日本人,男,9歳,583.990743529188
2011,日本人,男,10歳,591.9906167282179
2011,日本人,男,11歳,599.990489927248
2011,日本人,男,12歳,598.9905057773691
