年,人数,在留資格,国籍・地域
2013,62009,,
2014,59061,,
2015,60007,,
2016,62818,,
2017,65270,,
2018,44592,短期滞在,
2018,8,技能実習1号イ,
2018,2894,技能実習1号ロ,
2018,24,技能実習2号イ,
2018,3988,技能実習2号ロ,
2018,0,技能実習3号イ,
2018,0,技能実習3号ロ,
2018,2286,特定活動,
2018,4100,留学,
2018,3092,日本人の配偶者等,
2018,5514,その他,
2019,47399,短期滞在,
2019,12,技能実習1号イ,
2019,4015,技能実習1号ロ,
2019,21,技能実習2号イ,
2019,5318,技能実習2号ロ,
2019,0,技能実習3号イ,
2019,0,技能実習3号ロ,
2019,4224,特定活動,
2019,4708,留学,
2019,2946,日本人の配偶者等,
2019,5524,その他,
2020,51239,短期滞在,
2020,13,技能実習1号イ,
2020,5309,技能実習1号ロ,
2020,14,技能実習2号イ,
2020,7048,技能実習2号ロ,
2020,0,技能実習3号イ,
2020,43,技能実習3号ロ,
2020,5688,特定活動,
2020,5543,留学,
2020,2687,日本人の配偶者等,
2020,5308,その他,
2021,11489,短期滞在,韓国
2021,766,短期滞在,ベトナム
2021,3699,短期滞在,中国
2021,7637,短期滞在,タイ
2021,2224,短期滞在,フィリピン
2021,3534,短期滞在,台湾
2021,1931,短期滞在,インドネシア
2021,1776,短期滞在,マレーシア
2021,510,短期滞在,スリランカ
2021,151,短期滞在,ネパール
2021,13182,短期滞在,その他
2021,0,技能実習1号イ,韓国
2021,4,技能実習1号イ,ベトナム
2021,5,技能実習1号イ,中国
2021,2,技能実習1号イ,タイ
2021,2,技能実習1号イ,フィリピン
2021,0,技能実習1号イ,台湾
2021,2,技能実習1号イ,インドネシア
2021,1,技能実習1号イ,マレーシア
2021,0,技能実習1号イ,スリランカ
2021,0,技能実習1号イ,ネパール
2021,1,技能実習1号イ,その他
2021,0,技能実習1号ロ,韓国
2021,2372,技能実習1号ロ,ベトナム
2021,998,技能実習1号ロ,中国
2021,81,技能実習1号ロ,タイ
2021,59,技能実習1号ロ,フィリピン
2021,0,技能実習1号ロ,台湾
2021,340,技能実習1号ロ,インドネシア
2021,0,技能実習1号ロ,マレーシア
2021,4,技能実習1号ロ,スリランカ
2021,1,技能実習1号ロ,ネパール
2021,124,技能実習1号ロ,その他
2021,0,技能実習2号イ,韓国
2021,6,技能実習2号イ,ベトナム
2021,4,技能実習2号イ,中国
2021,0,技能実習2号イ,タイ
2021,1,技能実習2号イ,フィリピン
2021,0,技能実習2号イ,台湾
2021,2,技能実習2号イ,インドネシア
2021,0,技能実習2号イ,マレーシア
2021,0,技能実習2号イ,スリランカ
2021,0,技能実習2号イ,ネパール
2021,0,技能実習2号イ,その他
2021,0,技能実習2号ロ,韓国
2021,3191,技能実習2号ロ,ベトナム
2021,1182,技能実習2号ロ,中国
2021,92,技能実習2号ロ,タイ
2021,92,技能実習2号ロ,フィリピン
2021,0,技能実習2号ロ,台湾
2021,380,技能実習2号ロ,インドネシア
2021,0,技能実習2号ロ,マレーシア
2021,2,技能実習2号ロ,スリランカ
2021,3,技能実習2号ロ,ネパール
2021,153,技能実習2号ロ,その他
2021,0,技能実習3号イ,韓国
2021,0,技能実習3号イ,ベトナム
2021,0,技能実習3号イ,中国
2021,0,技能実習3号イ,タイ
2021,0,技能実習3号イ,フィリピン
2021,0,技能実習3号イ,台湾
2021,0,技能実習3号イ,インドネシア
2021,0,技能実習3号イ,マレーシア
2021,0,技能実習3号イ,スリランカ
2021,0,技能実習3号イ,ネパール
2021,0,技能実習3号イ,その他
2021,0,技能実習3号ロ,韓国
2021,55,技能実習3号ロ,ベトナム
2021,15,技能実習3号ロ,中国
2021,3,技能実習3号ロ,タイ
2021,1,技能実習3号ロ,フィリピン
2021,0,技能実習3号ロ,台湾
2021,3,技能実習3号ロ,インドネシア
2021,0,技能実習3号ロ,マレーシア
2021,0,技能実習3号ロ,スリランカ
2021,0,技能実習3号ロ,ネパール
2021,5,技能実習3号ロ,その他
2021,36,特定活動,韓国
2021,907,特定活動,ベトナム
2021,414,特定活動,中国
2021,33,特定活動,タイ
2021,667,特定活動,フィリピン
2021,8,特定活動,台湾
2021,743,特定活動,インドネシア
2021,0,特定活動,マレーシア
2021,523,特定活動,スリランカ
2021,803,特定活動,ネパール
2021,1426,特定活動,その他
2021,145,留学,韓国
2021,1772,留学,ベトナム
2021,1097,留学,中国
2021,14,留学,タイ
2021,21,留学,フィリピン
2021,9,留学,台湾
2021,80,留学,インドネシア
2021,9,留学,マレーシア
2021,150,留学,スリランカ
2021,93,留学,ネパール
2021,226,留学,その他
2021,215,日本人の配偶者等,韓国
2021,13,日本人の配偶者等,ベトナム
2021,411,日本人の配偶者等,中国
2021,192,日本人の配偶者等,タイ
2021,813,日本人の配偶者等,フィリピン
2021,10,日本人の配偶者等,台湾
2021,24,日本人の配偶者等,インドネシア
2021,6,日本人の配偶者等,マレーシア
2021,21,日本人の配偶者等,スリランカ
2021,3,日本人の配偶者等,ネパール
2021,798,日本人の配偶者等,その他
2021,241,その他,韓国
2021,562,その他,ベトナム
2021,1006,その他,中国
2021,85,その他,タイ
2021,1584,その他,フィリピン
2021,37,その他,台湾
2021,90,その他,インドネシア
2021,12,その他,マレーシア
2021,100,その他,スリランカ
2021,104,その他,ネパール
2021,1739,その他,その他
2022,10109,短期滞在,韓国
2022,6385,短期滞在,タイ
2022,1127,短期滞在,ベトナム
2022,2448,短期滞在,中国
2022,1656,短期滞在,フィリピン
2022,1620,短期滞在,インドネシア
2022,2881,短期滞在,台湾
2022,1330,短期滞在,マレーシア
2022,499,短期滞在,スリランカ
2022,728,短期滞在,インド
2022,9691,短期滞在,その他
2022,0,技能実習1号イ,韓国
2022,2,技能実習1号イ,タイ
2022,2,技能実習1号イ,ベトナム
2022,4,技能実習1号イ,中国
2022,2,技能実習1号イ,フィリピン
2022,2,技能実習1号イ,インドネシア
2022,0,技能実習1号イ,台湾
