年,罪種00,罪種01,罪種02,年代,検挙人員
2005,その他の刑法犯,,,10代(14歳以上),39456
2005,その他の刑法犯,,,20代,22479
2005,その他の刑法犯,,,30代,10883
2005,その他の刑法犯,,,40代,9673
2005,その他の刑法犯,,,50代,14904
2005,その他の刑法犯,,,60代,12119
2005,その他の刑法犯,,,70代以上,5693
2005,凶悪犯,不同意性交等,,10代(14歳以上),152
2005,凶悪犯,不同意性交等,,20代,392
2005,凶悪犯,不同意性交等,,30代,308
2005,凶悪犯,不同意性交等,,40代,118
2005,凶悪犯,不同意性交等,,50代,75
2005,凶悪犯,不同意性交等,,60代,25
2005,凶悪犯,不同意性交等,,70代以上,4
2005,凶悪犯,強盗,,10代(14歳以上),1159
2005,凶悪犯,強盗,,20代,1146
2005,凶悪犯,強盗,,30代,625
2005,凶悪犯,強盗,,40代,413
2005,凶悪犯,強盗,,50代,309
2005,凶悪犯,強盗,,60代,155
2005,凶悪犯,強盗,,70代以上,37
2005,凶悪犯,放火,,10代(14歳以上),86
2005,凶悪犯,放火,,20代,141
2005,凶悪犯,放火,,30代,157
2005,凶悪犯,放火,,40代,122
2005,凶悪犯,放火,,50代,161
2005,凶悪犯,放火,,60代,95
2005,凶悪犯,放火,,70代以上,29
2005,凶悪犯,殺人,,10代(14歳以上),71
2005,凶悪犯,殺人,,20代,253
2005,凶悪犯,殺人,,30代,303
2005,凶悪犯,殺人,,40代,219
2005,凶悪犯,殺人,,50代,247
2005,凶悪犯,殺人,,60代,171
2005,凶悪犯,殺人,,70代以上,74
2005,知能犯,,,10代(14歳以上),1204
2005,知能犯,,,20代,3417
2005,知能犯,,,30代,3265
2005,知能犯,,,40代,2719
2005,知能犯,,,50代,2640
2005,知能犯,,,60代,1400
2005,知能犯,,,70代以上,408
2005,窃盗犯,,,10代(14歳以上),71450
2005,窃盗犯,,,20代,27346
2005,窃盗犯,,,30代,19151
2005,窃盗犯,,,40代,15944
2005,窃盗犯,,,50代,21989
2005,窃盗犯,,,60代,20415
2005,窃盗犯,,,70代以上,17824
2005,粗暴犯,,,10代(14歳以上),10554
2005,粗暴犯,,,20代,10334
2005,粗暴犯,,,30代,10655
2005,粗暴犯,,,40代,6685
2005,粗暴犯,,,50代,6735
2005,粗暴犯,,,60代,3246
2005,粗暴犯,,,70代以上,947
2005,風俗犯,,,10代(14歳以上),390
2005,風俗犯,,,20代,1424
2005,風俗犯,,,30代,1817
2005,風俗犯,,,40代,1175
2005,風俗犯,,,50代,959
2005,風俗犯,,,60代,477
2005,風俗犯,,,70代以上,131
2006,その他の刑法犯,,,10代(14歳以上),37797
2006,その他の刑法犯,,,20代,22264
2006,その他の刑法犯,,,30代,11323
2006,その他の刑法犯,,,40代,9450
2006,その他の刑法犯,,,50代,14163
2006,その他の刑法犯,,,60代,11930
2006,その他の刑法犯,,,70代以上,6684
2006,凶悪犯,不同意性交等,,10代(14歳以上),120
2006,凶悪犯,不同意性交等,,20代,384
2006,凶悪犯,不同意性交等,,30代,310
2006,凶悪犯,不同意性交等,,40代,123
2006,凶悪犯,不同意性交等,,50代,81
2006,凶悪犯,不同意性交等,,60代,32
2006,凶悪犯,不同意性交等,,70代以上,8
2006,凶悪犯,強盗,,10代(14歳以上),913
2006,凶悪犯,強盗,,20代,1010
2006,凶悪犯,強盗,,30代,616
2006,凶悪犯,強盗,,40代,340
2006,凶悪犯,強盗,,50代,283
2006,凶悪犯,強盗,,60代,129
2006,凶悪犯,強盗,,70代以上,44
2006,凶悪犯,放火,,10代(14歳以上),103
2006,凶悪犯,放火,,20代,136
2006,凶悪犯,放火,,30代,171
2006,凶悪犯,放火,,40代,154
2006,凶悪犯,放火,,50代,152
2006,凶悪犯,放火,,60代,71
2006,凶悪犯,放火,,70代以上,38
2006,凶悪犯,殺人,,10代(14歳以上),73
2006,凶悪犯,殺人,,20代,215
2006,凶悪犯,殺人,,30代,268
2006,凶悪犯,殺人,,40代,209
2006,凶悪犯,殺人,,50代,226
2006,凶悪犯,殺人,,60代,167
2006,凶悪犯,殺人,,70代以上,83
2006,知能犯,,,10代(14歳以上),1342
2006,知能犯,,,20代,3546
2006,知能犯,,,30代,3248
