年,属性,罪種00,罪種01,罪種02,検挙人員
2005,在日米軍関係者,その他の刑法犯,,,34
2005,在日米軍関係者,凶悪犯,不同意性交等,,1
2005,在日米軍関係者,凶悪犯,強盗,,6
2005,在日米軍関係者,凶悪犯,放火,,0
2005,在日米軍関係者,凶悪犯,殺人,,1
2005,在日米軍関係者,知能犯,,,6
2005,在日米軍関係者,窃盗犯,,,52
2005,在日米軍関係者,粗暴犯,,,32
2005,在日米軍関係者,風俗犯,,,3
2005,在日米軍関係者以外,その他の刑法犯,,,4101
2005,在日米軍関係者以外,凶悪犯,不同意性交等,,39
2005,在日米軍関係者以外,凶悪犯,強盗,,401
2005,在日米軍関係者以外,凶悪犯,放火,,15
2005,在日米軍関係者以外,凶悪犯,殺人,,73
2005,在日米軍関係者以外,知能犯,,,805
2005,在日米軍関係者以外,窃盗犯,,,6949
2005,在日米軍関係者以外,粗暴犯,,,2018
2005,在日米軍関係者以外,風俗犯,,,250
2006,在日米軍関係者,その他の刑法犯,,,26
2006,在日米軍関係者,凶悪犯,不同意性交等,,1
2006,在日米軍関係者,凶悪犯,強盗,,7
2006,在日米軍関係者,凶悪犯,放火,,0
2006,在日米軍関係者,凶悪犯,殺人,,1
2006,在日米軍関係者,知能犯,,,9
2006,在日米軍関係者,窃盗犯,,,45
2006,在日米軍関係者,粗暴犯,,,26
2006,在日米軍関係者,風俗犯,,,5
2006,在日米軍関係者以外,その他の刑法犯,,,3847
2006,在日米軍関係者以外,凶悪犯,不同意性交等,,35
2006,在日米軍関係者以外,凶悪犯,強盗,,290
2006,在日米軍関係者以外,凶悪犯,放火,,26
2006,在日米軍関係者以外,凶悪犯,殺人,,66
2006,在日米軍関係者以外,知能犯,,,816
2006,在日米軍関係者以外,窃盗犯,,,6866
2006,在日米軍関係者以外,粗暴犯,,,2148
2006,在日米軍関係者以外,風俗犯,,,204
2007,在日米軍関係者,その他の刑法犯,,,28
2007,在日米軍関係者,凶悪犯,不同意性交等,,2
2007,在日米軍関係者,凶悪犯,強盗,,8
2007,在日米軍関係者,凶悪犯,放火,,0
2007,在日米軍関係者,凶悪犯,殺人,,2
2007,在日米軍関係者,知能犯,,,5
2007,在日米軍関係者,窃盗犯,,,48
2007,在日米軍関係者,粗暴犯,,,11
2007,在日米軍関係者,風俗犯,,,0
2007,在日米軍関係者以外,その他の刑法犯,,,3375
2007,在日米軍関係者以外,凶悪犯,不同意性交等,,40
2007,在日米軍関係者以外,凶悪犯,強盗,,248
2007,在日米軍関係者以外,凶悪犯,放火,,21
2007,在日米軍関係者以外,凶悪犯,殺人,,67
2007,在日米軍関係者以外,知能犯,,,817
2007,在日米軍関係者以外,窃盗犯,,,6201
2007,在日米軍関係者以外,粗暴犯,,,2244
2007,在日米軍関係者以外,風俗犯,,,222
2008,在日米軍関係者,その他の刑法犯,,,39
