年,罪種00,罪種01,罪種02,検挙人員
2005,その他の刑法犯,,,2333
2005,凶悪犯,不同意性交等,,21
2005,凶悪犯,強盗,,319
2005,凶悪犯,放火,,4
2005,凶悪犯,殺人,,52
2005,知能犯,,,525
2005,窃盗犯,,,4344
2005,粗暴犯,,,774
2005,風俗犯,,,133
2006,その他の刑法犯,,,2118
2006,凶悪犯,不同意性交等,,21
2006,凶悪犯,強盗,,216
2006,凶悪犯,放火,,18
2006,凶悪犯,殺人,,42
2006,知能犯,,,538
2006,窃盗犯,,,4205
2006,粗暴犯,,,894
2006,風俗犯,,,96
2007,その他の刑法犯,,,1913
2007,凶悪犯,不同意性交等,,27
2007,凶悪犯,強盗,,182
2007,凶悪犯,放火,,9
2007,凶悪犯,殺人,,41
2007,知能犯,,,536
2007,窃盗犯,,,3755
2007,粗暴犯,,,961
2007,風俗犯,,,104
2008,その他の刑法犯,,,1714
2008,凶悪犯,不同意性交等,,11
2008,凶悪犯,強盗,,142
2008,凶悪犯,放火,,10
2008,凶悪犯,殺人,,50
2008,知能犯,,,506
2008,窃盗犯,,,3674
2008,粗暴犯,,,950
2008,風俗犯,,,91
2009,その他の刑法犯,,,1659
2009,凶悪犯,不同意性交等,,15
2009,凶悪犯,強盗,,175
2009,凶悪犯,放火,,4
2009,凶悪犯,殺人,,45
2009,知能犯,,,542
2009,窃盗犯,,,3736
2009,粗暴犯,,,938
2009,風俗犯,,,76
2010,その他の刑法犯,,,1499
2010,凶悪犯,不同意性交等,,22
2010,凶悪犯,強盗,,133
2010,凶悪犯,放火,,4
2010,凶悪犯,殺人,,32
2010,知能犯,,,522
2010,窃盗犯,,,3457
2010,粗暴犯,,,938
2010,風俗犯,,,103
2011,その他の刑法犯,,,1206
2011,凶悪犯,不同意性交等,,21
2011,凶悪犯,強盗,,85
2011,凶悪犯,放火,,11
2011,凶悪犯,殺人,,30
2011,知能犯,,,432
2011,窃盗犯,,,3060
2011,粗暴犯,,,960
2011,風俗犯,,,84
2012,その他の刑法犯,,,1038
2012,凶悪犯,不同意性交等,,18
2012,凶悪犯,強盗,,84
2012,凶悪犯,放火,,4
2012,凶悪犯,殺人,,27
2012,知能犯,,,470
2012,窃盗犯,,,2721
2012,粗暴犯,,,978
2012,風俗犯,,,83
2013,その他の刑法犯,,,1035
2013,凶悪犯,不同意性交等,,13
2013,凶悪犯,強盗,,86
2013,凶悪犯,放火,,4
2013,凶悪犯,殺人,,17
2013,知能犯,,,539
2013,窃盗犯,,,2812
2013,粗暴犯,,,1033
2013,風俗犯,,,81
2014,その他の刑法犯,,,986
2014,凶悪犯,不同意性交等,,27
2014,凶悪犯,強盗,,71
2014,凶悪犯,放火,,5
2014,凶悪犯,殺人,,28
2014,知能犯,,,454
2014,窃盗犯,,,3012
2014,粗暴犯,,,1082
2014,風俗犯,,,122
2015,その他の刑法犯,,,1065
2015,凶悪犯,不同意性交等,,34
2015,凶悪犯,強盗,,86
2015,凶悪犯,放火,,5
2015,凶悪犯,殺人,,42
2015,知能犯,,,429
2015,窃盗犯,,,3168
2015,粗暴犯,,,1238
2015,風俗犯,,,120
2016,その他の刑法犯,,,1117
2016,凶悪犯,不同意性交等,,36
2016,凶悪犯,強盗,,87
2016,凶悪犯,放火,,3
2016,凶悪犯,殺人,,35
2016,知能犯,,,437
2016,窃盗犯,,,3030
2016,粗暴犯,,,1225
2016,風俗犯,,,127
2017,その他の刑法犯,,,1136
2017,凶悪犯,不同意性交等,,36
2017,凶悪犯,強盗,,71
2017,凶悪犯,放火,,5
2017,凶悪犯,殺人,,35
2017,知能犯,,,598
2017,窃盗犯,,,2868
2017,粗暴犯,,,1233
2017,風俗犯,,,131
2018,その他の刑法犯,,,1073
2018,凶悪犯,不同意性交等,,34
2018,凶悪犯,強盗,,95
2018,凶悪犯,放火,,4
2018,凶悪犯,殺人,,38
2018,知能犯,,,463
2018,窃盗犯,,,2694
2018,粗暴犯,,,1290
2018,風俗犯,,,153
2019,その他の刑法犯,,,931
2019,凶悪犯,不同意性交等,,34
2019,凶悪犯,強盗,,70
2019,凶悪犯,放火,,5
2019,凶悪犯,殺人,,48
2019,知能犯,,,457
2019,窃盗犯,,,2528
2019,粗暴犯,,,1342
2019,風俗犯,,,148
2020,その他の刑法犯,,,1082
2020,凶悪犯,不同意性交等,,46
2020,凶悪犯,強盗,,80
2020,凶悪犯,放火,,7
2020,凶悪犯,殺人,,59
