年,年代,人口_千人
2010,0~13歳,15512.509027898659
2010,10代(14歳以上),7205.771936765148
2010,20代,13458.574035098824
2010,30代,17901.43341825835
2010,40代,16616.4740873198
2010,50代,16264.485227794217
2010,60代,18284.421296662604
2010,70代以上,21138.330970202394
2011,0~13歳,15381.75619343488
2011,10代(14歳以上),7191.886005927945
2011,20代,13173.791190502607
2011,30代,17441.723542185096
2011,40代,16992.73065888954
2011,50代,15793.749663184923
2011,60代,18390.708500420027
2011,70代以上,21813.654245454978
2012,0~13歳,15221.758302304717
2012,10代(14歳以上),7170.886137552696
2012,20代,12926.794742733746
2012,30代,16911.731468176153
2012,40代,17399.723719623053
2012,50代,15468.75438039362
2012,60代,18347.708667105962
2012,70代以上,22509.642582110053
2013,0~13歳,15080.88002863848
2013,10代(14歳以上),7143.943168529494
2013,20代,12668.899216419395
2013,30代,16341.869997215705
2013,40代,17794.858438407384
2013,50代,15295.878318284873
2013,60代,18260.85473131538
2013,70代以上,23116.81610118929
2014,0~13歳,14919.0
2014,10代(14歳以上),7093.0
2014,20代,12451.0
2014,30代,15791.0
2014,40代,18121.0
2014,50代,15270.0
2014,60代,18027.0
2014,70代以上,23759.0
2015,0~13歳,14621.766647249862
2015,10代(14歳以上),7139.88605261688
2015,20代,12177.805651088005
2015,30代,15423.753848118033
2015,40代,18303.70788614837
2015,50代,15428.753768322948
2015,60代,18199.709545886166
2015,70代以上,24023.616600569738
2016,0~13歳,14461.652975852443
2016,10代(14歳以上),7100.829607352247
2016,20代,12026.711405101461
2016,30代,14963.640930068867
2016,40代,18678.55178647129
2016,50代,15244.634187309535
2016,60代,18318.56042488182
2016,70代以上,24225.418682962336
2017,0~13歳,14294.114675844585
2017,10代(14歳以上),7012.056254863735
2017,20代,11921.095638081943
2017,30代,14565.116849984355
2017,40代,18580.14906094812
2017,50代,15533.124615915345
2017,60代,17605.141238858538
2017,70代以上,25137.20166550338
2018,0~13歳,14125.113712293809
2018,10代(14歳以上),6899.055539901946
2018,20代,11855.09543782252
2018,30代,14174.114106764775
2018,40代,18432.14838548669
2018,50代,15783.127059903234
2018,60代,16836.135537003793
2018,70代以上,26113.21022082324
2019,0~13歳,13945.11270508365
2019,10代(14歳以上),6763.054659338883
2019,20代,11823.095554837146
2019,30代,13804.111565505536
2019,40代,18180.14693283763
2019,50代,16035.129596702498
2019,60代,16104.130154368382
2019,70代以上,27076.218831326274
2020,0~13歳,13747.888589951377
2020,10代(14歳以上),6682.9458427876825
2020,20代,11865.903841166935
2020,30代,13590.889862236629
2020,40代,17938.854627228524
2020,50代,16378.86726904376
2020,60代,15522.874205834685
2020,70代以上,27670.775761750403
2021,0~13歳,13488.109855919987
2021,10代(14歳以上),6578.053575937253
2021,20代,11839.096425284455
2021,30代,13290.108243266355
2021,40代,17500.142532517777
2021,50代,16766.136554296743
2021,60代,15098.122968911623
2021,70代以上,28220.229843865807
2022,0~13歳,13190.216178121595
2022,10代(14歳以上),6494.106433716575
2022,20代,11777.19301969204
2022,30代,13008.213195224085
2022,40代,16988.278425620138
2022,50代,17191.28175269813
2022,60代,14811.24274557687
2022,70代以上,28570.468249350564
2023,0~13歳,12869.0
2023,10代(14歳以上),6433.0
2023,20代,11704.0
2023,30代,12713.0
2023,40代,16444.0
2023,50代,17608.0
2023,60代,14664.0
2023,70代以上,28758.0
2024,0~13歳,12511.687977456171
2024,10代(14歳以上),6376.840971246644
2024,20代,11599.710720787372
2024,30代,12465.689124597877
2024,40代,15910.603213659298
2024,50代,17946.55244016991
2024,60代,14649.63466030474
2024,70代以上,28835.280891777988
