年,在留資格,人数
2013,,62009
2014,,59061
2015,,60007
2016,,62818
2017,,65270
2018,その他,7800
2018,技能実習,6914
2018,日本人の配偶者等,3092
2018,留学,4100
2018,短期滞在,44592
2019,その他,9748
2019,技能実習,9366
2019,日本人の配偶者等,2946
2019,留学,4708
2019,短期滞在,47399
2020,その他,10996
2020,技能実習,12427
2020,日本人の配偶者等,2687
2020,留学,5543
2020,短期滞在,51239
2021,その他,11120
2021,技能実習,9186
2021,日本人の配偶者等,2506
2021,留学,3616
2021,短期滞在,46899
2022,その他,9380
2022,技能実習,6093
2022,日本人の配偶者等,1992
2022,留学,2302
2022,短期滞在,38474
2023,その他,14465
2023,技能実習,10913
2023,日本人の配偶者等,1890
2023,留学,2348
2023,短期滞在,49485
2024,その他,13485
2024,技能実習,11802
2024,日本人の配偶者等,1884
2024,留学,2421
2024,短期滞在,48343
