年,罪種00,罪種01,罪種02,検挙人員
2005,その他の刑法犯,,,1768
2005,凶悪犯,不同意性交等,,18
2005,凶悪犯,強盗,,82
2005,凶悪犯,放火,,11
2005,凶悪犯,殺人,,21
2005,知能犯,,,280
2005,窃盗犯,,,2605
2005,粗暴犯,,,1244
2005,風俗犯,,,117
2006,その他の刑法犯,,,1729
2006,凶悪犯,不同意性交等,,14
2006,凶悪犯,強盗,,74
2006,凶悪犯,放火,,8
2006,凶悪犯,殺人,,24
2006,知能犯,,,278
2006,窃盗犯,,,2661
2006,粗暴犯,,,1254
2006,風俗犯,,,108
2007,その他の刑法犯,,,1462
2007,凶悪犯,不同意性交等,,13
2007,凶悪犯,強盗,,66
2007,凶悪犯,放火,,12
2007,凶悪犯,殺人,,26
2007,知能犯,,,281
2007,窃盗犯,,,2446
2007,粗暴犯,,,1283
2007,風俗犯,,,118
2008,その他の刑法犯,,,1240
2008,凶悪犯,不同意性交等,,13
2008,凶悪犯,強盗,,69
2008,凶悪犯,放火,,12
2008,凶悪犯,殺人,,27
2008,知能犯,,,257
2008,窃盗犯,,,2461
2008,粗暴犯,,,1163
2008,風俗犯,,,103
2009,その他の刑法犯,,,1181
2009,凶悪犯,不同意性交等,,21
2009,凶悪犯,強盗,,81
2009,凶悪犯,放火,,7
2009,凶悪犯,殺人,,22
2009,知能犯,,,229
2009,窃盗犯,,,2395
2009,粗暴犯,,,1044
2009,風俗犯,,,100
2010,その他の刑法犯,,,1029
2010,凶悪犯,不同意性交等,,21
2010,凶悪犯,強盗,,70
2010,凶悪犯,放火,,7
2010,凶悪犯,殺人,,17
2010,知能犯,,,269
2010,窃盗犯,,,2636
2010,粗暴犯,,,1021
2010,風俗犯,,,114
2011,その他の刑法犯,,,976
2011,凶悪犯,不同意性交等,,12
2011,凶悪犯,強盗,,54
2011,凶悪犯,放火,,13
2011,凶悪犯,殺人,,18
2011,知能犯,,,223
2011,窃盗犯,,,2517
2011,粗暴犯,,,1094
2011,風俗犯,,,93
2012,その他の刑法犯,,,881
2012,凶悪犯,不同意性交等,,14
2012,凶悪犯,強盗,,67
2012,凶悪犯,放火,,13
2012,凶悪犯,殺人,,13
2012,知能犯,,,260
2012,窃盗犯,,,2302
2012,粗暴犯,,,1223
2012,風俗犯,,,126
2013,その他の刑法犯,,,799
2013,凶悪犯,不同意性交等,,17
2013,凶悪犯,強盗,,75
2013,凶悪犯,放火,,5
2013,凶悪犯,殺人,,28
2013,知能犯,,,295
2013,窃盗犯,,,2316
2013,粗暴犯,,,1235
2013,風俗犯,,,87
2014,その他の刑法犯,,,677
2014,凶悪犯,不同意性交等,,18
2014,凶悪犯,強盗,,66
2014,凶悪犯,放火,,8
2014,凶悪犯,殺人,,19
2014,知能犯,,,276
2014,窃盗犯,,,2218
2014,粗暴犯,,,1312
2014,風俗犯,,,87
2015,その他の刑法犯,,,733
2015,凶悪犯,不同意性交等,,16
2015,凶悪犯,強盗,,48
2015,凶悪犯,放火,,2
2015,凶悪犯,殺人,,19
2015,知能犯,,,300
2015,窃盗犯,,,2148
2015,粗暴犯,,,1402
2015,風俗犯,,,109
2016,その他の刑法犯,,,656
2016,凶悪犯,不同意性交等,,9
2016,凶悪犯,強盗,,66
2016,凶悪犯,放火,,5
2016,凶悪犯,殺人,,35
2016,知能犯,,,264
2016,窃盗犯,,,2080
2016,粗暴犯,,,1371
2016,風俗犯,,,95
2017,その他の刑法犯,,,613
2017,凶悪犯,不同意性交等,,19
2017,凶悪犯,強盗,,56
2017,凶悪犯,放火,,6
2017,凶悪犯,殺人,,24
2017,知能犯,,,228
2017,窃盗犯,,,2004
2017,粗暴犯,,,1348
2017,風俗犯,,,96
2018,その他の刑法犯,,,542
2018,凶悪犯,不同意性交等,,24
2018,凶悪犯,強盗,,46
