年,罪種00,罪種01,罪種02,検挙人員
2005,その他の刑法犯,,,111072
2005,凶悪犯,不同意性交等,,1034
2005,凶悪犯,強盗,,3437
2005,凶悪犯,放火,,776
2005,凶悪犯,殺人,,1264
2005,知能犯,,,14242
2005,窃盗犯,,,187118
2005,粗暴犯,,,47106
2005,風俗犯,,,6120
2006,その他の刑法犯,,,109738
2006,凶悪犯,不同意性交等,,1022
2006,凶悪犯,強盗,,3038
2006,凶悪犯,放火,,799
2006,凶悪犯,殺人,,1174
2006,知能犯,,,14935
2006,窃盗犯,,,180743
2006,粗暴犯,,,52331
2006,風俗犯,,,6052
2007,その他の刑法犯,,,100099
2007,凶悪犯,不同意性交等,,971
2007,凶悪犯,強盗,,2729
2007,凶悪犯,放火,,743
2007,凶悪犯,殺人,,1092
2007,知能犯,,,14442
2007,窃盗犯,,,174197
2007,粗暴犯,,,51908
2007,風俗犯,,,6057
2008,その他の刑法犯,,,83270
2008,凶悪犯,不同意性交等,,919
2008,凶悪犯,強盗,,2593
2008,凶悪犯,放火,,637
2008,凶悪犯,殺人,,1134
2008,知能犯,,,14377
2008,窃盗犯,,,168576
2008,粗暴犯,,,49787
2008,風俗犯,,,5848
2009,その他の刑法犯,,,77938
2009,凶悪犯,不同意性交等,,882
2009,凶悪犯,強盗,,2807
2009,凶悪犯,放火,,620
2009,凶悪犯,殺人,,965
2009,知能犯,,,14661
2009,窃盗犯,,,169663
2009,粗暴犯,,,47214
2009,風俗犯,,,5773
2010,その他の刑法犯,,,70123
2010,凶悪犯,不同意性交等,,758
2010,凶悪犯,強盗,,2359
2010,凶悪犯,放火,,640
2010,凶悪犯,殺人,,950
2010,知能犯,,,13343
2010,窃盗犯,,,169075
2010,粗暴犯,,,47537
2010,風俗犯,,,5814
2011,その他の刑法犯,,,62388
2011,凶悪犯,不同意性交等,,733
2011,凶悪犯,強盗,,2288
2011,凶悪犯,放火,,592
2011,凶悪犯,殺人,,922
2011,知能犯,,,12606
2011,窃盗犯,,,162903
2011,粗暴犯,,,46516
2011,風俗犯,,,5702
2012,その他の刑法犯,,,53979
2012,凶悪犯,不同意性交等,,823
2012,凶悪犯,強盗,,2277
2012,凶悪犯,放火,,575
2012,凶悪犯,殺人,,859
2012,知能犯,,,12934
2012,窃盗犯,,,148809
2012,粗暴犯,,,50356
2012,風俗犯,,,5990
2013,その他の刑法犯,,,46472
2013,凶悪犯,不同意性交等,,905
2013,凶悪犯,強盗,,2093
2013,凶悪犯,放火,,539
2013,凶悪犯,殺人,,861
2013,知能犯,,,12688
2013,窃盗犯,,,133786
2013,粗暴犯,,,48991
2013,風俗犯,,,5599
2014,その他の刑法犯,,,41948
2014,凶悪犯,不同意性交等,,872
2014,凶悪犯,強盗,,1956
2014,凶悪犯,放火,,585
2014,凶悪犯,殺人,,920
2014,知能犯,,,12395
2014,窃盗犯,,,126245
2014,粗暴犯,,,50210
2014,風俗犯,,,5465
2015,その他の刑法犯,,,37912
2015,凶悪犯,不同意性交等,,878
2015,凶悪犯,強盗,,1833
2015,凶悪犯,放火,,584
2015,凶悪犯,殺人,,852
2015,知能犯,,,12287
2015,窃盗犯,,,118506
2015,粗暴犯,,,49871
2015,風俗犯,,,5586
2016,その他の刑法犯,,,33888
2016,凶悪犯,不同意性交等,,826
2016,凶悪犯,強盗,,1831
2016,凶悪犯,放火,,569
2016,凶悪犯,殺人,,745
2016,知能犯,,,12175
2016,窃盗犯,,,110323
2016,粗暴犯,,,49676
2016,風俗犯,,,5593
