年,在留資格,年代,人口
2013,その他,0~13歳,44940
2013,その他,10代(14歳以上),9785
2013,その他,20代,101416
2013,その他,30代,132829
2013,その他,40代,46973
2013,その他,50代,13735
2013,その他,60代,3349
2013,その他,70代以上,1710
2013,定住者,0~13歳,37699
2013,定住者,10代(14歳以上),17803
2013,定住者,20代,37451
2013,定住者,30代,34294
2013,定住者,40代,22178
2013,定住者,50代,9332
2013,定住者,60代,2610
2013,定住者,70代以上,1725
2013,技能実習,0~13歳,0
2013,技能実習,10代(14歳以上),5272
2013,技能実習,20代,112182
2013,技能実習,30代,34794
2013,技能実習,40代,2279
2013,技能実習,50代,12
2013,技能実習,60代,0
2013,技能実習,70代以上,0
2013,日本人の配偶者等,0~13歳,2519
2013,日本人の配偶者等,10代(14歳以上),1148
2013,日本人の配偶者等,20代,26891
2013,日本人の配偶者等,30代,60125
2013,日本人の配偶者等,40代,39378
2013,日本人の配偶者等,50代,18957
2013,日本人の配偶者等,60代,6316
2013,日本人の配偶者等,70代以上,1523
2013,永住者等,0~13歳,85717
2013,永住者等,10代(14歳以上),44461
2013,永住者等,20代,97272
2013,永住者等,30代,194288
2013,永住者等,40代,254943
2013,永住者等,50代,172256
2013,永住者等,60代,106044
2013,永住者等,70代以上,86366
2013,留学,0~13歳,4
2013,留学,10代(14歳以上),13303
2013,留学,20代,148002
2013,留学,30代,16103
2013,留学,40代,1032
2013,留学,50代,87
2013,留学,60代,18
2013,留学,70代以上,2
2014,その他,0~13歳,46431
2014,その他,10代(14歳以上),10097
2014,その他,20代,105709
2014,その他,30代,134003
2014,その他,40代,48299
2014,その他,50代,14600
2014,その他,60代,3748
2014,その他,70代以上,1962
2014,定住者,0~13歳,37111
2014,定住者,10代(14歳以上),17612
2014,定住者,20代,34585
2014,定住者,30代,33595
2014,定住者,40代,22266
2014,定住者,50代,9911
2014,定住者,60代,2772
2014,定住者,70代以上,1744
2014,技能実習,0~13歳,0
2014,技能実習,10代(14歳以上),6057
2014,技能実習,20代,113547
2014,技能実習,30代,38766
2014,技能実習,40代,3753
2014,技能実習,50代,30
2014,技能実習,60代,0
2014,技能実習,70代以上,1
2014,日本人の配偶者等,0~13歳,2473
2014,日本人の配偶者等,10代(14歳以上),1148
2014,日本人の配偶者等,20代,23578
2014,日本人の配偶者等,30代,56816
2014,日本人の配偶者等,40代,37410
2014,日本人の配偶者等,50代,18780
2014,日本人の配偶者等,60代,6587
2014,日本人の配偶者等,70代以上,1639
2014,永住者等,0~13歳,87071
2014,永住者等,10代(14歳以上),44677
2014,永住者等,20代,93960
2014,永住者等,30代,195186
2014,永住者等,40代,255627
2014,永住者等,50代,181400
2014,永住者等,60代,108813
2014,永住者等,70代以上,87957
2014,留学,0~13歳,5
2014,留学,10代(14歳以上),17363
2014,留学,20代,161290
2014,留学,30代,17075
2014,留学,40代,1022
2014,留学,50代,111
2014,留学,60代,15
2014,留学,70代以上,1
2015,その他,0~13歳,50156
2015,その他,10代(14歳以上),10363
2015,その他,20代,117915
2015,その他,30代,139970
2015,その他,40代,51256
2015,その他,50代,15935
2015,その他,60代,4567
2015,その他,70代以上,2204
2015,定住者,0~13歳,37710
2015,定住者,10代(14歳以上),17796
2015,定住者,20代,33110
2015,定住者,30代,33699
2015,定住者,40代,22480
2015,定住者,50代,10443
