年,年代,人数
2010,0~13歳,15512509.027898662
2010,10代(14歳以上),7205771.936765148
2010,20代,13458574.035098823
2010,30代,17901433.41825835
2010,40代,16616474.087319799
2010,50代,16264485.227794215
2010,60代,18284421.296662603
2010,70代以上,21138330.970202394
2011,0~13歳,15381756.19343488
2011,10代(14歳以上),7191886.005927945
2011,20代,13173791.190502608
2011,30代,17441723.542185098
2011,40代,16992730.65888954
2011,50代,15793749.663184924
2011,60代,18390708.500420026
2011,70代以上,21813654.245454974
2012,0~13歳,15221758.302304715
2012,10代(14歳以上),7170886.137552695
2012,20代,12926794.742733745
2012,30代,16911731.468176153
2012,40代,17399723.71962305
2012,50代,15468754.38039362
2012,60代,18347708.667105958
2012,70代以上,22509642.58211005
2013,0~13歳,15080880.02863848
2013,10代(14歳以上),7143943.168529494
2013,20代,12668899.216419397
2013,30代,16341869.997215705
2013,40代,17794858.438407384
2013,50代,15295878.318284873
2013,60代,18260854.731315378
2013,70代以上,23116816.101189293
2014,0~13歳,14919000.0
2014,10代(14歳以上),7093000.0
2014,20代,12451000.0
2014,30代,15791000.0
2014,40代,18121000.0
2014,50代,15270000.0
2014,60代,18027000.0
2014,70代以上,23759000.0
2015,0~13歳,14621766.647249863
2015,10代(14歳以上),7139886.05261688
2015,20代,12177805.651088003
2015,30代,15423753.848118033
2015,40代,18303707.88614837
2015,50代,15428753.768322948
2015,60代,18199709.54588617
2015,70代以上,24023616.600569736
2016,0~13歳,14461652.975852445
2016,10代(14歳以上),7100829.6073522465
2016,20代,12026711.40510146
2016,30代,14963640.93006887
2016,40代,18678551.78647129
2016,50代,15244634.187309535
2016,60代,18318560.42488182
2016,70代以上,24225418.682962336
2017,0~13歳,14294114.675844586
2017,10代(14歳以上),7012056.254863735
2017,20代,11921095.638081944
2017,30代,14565116.849984355
2017,40代,18580149.06094812
2017,50代,15533124.615915343
2017,60代,17605141.238858536
2017,70代以上,25137201.66550338
2018,0~13歳,14125113.712293807
2018,10代(14歳以上),6899055.539901946
2018,20代,11855095.437822519
2018,30代,14174114.106764777
2018,40代,18432148.38548669
2018,50代,15783127.059903234
2018,60代,16836135.537003793
2018,70代以上,26113210.22082324
2019,0~13歳,13945112.70508365
2019,10代(14歳以上),6763054.659338882
2019,20代,11823095.554837145
2019,30代,13804111.565505536
2019,40代,18180146.93283763
2019,50代,16035129.596702497
2019,60代,16104130.154368382
2019,70代以上,27076218.831326276
2020,0~13歳,13747888.589951375
2020,10代(14歳以上),6682945.842787682
2020,20代,11865903.841166936
2020,30代,13590889.862236628
2020,40代,17938854.627228525
2020,50代,16378867.26904376
2020,60代,15522874.205834683
2020,70代以上,27670775.761750404
2021,0~13歳,13488109.855919987
2021,10代(14歳以上),6578053.575937253
2021,20代,11839096.425284455
2021,30代,13290108.243266355
2021,40代,17500142.532517776
2021,50代,16766136.554296743
2021,60代,15098122.968911624
2021,70代以上,28220229.843865808
2022,0~13歳,13190216.178121597
2022,10代(14歳以上),6494106.433716576
2022,20代,11777193.019692041
2022,30代,13008213.195224084
2022,40代,16988278.42562014
2022,50代,17191281.75269813
2022,60代,14811242.74557687
2022,70代以上,28570468.249350563
2023,0~13歳,12869000.0
2023,10代(14歳以上),6433000.0
2023,20代,11704000.0
2023,30代,12713000.0
2023,40代,16444000.0
2023,50代,17608000.0
2023,60代,14664000.0
2023,70代以上,28758000.0
2024,0~13歳,12511687.977456171
2024,10代(14歳以上),6376840.971246644
2024,20代,11599710.720787372
2024,30代,12465689.124597877
2024,40代,15910603.213659298
2024,50代,17946552.44016991
2024,60代,14649634.66030474
2024,70代以上,28835280.89177799
