年,年代,人数
2013,0~13歳,9676.63807944041
2013,10代(14歳以上),6796.245129324185
2013,20代,30556.49705046325
2013,30代,38322.16371772796
2013,40代,31674.416658830472
2013,50代,23760.96800252083
2013,60代,11173.853228401147
2013,70代以上,4234.067088138168
2014,0~13歳,12958.563846118936
2014,10代(14歳以上),8374.632690011967
2014,20代,38553.10008002056
2014,30代,48107.260500369775
2014,40代,38641.6542159588
2014,50代,29909.656947375537
2014,60代,14894.964319084862
2014,70代以上,5488.881221756669
2015,0~13歳,19416.67700247419
2015,10代(14歳以上),12730.74954603586
2015,20代,55094.98556274646
2015,30代,64844.54547199876
2015,40代,50781.37980816368
2015,50代,40341.682170946384
2015,60代,21255.783852340897
2015,70代以上,7237.331064960178
2016,0~13歳,24456.607605474503
2016,10代(14歳以上),15595.848446309925
2016,20代,69653.83418120029
2016,30代,77616.01053532999
2016,40代,57921.93496215656
2016,50代,45421.33966898093
2016,60代,24597.16042084067
2016,70代以上,8046.502473592452
2017,0~13歳,29830.835851827804
2017,10代(14歳以上),18719.175500618378
2017,20代,82290.48717790257
2017,30代,88817.14185803503
2017,40代,66131.9802183386
2017,50代,51563.77576138094
2017,60代,28422.24193203017
2017,70代以上,9602.45570812439
2018,0~13歳,34202.998345888416
2018,10代(14歳以上),20569.747559053067
2018,20代,91425.34007370696
2018,30代,99839.59365652363
2018,40代,72999.05849160775
2018,50代,56802.711825291255
2018,60代,32366.692767518813
2018,70代以上,11007.388679732796
2019,0~13歳,37296.92970378968
2019,10代(14歳以上),21556.12145863855
2019,20代,97246.97344283805
2019,30代,110314.40706315772
2019,40代,78607.28058226133
2019,50代,61578.94089212759
2019,60代,36456.8253164783
2019,70代以上,12443.126645802417
2020,0~13歳,7699.086445968711
2020,10代(14歳以上),4632.289149061331
2020,20代,21495.79722376819
2020,30代,21199.89531433863
2020,40代,14585.93520800347
2020,50代,10193.047377030118
2020,60代,5210.585537920417
2020,70代以上,1509.2001800152077
2021,0~13歳,748.5164734418008
2021,10代(14歳以上),582.5398451374142
2021,20代,3759.682663466525
2021,30代,3446.5743176098504
2021,40代,2394.3873247402403
2021,50代,1752.5305867868744
2021,60代,720.9792323223987
2021,70代以上,164.3165546002856
2022,0~13歳,3641.756388988751
2022,10代(14歳以上),2115.918180158975
2022,20代,18522.96407378345
2022,30代,17715.362520764113
2022,40代,10917.901985490776
2022,50代,9359.557104698772
2022,60代,7173.42978245447
2022,70代以上,2809.233199324691
2023,0~13歳,31657.25175514371
2023,10代(14歳以上),20673.12203251049
2023,20代,90221.21623979128
2023,30代,95405.38899749352
2023,40代,64921.59216685649
2023,50代,56140.494838899336
2023,60代,44835.222586922166
2023,70代以上,19190.65804234465
2024,0~13歳,46838.88819920662
2024,10代(14歳以上),30361.87778357852
2024,20代,123273.61199527187
2024,30代,132637.4861885557
2024,40代,90758.57936268677
2024,50代,74296.09282554581
2024,60代,60415.96924260336
2024,70代以上,26148.207254580862
