年,年代,人数
2022,0~13歳,3641.7563889887506
2022,10代(14歳以上),2115.918180158975
2022,20代,18522.96407378345
2022,30代,17715.362520764113
2022,40代,10917.901985490775
2022,50代,9359.557104698773
2022,60代,7173.42978245447
2022,70代以上,2809.233199324691
2023,0~13歳,31657.25175514371
2023,10代(14歳以上),20673.122032510495
2023,20代,90221.21623979128
2023,30代,95405.38899749352
2023,40代,64921.59216685649
2023,50代,56140.494838899336
2023,60代,44835.222586922166
2023,70代以上,19190.65804234465
2024,0~13歳,46838.88819920662
2024,10代(14歳以上),30361.877783578522
2024,20代,123273.61199527187
2024,30代,132637.4861885557
2024,40代,90758.57936268675
2024,50代,74296.09282554581
2024,60代,60415.96924260336
2024,70代以上,26148.207254580862
