年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員
2013,外国人,来日外国人,その他,その他の刑法犯,,278.0
2013,外国人,来日外国人,その他,凶悪犯,不同意性交等,1.0
2013,外国人,来日外国人,その他,凶悪犯,強盗,27.0
2013,外国人,来日外国人,その他,凶悪犯,殺人,6.0
2013,外国人,来日外国人,その他,知能犯,,115.0
2013,外国人,来日外国人,その他,窃盗犯,,774.0
2013,外国人,来日外国人,その他,粗暴犯,,256.0
2013,外国人,来日外国人,その他,風俗犯,,31.0
2013,外国人,来日外国人,定住者,その他の刑法犯,,222.0
2013,外国人,来日外国人,定住者,凶悪犯,不同意性交等,4.0
2013,外国人,来日外国人,定住者,凶悪犯,強盗,23.0
2013,外国人,来日外国人,定住者,凶悪犯,放火,2.0
2013,外国人,来日外国人,定住者,凶悪犯,殺人,1.0
2013,外国人,来日外国人,定住者,知能犯,,87.0
2013,外国人,来日外国人,定住者,窃盗犯,,587.0
2013,外国人,来日外国人,定住者,粗暴犯,,287.0
2013,外国人,来日外国人,定住者,風俗犯,,14.0
2013,外国人,来日外国人,技能実習,その他の刑法犯,,51.0
2013,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,3.0
2013,外国人,来日外国人,技能実習,凶悪犯,強盗,7.0
2013,外国人,来日外国人,技能実習,凶悪犯,殺人,5.0
2013,外国人,来日外国人,技能実習,知能犯,,27.0
2013,外国人,来日外国人,技能実習,窃盗犯,,292.0
2013,外国人,来日外国人,技能実習,粗暴犯,,22.0
2013,外国人,来日外国人,技能実習,風俗犯,,4.0
2013,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,124.0
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,2.0
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,9.0
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,2.0
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,4.0
2013,外国人,来日外国人,日本人の配偶者等,知能犯,,175.0
2013,外国人,来日外国人,日本人の配偶者等,窃盗犯,,397.0
2013,外国人,来日外国人,日本人の配偶者等,粗暴犯,,279.0
2013,外国人,来日外国人,日本人の配偶者等,風俗犯,,16.0
2013,外国人,来日外国人,留学,その他の刑法犯,,288.0
2013,外国人,来日外国人,留学,凶悪犯,不同意性交等,1.0
2013,外国人,来日外国人,留学,凶悪犯,強盗,9.0
2013,外国人,来日外国人,留学,凶悪犯,殺人,1.0
2013,外国人,来日外国人,留学,知能犯,,111.0
2013,外国人,来日外国人,留学,窃盗犯,,579.0
2013,外国人,来日外国人,留学,粗暴犯,,132.0
2013,外国人,来日外国人,留学,風俗犯,,9.0
2013,外国人,来日外国人,短期滞在,その他の刑法犯,,72.0
2013,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,2.0
2013,外国人,来日外国人,短期滞在,凶悪犯,強盗,11.0
2013,外国人,来日外国人,短期滞在,知能犯,,24.0
2013,外国人,来日外国人,短期滞在,窃盗犯,,183.0
2013,外国人,来日外国人,短期滞在,粗暴犯,,57.0
2013,外国人,来日外国人,短期滞在,風俗犯,,7.0
2013,外国人,永住者等,,その他の刑法犯,,799.0
2013,外国人,永住者等,,凶悪犯,不同意性交等,17.0
2013,外国人,永住者等,,凶悪犯,強盗,75.0
2013,外国人,永住者等,,凶悪犯,放火,5.0
2013,外国人,永住者等,,凶悪犯,殺人,28.0
2013,外国人,永住者等,,知能犯,,295.0
2013,外国人,永住者等,,窃盗犯,,2316.0
2013,外国人,永住者等,,粗暴犯,,1235.0
2013,外国人,永住者等,,風俗犯,,87.0
2013,日本人,,,その他の刑法犯,,46472.0
2013,日本人,,,凶悪犯,不同意性交等,905.0
2013,日本人,,,凶悪犯,強盗,2093.0
2013,日本人,,,凶悪犯,放火,539.0
2013,日本人,,,凶悪犯,殺人,861.0
2013,日本人,,,知能犯,,12688.0
2013,日本人,,,窃盗犯,,133786.0
2013,日本人,,,粗暴犯,,48991.0
2013,日本人,,,風俗犯,,5599.0
2014,外国人,来日外国人,その他,その他の刑法犯,,238.0
2014,外国人,来日外国人,その他,凶悪犯,不同意性交等,9.0
