年,区分00,区分01,在留資格,年代,人数
2013,外国人,来日外国人,その他,0~13歳,45901.67446795605
2013,外国人,来日外国人,その他,10代(14歳以上),9994.389957030484
2013,外国人,来日外国人,その他,20代,103586.208674727
2013,外国人,来日外国人,その他,30代,135671.41784388374
2013,外国人,来日外国人,その他,40代,47978.17878912549
2013,外国人,来日外国人,その他,50代,14028.916306572683
2013,外国人,来日外国人,その他,60代,3420.665504966284
2013,外国人,来日外国人,その他,70代以上,1746.5924196752303
2013,外国人,来日外国人,定住者,0~13歳,38505.72375984591
2013,外国人,来日外国人,定住者,10代(14歳以上),18183.96774706323
2013,外国人,来日外国人,定住者,20代,38252.41678903921
2013,外国人,来日外国人,定住者,30代,35027.859906632955
2013,外国人,来日外国人,定住者,40代,22652.588703834655
2013,外国人,来日外国人,定住者,50代,9531.696175677924
2013,外国人,来日外国人,定住者,60代,2665.8515879253514
2013,外国人,来日外国人,定住者,70代以上,1761.9134058127322
2013,外国人,来日外国人,技能実習,0~13歳,0.0
2013,外国人,来日外国人,技能実習,10代(14歳以上),5528.794253793564
2013,外国人,来日外国人,技能実習,20代,117646.28167281293
2013,外国人,来日外国人,技能実習,30代,36488.783624145166
2013,外国人,来日外国人,技能実習,40代,2390.0079864179693
2013,外国人,来日外国人,技能実習,50代,12.584508923657584
2013,外国人,来日外国人,技能実習,60代,0.0
2013,外国人,来日外国人,技能実習,70代以上,0.0
2013,外国人,来日外国人,日本人の配偶者等,0~13歳,2623.4374833721795
2013,外国人,来日外国人,日本人の配偶者等,10代(14歳以上),1195.59596304536
2013,外国人,来日外国人,日本人の配偶者等,20代,28005.898120429247
2013,外国人,来日外国人,日本人の配偶者等,30代,62617.77637465355
2013,外国人,来日外国人,日本人の配偶者等,40代,41010.60786829285
2013,外国人,来日外国人,日本人の配偶者等,50代,19742.955288720288
2013,外国人,来日外国人,日本人の配偶者等,60代,6577.860716545726
2013,外国人,来日外国人,日本人の配偶者等,70代以上,1586.1434248415358
2013,外国人,来日外国人,留学,0~13歳,4.104436143984466
2013,外国人,来日外国人,留学,10代(14歳以上),13650.328505856338
2013,外国人,来日外国人,留学,20代,151866.18954549724
2013,外国人,来日外国人,留学,30代,16523.433806645462
2013,外国人,来日外国人,留学,40代,1058.9445251479922
2013,外国人,来日外国人,留学,50代,89.2714861316617
2013,外国人,来日外国人,留学,60代,18.469962647929833
2013,外国人,来日外国人,留学,70代以上,2.052218071992233
2013,外国人,来日外国人,短期滞在,0~13歳,11673.697892101063
2013,外国人,来日外国人,短期滞在,10代(14歳以上),8198.850860089398
2013,外国人,来日外国人,短期滞在,20代,36862.73189919833
2013,外国人,来日外国人,短期滞在,30代,46231.07303794741
2013,外国人,来日外国人,短期滞在,40代,38211.367207101626
2013,外国人,来日外国人,短期滞在,50代,28664.744905014442
2013,外国人,来日外国人,短期滞在,60代,13479.907567916021
2013,外国人,来日外国人,短期滞在,70代以上,5107.891773572599
2013,外国人,永住者等,,0~13歳,85717.0
2013,外国人,永住者等,,10代(14歳以上),44461.0
2013,外国人,永住者等,,20代,97272.0
2013,外国人,永住者等,,30代,194288.0
2013,外国人,永住者等,,40代,254943.0
2013,外国人,永住者等,,50代,172256.0
2013,外国人,永住者等,,60代,106044.0
2013,外国人,永住者等,,70代以上,86366.0
2013,日本人,,,0~13歳,15080880.02863848
2013,日本人,,,10代(14歳以上),7143943.168529494
2013,日本人,,,20代,12668899.216419397
2013,日本人,,,30代,16341869.997215703
2013,日本人,,,40代,17794858.438407384
2013,日本人,,,50代,15295878.318284873
2013,日本人,,,60代,18260854.731315374
2013,日本人,,,70代以上,23116816.101189293
2014,外国人,来日外国人,その他,0~13歳,47256.837447076105
2014,外国人,来日外国人,その他,10代(14歳以上),10276.58865204556
2014,外国人,来日外国人,その他,20代,107589.1759749514
2014,外国人,来日外国人,その他,30代,136386.42261464408
2014,外国人,来日外国人,その他,40代,49158.06232595311
2014,外国人,来日外国人,その他,50代,14859.680530837397
2014,外国人,来日外国人,その他,60代,3814.6631938067508
2014,外国人,来日外国人,その他,70代以上,1996.8967946234911
2014,外国人,来日外国人,定住者,0~13歳,37771.06877944566
2014,外国人,来日外国人,定住者,10代(14歳以上),17925.252980075908
2014,外国人,来日外国人,定住者,20代,35200.14049034325
2014,外国人,来日外国人,定住者,30代,34192.53201599194
2014,外国人,来日外国人,定住者,40代,22662.03059586476
2014,外国人,来日外国人,定住者,50代,10087.280393228044
2014,外国人,来日外国人,定住者,60代,2821.303728183648
2014,外国人,来日外国人,定住者,70代以上,1775.0193729986588
2014,外国人,来日外国人,技能実習,0~13歳,0.0
2014,外国人,来日外国人,技能実習,10代(14歳以上),6302.22326386741
2014,外国人,来日外国人,技能実習,20代,118144.05562858724
2014,外国人,来日外国人,技能実習,30代,40335.47747186463
2014,外国人,来日外国人,技能実習,40代,3904.943686527058
2014,外国人,来日外国人,技能実習,50代,31.214577829951853
2014,外国人,来日外国人,技能実習,60代,0.0
2014,外国人,来日外国人,技能実習,70代以上,1.0
2014,外国人,来日外国人,日本人の配偶者等,0~13歳,2558.220457951721
2014,外国人,来日外国人,日本人の配偶者等,10代(14歳以上),1187.560487557046
2014,外国人,来日外国人,日本人の配偶者等,20代,24390.506250540107
2014,外国人,来日外国人,日本人の配偶者等,30代,58773.89953052365
2014,外国人,来日外国人,日本人の配偶者等,40代,38699.161881105494
2014,外国人,来日外国人,日本人の配偶者等,50代,19427.16546717886
2014,外国人,来日外国人,日本人の配偶者等,60代,6813.990358482809
2014,外国人,来日外国人,日本人の配偶者等,70代以上,1695.480521869337
2014,外国人,来日外国人,留学,0~13歳,5.108505651274088
2014,外国人,来日外国人,留学,10代(14歳以上),17739.7967246144
