年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり,日本人_検挙人員数_1万人あたり,対日本人倍率
2013,計,計,計,計,計,262411.0,112706021.18227693,23.282784473032596,22.77408195187602,1.0223369057084943
2014,計,計,計,計,計,251064.0,112664749.04018238,22.284166266633843,21.77102939047343,1.0235697112413504
2015,計,計,計,計,計,239273.0,112999189.38863808,21.174753668105392,20.62463469818308,1.0266729073252763
2016,計,計,計,計,計,226304.0,113034149.03619675,20.020852276025984,19.50336684691063,1.026533133134258
2017,計,計,計,計,計,214930.0,113029356.0091803,19.01541401178498,18.524313792806147,1.026511115308873
2018,計,計,計,計,計,206032.0,112962026.07318132,18.239049631291515,17.8057826086707,1.024332939031269
2019,計,計,計,計,計,192540.0,112875562.5729506,17.057722292685174,16.669173471121912,1.0233094233638154
2020,計,計,計,計,計,182523.0,112459489.83794346,16.230110972672875,15.782147374033924,1.028384198171662
2021,計,計,計,計,計,174965.0,111969423.33735567,15.626141028952453,15.155470344747444,1.0310561581724933
2022,計,計,計,計,計,169318.0,111688142.07742922,15.159890463807532,14.7653291676953,1.0267221469722112
2023,計,計,計,計,計,183169.0,111756616.17668466,16.389991596597195,16.020734094014255,1.0230487255088332
2024,計,計,計,計,計,191716.0,111707004.73372394,17.162397331930396,16.826381928574808,1.019969557613866
2013,計,計,計,その他の刑法犯,計,48306.0,112706021.18227693,4.286017685060125,4.200930150228165,1.020254451226079
2013,計,計,計,凶悪犯,計,4643.0,112706021.18227693,0.4119566950634323,0.39756607851401843,1.0361967917464228
2013,計,計,計,知能犯,計,13522.0,112706021.18227693,1.1997584386490914,1.146957345199151,1.0460357952028043
2013,計,計,計,窃盗犯,計,138914.0,112706021.18227693,12.325339723894386,12.093855247857316,1.0191406686530402
2013,計,計,計,粗暴犯,計,51259.0,112706021.18227693,4.54802675689349,4.4286402347613185,1.026957828092488
2013,計,計,計,風俗犯,計,5767.0,112706021.18227693,0.5116851734720685,0.5061328953160503,1.0109700005816677
2014,計,計,計,その他の刑法犯,計,43611.0,112664749.04018238,3.870864700053248,3.7957868828724486,1.0197792498624119
2014,計,計,計,凶悪犯,計,4575.0,112664749.04018238,0.4060720002463509,0.39208411756189376,1.035675718698932
2014,計,計,計,知能犯,計,13125.0,112664749.04018238,1.1649606564444492,1.1215976545533517,1.0386618157724
2014,計,計,計,窃盗犯,計,131475.0,112664749.04018238,11.66957731855497,11.423646300854205,1.0215282416160218
2014,計,計,計,粗暴犯,計,52604.0,112664749.04018238,4.669073552122195,4.543398002026929,1.0276611360130015
2014,計,計,計,風俗犯,計,5674.0,112664749.04018238,0.5036180392126327,0.49451643260460404,1.018405064034153
2015,計,計,計,その他の刑法犯,計,39710.0,112999189.38863808,3.514184501220217,3.4248371753961386,1.0260880506863057
2015,計,計,計,凶悪犯,計,4399.0,112999189.38863808,0.38929482802487375,0.3746254422443497,1.0391574733756497
2015,計,計,計,知能犯,計,13016.0,112999189.38863808,1.1518666700549571,1.1099645065966541,1.0377509039336603
2015,計,計,計,窃盗犯,計,123822.0,112999189.38863808,10.957777721231169,10.705416604439092,1.023573217756648
2015,計,計,計,粗暴犯,計,52511.0,112999189.38863808,4.647024486113695,4.505171311832159,1.0314867436692097
2015,計,計,計,風俗犯,計,5815.0,112999189.38863808,0.5146054614604776,0.5046196576746895,1.019788772858757
2016,計,計,計,その他の刑法犯,計,35661.0,113034149.03619675,3.1548872888475796,3.0651688372835717,1.0292703130975058
2016,計,計,計,凶悪犯,計,4247.0,113034149.03619675,0.37572716176595355,0.3591768606247953,1.046078416945815
2016,計,計,計,知能犯,計,12876.0,113034149.03619675,1.139124778643376,1.1012284759775581,1.0344127522058286
2016,計,計,計,窃盗犯,計,115433.0,113034149.03619675,10.212223561132403,9.978712866962804,1.0234008831883217
2016,計,計,計,粗暴犯,計,52272.0,113034149.03619675,4.624443183383547,4.4931930819434225,1.0292108749939042
