年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,推定検挙人員,対推定値倍率,日本人_対推定値倍率,対日本人倍率_年齢調整後
2013,計,計,計,計,計,262411.0,262485.9999999793,0.9997142704754567,0.9798266917422765,1.0202970371197146
2014,計,計,計,計,計,251064.0,251114.99999997776,0.99979690580022,0.979157200316481,1.0210790519408608
2015,計,計,計,計,計,239273.0,239354.9999999815,0.9996574126298532,0.9767871423324501,1.0234137708270725
2016,計,計,計,計,計,226304.0,226375.99999997663,0.9996819450826208,0.9777300531366304,1.0224518944422
2017,計,計,計,計,計,214930.0,215002.99999997747,0.9996604698540138,0.9784524143151294,1.021675101648892
2018,計,計,計,計,計,206032.0,206093.9999999801,0.9996991663998948,0.9813525757600141,1.0186952081168912
2019,計,計,計,計,計,192540.0,192606.99999998137,0.9996521414072106,0.9828777953840795,1.017066563210512
2020,計,計,計,計,計,182523.0,182581.99999998216,0.9996768575216496,0.977364267167829,1.0228293494077467
2021,計,計,計,計,計,174965.0,175040.9999999809,0.9995658160089298,0.9743679840010853,1.025860693723098
2022,計,計,計,計,計,169318.0,169408.9999999797,0.9994628384561641,0.9789573991734483,1.020946201847015
2023,計,計,計,計,計,183169.0,183268.9999999825,0.9994543539824928,0.9834323656130634,1.0162919067234903
2024,計,計,計,計,計,191716.0,191825.99999997925,0.9994265636567553,0.9882030111889083,1.011357537207202
2013,計,計,計,その他の刑法犯,計,48306.0,48324.99999999342,0.999606828763716,0.9834684528143339,1.0164096529006088
2013,計,計,計,凶悪犯,計,4643.0,4647.0,0.9991392296105014,0.970977927153188,1.0290030305218982
2013,計,計,計,知能犯,計,13522.0,13522.999999996902,0.9999260519117872,0.9624319980827247,1.038957613528805
2013,計,計,計,窃盗犯,計,138914.0,138946.99999999267,0.9997624993703162,0.9804907254488346,1.0196552332635882
2013,計,計,計,粗暴犯,計,51259.0,51273.99999999629,0.9997074540703614,0.9781608492670107,1.0220276704179039
2013,計,計,計,風俗犯,計,5767.0,5770.0,0.9994800693240902,0.9958596196912044,1.0036355019937533
2014,計,計,計,その他の刑法犯,計,43611.0,43623.99999999417,0.9997019988998218,0.9845809617785489,1.015357840247041
2014,計,計,計,凶悪犯,計,4575.0,4580.0,0.9989082969432315,0.971691131918229,1.0280100992290346
2014,計,計,計,知能犯,計,13125.0,13124.999999996597,1.0000000000002593,0.9696856097211438,1.0312620812098399
2014,計,計,計,窃盗犯,計,131475.0,131489.99999999363,0.999885922883918,0.9785787338827563,1.0217736072360986
2014,計,計,計,粗暴犯,計,52604.0,52617.99999999336,0.9997339313544156,0.9780454760518859,1.0221753035350467
2014,計,計,計,風俗犯,計,5674.0,5678.0,0.9992955265938711,0.9891087977149516,1.010298896241195
