年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2013,計,計,計,計,計,262485.9999999793
2014,計,計,計,計,計,251114.99999997776
2015,計,計,計,計,計,239354.9999999815
2016,計,計,計,計,計,226375.99999997666
2017,計,計,計,計,計,215002.99999997747
2018,計,計,計,計,計,206093.99999998012
2019,計,計,計,計,計,192606.99999998137
2020,計,計,計,計,計,182581.99999998216
2021,計,計,計,計,計,175040.9999999809
2022,計,計,計,計,計,169408.9999999797
2023,計,計,計,計,計,183268.99999998254
2024,計,計,計,計,計,191825.99999997925
2013,計,計,計,その他の刑法犯,計,48324.99999999342
2013,計,計,計,凶悪犯,計,4647.0
2013,計,計,計,知能犯,計,13522.999999996902
2013,計,計,計,窃盗犯,計,138946.99999999267
2013,計,計,計,粗暴犯,計,51273.99999999629
2013,計,計,計,風俗犯,計,5770.0
2014,計,計,計,その他の刑法犯,計,43623.99999999417
2014,計,計,計,凶悪犯,計,4580.0
2014,計,計,計,知能犯,計,13124.999999996597
2014,計,計,計,窃盗犯,計,131489.99999999363
2014,計,計,計,粗暴犯,計,52617.999999993364
2014,計,計,計,風俗犯,計,5678.0
2015,計,計,計,その他の刑法犯,計,39726.999999992746
2015,計,計,計,凶悪犯,計,4409.0
2015,計,計,計,知能犯,計,13015.999999997113
2015,計,計,計,窃盗犯,計,123846.99999999572
2015,計,計,計,粗暴犯,計,52540.9999999959
2015,計,計,計,風俗犯,計,5815.0
2016,計,計,計,その他の刑法犯,計,35677.99999999539
2016,計,計,計,凶悪犯,計,4252.0
2016,計,計,計,知能犯,計,12875.999999995052
2016,計,計,計,窃盗犯,計,115461.99999999203
2016,計,計,計,粗暴犯,計,52290.99999999419
2016,計,計,計,風俗犯,計,5817.0
2017,計,計,計,その他の刑法犯,計,32545.999999993724
2017,計,計,計,凶悪犯,計,4067.0
2017,計,計,計,知能犯,計,12421.999999995785
2017,計,計,計,窃盗犯,計,109237.99999999172
2017,計,計,計,粗暴犯,計,51252.999999996246
2017,計,計,計,風俗犯,計,5477.0
2018,計,計,計,その他の刑法犯,計,29822.99999999492
2018,計,計,計,凶悪犯,計,4193.0
2018,計,計,計,知能犯,計,12279.999999997723
2018,計,計,計,窃盗犯,計,102368.99999999527
2018,計,計,計,粗暴犯,計,51785.9999999922
2018,計,計,計,風俗犯,計,5643.0
2019,計,計,計,その他の刑法犯,計,27077.999999995423
2019,計,計,計,凶悪犯,計,4225.0
2019,計,計,計,知能犯,計,10964.999999996722
2019,計,計,計,窃盗犯,計,94143.99999999358
2019,計,計,計,粗暴犯,計,50788.99999999565
