年,人数,表示区分,人数_万人
2013,2267326.8489548466,外国人計,226.73268489548465
2014,2342592.7138206973,外国人計,234.25927138206973
2015,2504602.1344796666,外国人計,250.46021344796665
2016,2693515.2382938853,外国人計,269.3515238293885
2017,2912106.0940082576,外国人計,291.2106094008258
2018,3122962.5313993227,外国人計,312.2962531399323
2019,3359083.6051050937,外国人計,335.90836051050934
2020,3055321.836436106,外国人計,305.5321836436106
2021,2910461.5269981055,外国人計,291.04615269981053
2022,3092466.123235664,外国人計,309.2466123235664
2023,3726003.9466599617,外国人計,372.6003946659962
2024,4251621.712852029,外国人計,425.16217128520293
2013,1225979.8489548464,来日外国人計,122.59798489548464
2014,1287901.713820697,来日外国人計,128.7901713820697
2015,1433779.1344796664,来日外国人計,143.37791344796665
2016,1605689.2382938853,来日外国人計,160.56892382938852
2017,1806613.0940082578,来日外国人計,180.6613094008258
2018,2001071.5313993227,来日外国人計,200.10715313993228
2019,2218184.6051050937,来日外国人計,221.81846051050937
2020,1902960.8364361061,来日外国人計,190.29608364361061
2021,1748881.5269981055,来日外国人計,174.88815269981055
2022,1908271.1232356639,来日外国人計,190.82711232356638
2023,2511959.9466599617,来日外国人計,251.19599466599618
2024,3019167.7128520296,来日外国人計,301.91677128520297
2013,1041347.0,永住者等,104.1347
2014,1054691.0,永住者等,105.4691
2015,1070823.0,永住者等,107.0823
2016,1087826.0,永住者等,108.7826
2017,1105493.0,永住者等,110.5493
2018,1121891.0,永住者等,112.1891
2019,1140899.0,永住者等,114.0899
2020,1152361.0,永住者等,115.2361
2021,1161580.0,永住者等,116.158
2022,1184195.0,永住者等,118.4195
2023,1214044.0,永住者等,121.4044
2024,1232454.0,永住者等,123.2454
2013,166582.01807583196,定住者,16.658201807583197
2014,162434.62835613187,定住者,16.243462835613187
2015,162256.82780254143,定住者,16.225682780254143
2016,167040.25507287888,定住者,16.704025507287888
2017,175372.768135132,定住者,17.537276813513202
2018,187807.74007078254,定住者,18.780774007078254
2019,199890.1391517934,定住者,19.989013915179342
2020,206318.09336790547,定住者,20.631809336790546
2021,201647.91966348968,定住者,20.164791966348968
2022,204200.30303320073,定住者,20.420030303320072
2023,214113.99772416515,定住者,21.411399772416516
2024,223329.69848391385,定住者,22.332969848391386
2013,163360.27523990074,日本人の配偶者等,16.336027523990076
2014,153545.98495520902,日本人の配偶者等,15.354598495520902
2015,146195.101940959,日本人の配偶者等,14.619510194095898
2016,143293.39584870124,日本人の配偶者等,14.329339584870125
2017,143160.03275221278,日本人の配偶者等,14.316003275221277
2018,145531.0,日本人の配偶者等,14.5531
2019,146192.0,日本人の配偶者等,14.6192
2020,146446.0,日本人の配偶者等,14.6446
2021,143493.0,日本人の配偶者等,14.3493
2022,145550.0,日本人の配偶者等,14.555
2023,148948.0,日本人の配偶者等,14.8948
2024,152092.0,日本人の配偶者等,15.2092
2013,162066.45204609327,技能実習,16.206645204609327
2014,168718.91462867628,技能実習,16.87189146286763
2015,187426.25276494006,技能実習,18.742625276494007
2016,217182.47075022984,技能実習,21.718247075022983
2017,258517.21794259606,技能実習,25.851721794259607
2018,292690.0,技能実習,29.269
2019,377075.0,技能実習,37.7075
2020,414849.0,技能実習,41.4849
2021,363290.0,技能実習,36.329
2022,333781.99999999994,技能実習,33.37819999999999
2023,369072.0,技能実習,36.9072
2024,437516.0,技能実習,43.7516
2013,183212.7944861426,留学,18.32127944861426
2014,201154.561926829,留学,20.1154561926829
2015,230132.86769127697,留学,23.013286769127696
2016,261859.1498655311,留学,26.18591498655311
2017,295377.7276627671,留学,29.53777276627671
2018,328345.0,留学,32.8345
2019,341555.0,留学,34.1555
2020,285816.0,留学,28.5816
2021,231459.99999999997,留学,23.145999999999997
2022,263069.0,留学,26.3069
2023,308264.0,留学,30.8264
2024,371010.0,留学,37.101
2013,188430.2651429409,短期滞在,18.84302651429409
2014,230709.296419913,短期滞在,23.070929641991302
2015,309710.95867691794,短期滞在,30.971095867691794
2016,364162.4990221548,短期滞在,36.416249902215476
2017,418319.2219890011,短期滞在,41.83192219890011
2018,463805.5313993227,短期滞在,46.38055313993227
2019,502899.6051050937,短期滞在,50.28996051050937
2020,137764.83643610607,短期滞在,13.776483643610607
2021,60468.52699810538,短期滞在,6.046852699810538
2022,110730.12323566398,短期滞在,11.073012323566399
2023,472529.94665996166,短期滞在,47.25299466599616
2024,633073.7128520295,短期滞在,63.30737128520295
2013,362328.043963937,その他,36.232804396393696
2014,371338.3275339379,その他,37.13383275339379
2015,398057.1256030311,その他,39.80571256030311
2016,452151.46773438953,その他,45.21514677343895
2017,515866.1255265488,その他,51.586612552654884
2018,582892.2599292175,その他,58.28922599292175
2019,650572.8608482066,その他,65.05728608482066
2020,711766.9066320945,その他,71.17669066320946
2021,748522.0803365103,その他,74.85220803365104
2022,850939.6969667992,その他,85.09396969667992
2023,999032.0022758349,その他,99.9032002275835
2024,1202146.301516086,その他,120.2146301516086
