年,表示区分,人数,人数_万人
2013,その他のうち家族滞在,121898,12.1898
2014,その他のうち家族滞在,123441,12.3441
2015,その他のうち家族滞在,128329,12.8329
2016,その他のうち家族滞在,140245,14.0245
2017,その他のうち家族滞在,157424,15.7424
2018,その他のうち家族滞在,174130,17.413
2019,その他のうち家族滞在,191017,19.1017
2020,その他のうち家族滞在,200299,20.0299
2021,その他のうち家族滞在,190010,19.001
2022,その他のうち家族滞在,209256,20.9256
2023,その他のうち家族滞在,244890,24.489
2024,その他のうち家族滞在,283204,28.3204
2013,その他のうち技術・人文知識・国際業務,0,0.0
2014,その他のうち技術・人文知識・国際業務,0,0.0
2015,その他のうち技術・人文知識・国際業務,132816,13.2816
2016,その他のうち技術・人文知識・国際業務,154021,15.4021
2017,その他のうち技術・人文知識・国際業務,180180,18.018
2018,その他のうち技術・人文知識・国際業務,212403,21.2403
2019,その他のうち技術・人文知識・国際業務,256414,25.6414
2020,その他のうち技術・人文知識・国際業務,288995,28.8995
2021,その他のうち技術・人文知識・国際業務,283259,28.3259
2022,その他のうち技術・人文知識・国際業務,300045,30.0045
2023,その他のうち技術・人文知識・国際業務,346116,34.6116
2024,その他のうち技術・人文知識・国際業務,394295,39.4295
2013,その他のうち特定技能,0,0.0
2014,その他のうち特定技能,0,0.0
2015,その他のうち特定技能,0,0.0
2016,その他のうち特定技能,0,0.0
2017,その他のうち特定技能,0,0.0
2018,その他のうち特定技能,0,0.0
2019,その他のうち特定技能,20,0.002
2020,その他のうち特定技能,5950,0.595
2021,その他のうち特定技能,29144,2.9144
2022,その他のうち特定技能,87472,8.7472
2023,その他のうち特定技能,173101,17.3101
2024,その他のうち特定技能,251747,25.1747
