年,区分00,区分01,在留資格,検挙人員,表示区分
2013,計,計,計,262411.0,計
2014,計,計,計,251064.0,計
2015,計,計,計,239273.0,計
2016,計,計,計,226304.0,計
2017,計,計,計,214930.0,計
2018,計,計,計,206032.0,計
2019,計,計,計,192540.0,計
2020,計,計,計,182523.0,計
2021,計,計,計,174965.0,計
2022,計,計,計,169318.0,計
2023,計,計,計,183169.0,計
2024,計,計,計,191716.0,計
2013,日本人,計,計,251934.0,日本人
2014,日本人,計,計,240596.0,日本人
2015,日本人,計,計,228309.0,日本人
2016,日本人,計,計,215626.0,日本人
2017,日本人,計,計,204423.0,日本人
2018,日本人,計,計,196029.0,日本人
2019,日本人,計,計,183004.0,日本人
2020,日本人,計,計,173053.0,日本人
2021,日本人,計,計,165637.0,日本人
2022,日本人,計,計,160707.0,日本人
2023,日本人,計,計,173543.0,日本人
2024,日本人,計,計,181362.0,日本人
2013,外国人,計,計,10477.0,外国人計
2014,外国人,計,計,10468.0,外国人計
2015,外国人,計,計,10964.0,外国人計
2016,外国人,計,計,10678.0,外国人計
2017,外国人,計,計,10507.0,外国人計
2018,外国人,計,計,10003.0,外国人計
2019,外国人,計,計,9536.0,外国人計
2020,外国人,計,計,9470.0,外国人計
2021,外国人,計,計,9328.0,外国人計
2022,外国人,計,計,8611.0,外国人計
2023,外国人,計,計,9626.0,外国人計
2024,外国人,計,計,10354.0,外国人計
2013,外国人,来日外国人,計,5620.0,来日外国人計
2014,外国人,来日外国人,計,5787.0,来日外国人計
2015,外国人,来日外国人,計,6187.0,来日外国人計
2016,外国人,来日外国人,計,6097.0,来日外国人計
2017,外国人,来日外国人,計,6113.0,来日外国人計
2018,外国人,来日外国人,計,5844.0,来日外国人計
2019,外国人,来日外国人,計,5563.0,来日外国人計
2020,外国人,来日外国人,計,5634.0,来日外国人計
2021,外国人,来日外国人,計,5573.0,来日外国人計
2022,外国人,来日外国人,計,5014.0,来日外国人計
2023,外国人,来日外国人,計,5735.0,来日外国人計
2024,外国人,来日外国人,計,6368.0,来日外国人計
2013,外国人,永住者等,計,4857.0,永住者等
2014,外国人,永住者等,計,4681.0,永住者等
2015,外国人,永住者等,計,4777.0,永住者等
2016,外国人,永住者等,計,4581.0,永住者等
2017,外国人,永住者等,計,4394.0,永住者等
2018,外国人,永住者等,計,4159.0,永住者等
2019,外国人,永住者等,計,3973.0,永住者等
2020,外国人,永住者等,計,3836.0,永住者等
2021,外国人,永住者等,計,3755.0,永住者等
2022,外国人,永住者等,計,3597.0,永住者等
2023,外国人,永住者等,計,3891.0,永住者等
2024,外国人,永住者等,計,3986.0,永住者等
2013,外国人,来日外国人,定住者,1227.0,定住者
2014,外国人,来日外国人,定住者,1198.0,定住者
2015,外国人,来日外国人,定住者,1207.0,定住者
2016,外国人,来日外国人,定住者,1087.0,定住者
2017,外国人,来日外国人,定住者,1093.0,定住者
2018,外国人,来日外国人,定住者,977.0,定住者
2019,外国人,来日外国人,定住者,932.0,定住者
2020,外国人,来日外国人,定住者,926.0,定住者
2021,外国人,来日外国人,定住者,957.0,定住者
2022,外国人,来日外国人,定住者,902.0,定住者
2023,外国人,来日外国人,定住者,1005.0,定住者
2024,外国人,来日外国人,定住者,1099.0,定住者
2013,外国人,来日外国人,日本人の配偶者等,1008.0,日本人の配偶者等
2014,外国人,来日外国人,日本人の配偶者等,977.0,日本人の配偶者等
2015,外国人,来日外国人,日本人の配偶者等,928.0,日本人の配偶者等
2016,外国人,来日外国人,日本人の配偶者等,889.0,日本人の配偶者等
2017,外国人,来日外国人,日本人の配偶者等,731.0,日本人の配偶者等
2018,外国人,来日外国人,日本人の配偶者等,681.0,日本人の配偶者等
2019,外国人,来日外国人,日本人の配偶者等,678.0,日本人の配偶者等
2020,外国人,来日外国人,日本人の配偶者等,613.0,日本人の配偶者等
2021,外国人,来日外国人,日本人の配偶者等,603.0,日本人の配偶者等
2022,外国人,来日外国人,日本人の配偶者等,570.0,日本人の配偶者等
2023,外国人,来日外国人,日本人の配偶者等,605.0,日本人の配偶者等
2024,外国人,来日外国人,日本人の配偶者等,599.0,日本人の配偶者等
2013,外国人,来日外国人,技能実習,411.0,技能実習
2014,外国人,来日外国人,技能実習,507.0,技能実習
2015,外国人,来日外国人,技能実習,604.0,技能実習
2016,外国人,来日外国人,技能実習,678.0,技能実習
2017,外国人,来日外国人,技能実習,736.0,技能実習
2018,外国人,来日外国人,技能実習,687.0,技能実習
2019,外国人,来日外国人,技能実習,714.0,技能実習
2020,外国人,来日外国人,技能実習,1076.0,技能実習
2021,外国人,来日外国人,技能実習,1104.0,技能実習
2022,外国人,来日外国人,技能実習,810.0,技能実習
2023,外国人,来日外国人,技能実習,933.0,技能実習
2024,外国人,来日外国人,技能実習,986.0,技能実習
2013,外国人,来日外国人,留学,1130.0,留学
2014,外国人,来日外国人,留学,1274.0,留学
2015,外国人,来日外国人,留学,1548.0,留学
2016,外国人,来日外国人,留学,1506.0,留学
2017,外国人,来日外国人,留学,1403.0,留学
2018,外国人,来日外国人,留学,1248.0,留学
2019,外国人,来日外国人,留学,1097.0,留学
2020,外国人,来日外国人,留学,952.0,留学
2021,外国人,来日外国人,留学,807.0,留学
2022,外国人,来日外国人,留学,627.0,留学
2023,外国人,来日外国人,留学,745.0,留学
2024,外国人,来日外国人,留学,874.0,留学
2013,外国人,来日外国人,短期滞在,356.0,短期滞在
