年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり,日本人_検挙人員数_1万人あたり,対日本人倍率,表示区分,日本人との差分倍率
2013,計,計,計,計,計,262411.0,112706021.18227692,23.2827844730326,22.77408195187602,1.0223369057084943,計,0.022336905708494337
2014,計,計,計,計,計,251064.0,112664749.04018238,22.284166266633843,21.77102939047343,1.0235697112413504,計,0.023569711241350433
2015,計,計,計,計,計,239273.0,112999189.38863808,21.174753668105392,20.62463469818308,1.0266729073252765,計,0.026672907325276496
2016,計,計,計,計,計,226304.0,113034149.03619675,20.020852276025984,19.50336684691063,1.026533133134258,計,0.02653313313425798
2017,計,計,計,計,計,214930.0,113029356.0091803,19.01541401178498,18.524313792806147,1.026511115308873,計,0.026511115308873068
2018,計,計,計,計,計,206032.0,112962026.07318132,18.239049631291515,17.8057826086707,1.024332939031269,計,0.024332939031268985
2019,計,計,計,計,計,192540.0,112875562.5729506,17.057722292685174,16.669173471121912,1.0233094233638154,計,0.023309423363815363
2020,計,計,計,計,計,182523.0,112459489.83794346,16.230110972672875,15.782147374033924,1.028384198171662,計,0.028384198171661934
2021,計,計,計,計,計,174965.0,111969423.33735567,15.626141028952452,15.155470344747444,1.0310561581724933,計,0.031056158172493298
2022,計,計,計,計,計,169318.0,111688142.07742922,15.159890463807532,14.7653291676953,1.0267221469722112,計,0.026722146972211203
2023,計,計,計,計,計,183169.0,111756616.17668466,16.389991596597195,16.020734094014255,1.0230487255088332,計,0.02304872550883319
2024,計,計,計,計,計,191716.0,111707004.73372394,17.162397331930396,16.826381928574808,1.019969557613866,計,0.019969557613866096
2013,日本人,計,計,計,計,251934.0,110623119.97136152,22.77408195187602,22.77408195187602,1.0,日本人,0.0
2014,日本人,計,計,計,計,240596.0,110512000.0,21.77102939047343,21.77102939047343,1.0,日本人,0.0
2015,日本人,計,計,計,計,228309.0,110697233.35275014,20.62463469818308,20.62463469818308,1.0,日本人,0.0
2016,日本人,計,計,計,計,215626.0,110558347.02414756,19.50336684691063,19.50336684691063,1.0,日本人,0.0
2017,日本人,計,計,計,計,204423.0,110353885.3241554,18.524313792806147,18.524313792806147,1.0,日本人,0.0
2018,日本人,計,計,計,計,196029.0,110092886.2877062,17.8057826086707,17.8057826086707,1.0,日本人,0.0
2019,日本人,計,計,計,計,183004.0,109785887.29491636,16.669173471121912,16.669173471121912,1.0,日本人,0.0
2020,日本人,計,計,計,計,173053.0,109651111.41004862,15.782147374033924,15.782147374033924,1.0,日本人,0.0
2021,日本人,計,計,計,計,165637.0,109291890.14408,15.155470344747444,15.155470344747444,1.0,日本人,0.0
2022,日本人,計,計,計,計,160707.0,108840783.8218784,14.7653291676953,14.7653291676953,1.0,日本人,0.0
2023,日本人,計,計,計,計,173543.0,108324000.0,16.020734094014255,16.020734094014255,1.0,日本人,0.0
2024,日本人,計,計,計,計,181362.0,107784312.02254383,16.826381928574808,16.826381928574808,1.0,日本人,0.0
2013,外国人,計,計,計,計,10477.0,2082901.2109154272,50.30003317053812,22.77408195187602,2.208652505810213,外国人計,1.208652505810213
2014,外国人,計,計,計,計,10468.0,2152749.04018238,48.62619750193063,21.77102939047343,2.2335277138162555,外国人計,1.2335277138162555
2015,外国人,計,計,計,計,10964.0,2301956.035887944,47.62905906572106,20.62463469818308,2.309328614189561,外国人計,1.3093286141895608
2016,外国人,計,計,計,計,10678.0,2475802.0120491977,43.129458446323504,19.50336684691063,2.21138528464665,外国人計,1.2113852846466502
2017,外国人,計,計,計,計,10507.0,2675470.685024894,39.27159456020068,18.524313792806147,2.1200026624171997,外国人計,1.1200026624171997
