年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,推定検挙人員,対推定値倍率,日本人_対推定値倍率,対日本人倍率_年齢調整後,表示区分
2013,計,計,計,計,計,262411.0,262485.9999999793,0.9997142704754568,0.9798266917422764,1.0202970371197146,計
2014,計,計,計,計,計,251064.0,251114.99999997776,0.99979690580022,0.979157200316481,1.0210790519408608,計
2015,計,計,計,計,計,239273.0,239354.9999999815,0.9996574126298532,0.97678714233245,1.0234137708270723,計
2016,計,計,計,計,計,226304.0,226375.99999997663,0.9996819450826208,0.9777300531366304,1.0224518944422,計
2017,計,計,計,計,計,214930.0,215002.99999997747,0.9996604698540138,0.9784524143151294,1.021675101648892,計
2018,計,計,計,計,計,206032.0,206093.9999999801,0.9996991663998948,0.981352575760014,1.0186952081168912,計
2019,計,計,計,計,計,192540.0,192606.99999998137,0.9996521414072106,0.9828777953840796,1.017066563210512,計
2020,計,計,計,計,計,182523.0,182581.99999998216,0.9996768575216496,0.977364267167829,1.0228293494077467,計
2021,計,計,計,計,計,174965.0,175040.9999999809,0.9995658160089298,0.9743679840010852,1.025860693723098,計
2022,計,計,計,計,計,169318.0,169408.9999999797,0.999462838456164,0.9789573991734484,1.020946201847015,計
2023,計,計,計,計,計,183169.0,183268.9999999825,0.9994543539824928,0.9834323656130634,1.0162919067234903,計
2024,計,計,計,計,計,191716.0,191825.99999997925,0.9994265636567552,0.9882030111889084,1.011357537207202,計
2013,日本人,計,計,計,計,251934.0,257120.9808053138,0.9798266917422764,0.9798266917422764,1.0,日本人
2014,日本人,計,計,計,計,240596.0,245717.4393674837,0.979157200316481,0.979157200316481,1.0,日本人
2015,日本人,計,計,計,計,228309.0,233734.64914252004,0.97678714233245,0.97678714233245,1.0,日本人
2016,日本人,計,計,計,計,215626.0,220537.35518127505,0.9777300531366304,0.9777300531366304,1.0,日本人
2017,日本人,計,計,計,計,204423.0,208924.82558090112,0.9784524143151294,0.9784524143151294,1.0,日本人
2018,日本人,計,計,計,計,196029.0,199753.89563550512,0.981352575760014,0.981352575760014,1.0,日本人
2019,日本人,計,計,計,計,183004.0,186192.0178270865,0.9828777953840796,0.9828777953840796,1.0,日本人
