年,年代,検挙人員,人数,検挙人員割合,検挙人員数_1万人あたり
2013,10代(14歳以上),56901,7245156.095816372,0.007853661018132762,78.53661018132762
2014,10代(14歳以上),48843,7200919.615093694,0.006782883660806494,67.82883660806493
2015,10代(14歳以上),39489,7259852.072353073,0.005439367029306531,54.393670293065306
2016,10代(14歳以上),31995,7231719.380636883,0.004424259061498908,44.24259061498908
2017,10代(14歳以上),27301,7154929.053876686,0.0038156912241090308,38.15691224109031
2018,10代(14歳以上),23970,7050531.569474935,0.0033997436595812713,33.997436595812715
2019,10代(14歳以上),20410,6926823.458983257,0.0029465165556559238,29.46516555655924
2020,10代(14歳以上),17904,6808287.978818845,0.0026297360005482794,26.297360005482794
2021,10代(14歳以上),15349,6676485.467723809,0.002298964039418913,22.98964039418913
2022,10代(14歳以上),15376,6605500.0580385,0.0023277571516010093,23.27757151601009
2023,10代(14歳以上),19399,6592797.879015552,0.002942453318908162,29.424533189081618
2024,10代(14歳以上),22274,6570724.673406683,0.0033898848463622716,33.89884846362271
2013,20代,42140,13242390.943121102,0.003182204798287583,31.82204798287583
2014,20代,41081,13040240.441122737,0.0031503253475641444,31.503253475641444
2015,20代,40439,12823345.167249082,0.0031535453091664028,31.535453091664028
2016,20代,38974,12753045.041168712,0.003056054446148835,30.56054446148835
2017,20代,37739,12738388.46755802,0.002962619651309367,29.626196513093667
2018,20代,36670,12759375.91029432,0.0028739650166129584,28.739650166129586
2019,20代,34067,12824453.124957735,0.002656409569130245,26.564095691302448
2020,20代,32071,12806269.549998995,0.002504320237426403,25.04320237426403
2021,20代,31131,12709994.624929521,0.002449332271072666,24.49332271072666
2022,20代,30265,12706594.070576098,0.0023818341745946584,23.818341745946583
2023,20代,32111,12807359.72025238,0.0025072302723896027,25.072302723896026
2024,20代,33978,12906160.86150977,0.002632696149118448,26.32696149118448
2013,30代,36631,16868718.34180961,0.0021715342717655672,21.715342717655673
2014,30代,35525,16329679.319406463,0.0021754866893057413,21.754866893057415
2015,30代,34729,15988320.796281936,0.0021721480599811447,21.721480599811446
2016,30代,34036,15563922.265101623,0.002186852351242951,21.86852351242951
2017,30代,31950,15207355.653297298,0.0021009569795306603,21.009569795306604
2018,30代,30882,14859327.827980278,0.002078290509335749,20.78290509335749
2019,30代,28804,14543487.012444008,0.0019805429038685226,19.805429038685226
2020,30代,26838,14273688.675027236,0.0018802427747324248,18.80242774732425
2021,30代,25153,13953612.301527107,0.00180261565653843,18.0261565653843
2022,30代,24600,13704618.303704316,0.0017950153338711153,17.950153338711154
2023,30代,26095,13550957.590489157,0.0019256941677918745,19.256941677918746
2024,30代,27774,13429126.551180687,0.002068191098963031,20.68191098963031
2013,40代,36051,18203103.133487303,0.0019804864992320373,19.804864992320372
2014,40代,36543,18537365.50898065,0.0019713157180990095,19.713157180990095
2015,40代,36477,18736867.851690367,0.001946803504658821,19.46803504658821
2016,40代,35883,19127265.367824294,0.001876013079233064,18.760130792330642
2017,40代,34686,19048144.65632887,0.0018209647514659832,18.20964751465983
2018,40代,33706,18916464.88072187,0.0017818339849720243,17.818339849720243
2019,40代,31715,18681506.052853342,0.0016976682666950168,16.97668266695017
2020,40代,29910,18384550.222035114,0.001626909532121752,16.26909532121752
2021,40代,28599,17929203.373177182,0.0015951071224271608,15.951071224271608
2022,40代,26826,17436992.043921646,0.0015384534174488693,15.384534174488692
2023,40代,28093,16973804.852376964,0.0016550797092536348,16.55079709253635
2024,40代,28667,16496530.002173195,0.001737759395231816,17.37759395231816
2013,50代,27637,15540204.486955913,0.0017784193266695979,17.78419326669598
2014,50代,26785,15530959.022879202,0.001724619835809371,17.24619835809371
2015,50代,26781,15710822.93748844,0.0017046210823302205,17.046210823302204
2016,50代,25969,15543632.416015755,0.0016707162975137149,16.707162975137148
2017,50代,25600,15850840.195228755,0.0016150563430515077,16.150563430515078
2018,50代,25463,16121921.316749813,0.0015794023243089089,15.79402324308909
2019,50代,25088,16396166.56538514,0.001530113755550927,15.30113755550927
2020,50代,24446,16702202.612216294,0.0014636392916297012,14.636392916297012
2021,50代,24309,17089229.392901115,0.0014224749075050737,14.224749075050736
2022,50代,24207,17534110.388907522,0.0013805661914455551,13.805661914455552
2023,50代,26633,18013389.920670725,0.001478511269521685,14.78511269521685
2024,50代,27845,18380355.752631065,0.0015149325929675825,15.149325929675825
2013,60代,31522,18393061.486655373,0.001713798435506237,17.137984355062372
2014,60代,30124,18166728.286261037,0.0016581962104195666,16.581962104195664
2015,60代,29181,18351858.44009029,0.0015900841920321847,15.900841920321847
2016,60代,27928,18480534.89709995,0.001511211669765175,15.112116697651748
2017,60代,26091,17777555.7201753,0.0014676370818734086,14.676370818734085
2018,60代,23999,17018934.901164815,0.001410135248731544,14.10135248731544
2019,60代,21760,16297365.251090106,0.0013351851458654955,13.351851458654954
2020,60代,20231,15690216.890049974,0.0012894021887504682,12.894021887504682
2021,60代,18993,15264568.854470002,0.001244253943958475,12.44253943958475
2022,60代,17852,14994373.813214261,0.0011905798949915045,11.905798949915045
2023,60代,18782,14901165.689766103,0.0012604383033536226,12.604383033536227
2024,60代,19211,14916447.596674383,0.001287907182691614,12.87907182691614
2013,70代以上,31604,23213386.694431268,0.0013614558020343314,13.614558020343315
2014,70代以上,32214,23858856.846438594,0.0013501904222543912,13.501904222543912
2015,70代以上,32259,24128122.1234849,0.0013369875962539572,13.369875962539572
2016,70代以上,31591,24334029.668349538,0.0012982231233608366,12.982231233608365
2017,70代以上,31636,25252142.26271537,0.0012528046005312729,12.528046005312728
2018,70代以上,31404,26235469.666795284,0.0011970054433500853,11.970054433500852
2019,70代以上,30763,27205761.107237026,0.0011307531474212904,11.307531474212904
2020,70代以上,31182,27794273.909797005,0.0011218857560804595,11.218857560804596
2021,70代以上,31507,28346329.32262694,0.0011115019388013006,11.115019388013005
2022,70代以上,30283,28705953.399066877,0.001054937962833326,10.549379628333261
2023,70代以上,32156,28917140.52411378,0.0011120048323306848,11.120048323306849
2024,70代以上,32077,29007659.296148162,0.0011058113883824954,11.058113883824953
