年,表示区分,年代,人数,総人数,構成比,構成比_pct
2013,日本人,0~13歳,15080880.02863848,125704000.0,0.11997136152102145,11.997136152102145
2014,日本人,0~13歳,14919000.0,125431000.0,0.11894188836890401,11.894188836890402
2015,日本人,0~13歳,14621766.647249864,125319000.0,0.11667637506882328,11.667637506882327
2016,日本人,0~13歳,14461652.975852445,125020000.0,0.1156747158522832,11.56747158522832
2017,日本人,0~13歳,14294114.675844586,124648000.0,0.11467584458510835,11.467584458510835
2018,日本人,0~13歳,14125113.712293807,124218000.0,0.11371229380841591,11.37122938084159
2019,日本人,0~13歳,13945112.70508365,123731000.0,0.11270508364988281,11.270508364988281
2020,日本人,0~13歳,13747888.589951375,123399000.0,0.11141004862236627,11.141004862236628
2021,日本人,0~13歳,13488109.855919989,122780000.0,0.1098559199863169,10.98559199863169
2022,日本人,0~13歳,13190216.178121597,122031000.0,0.10808906079702368,10.808906079702368
2023,日本人,0~13歳,12869000.0,121193000.0,0.10618600084163277,10.618600084163276
2024,日本人,0~13歳,12511687.977456173,120296000.0,0.10400751460943151,10.400751460943152
2013,日本人,10代(14歳以上),7143943.168529494,125704000.0,0.05683147050634422,5.683147050634422
2014,日本人,10代(14歳以上),7093000.0,125431000.0,0.056549018982548174,5.654901898254818
2015,日本人,10代(14歳以上),7139886.05261688,125319000.0,0.05697369156007374,5.697369156007373
2016,日本人,10代(14歳以上),7100829.607352247,125020000.0,0.05679754925093783,5.679754925093783
2017,日本人,10代(14歳以上),7012056.254863735,124648000.0,0.05625486373518817,5.625486373518817
2018,日本人,10代(14歳以上),6899055.539901946,124218000.0,0.055539901945788415,5.553990194578842
2019,日本人,10代(14歳以上),6763054.659338882,123731000.0,0.0546593388830518,5.46593388830518
2020,日本人,10代(14歳以上),6682945.842787682,123399000.0,0.054157212317666126,5.415721231766613
2021,日本人,10代(14歳以上),6578053.575937253,122780000.0,0.05357593725311332,5.3575937253113315
2022,日本人,10代(14歳以上),6494106.433716576,122031000.0,0.05321685828778405,5.3216858287784055
2023,日本人,10代(14歳以上),6433000.0,121193000.0,0.053080623468352135,5.3080623468352135
2024,日本人,10代(14歳以上),6376840.971246644,120296000.0,0.053009584452073585,5.300958445207359
2013,日本人,20代,12668899.216419397,125704000.0,0.10078358060538564,10.078358060538564
2014,日本人,20代,12451000.0,125431000.0,0.0992657317569022,9.926573175690221
2015,日本人,20代,12177805.651088003,125319000.0,0.09717445599699968,9.717445599699968
2016,日本人,20代,12026711.40510146,125020000.0,0.0961982995128896,9.61982995128896
2017,日本人,20代,11921095.638081944,124648000.0,0.09563808194340818,9.563808194340819
2018,日本人,20代,11855095.43782252,124218000.0,0.09543782252026696,9.543782252026697
