年,在留資格,業種,業種構成比,業種構成比_pct
2024,技能実習,建設業,0.002277954219554942,0.22779542195549418
2024,技能実習,製造業,0.004623336342875352,0.4623336342875352
2024,技能実習,情報通信業,5.9482712836581865e-06,0.0005948271283658187
2024,技能実習,卸売業、小売業,0.0008658983482925276,0.08658983482925275
2024,技能実習,宿泊業、飲食サービス業,0.00014241860959158744,0.014241860959158744
2024,技能実習,教育、学習支援業,1.1046789526793777e-06,0.00011046789526793776
2024,技能実習,医療、福祉,0.00041960805141005896,0.0419608051410059
2024,技能実習,サービス業（他に分類されないもの）,0.00036114504222210423,0.03611450422221042
2024,留学,建設業,1.4038641521045142e-05,0.0014038641521045142
2024,留学,製造業,0.0006661623866972653,0.06661623866972653
2024,留学,情報通信業,9.105885972897088e-05,0.009105885972897089
2024,留学,卸売業、小売業,0.0020884562622597723,0.20884562622597724
2024,留学,宿泊業、飲食サービス業,0.003440396671752202,0.3440396671752202
2024,留学,教育、学習支援業,0.0006130206797523045,0.061302067975230454
2024,留学,医療、福祉,0.00023660559750766035,0.023660559750766034
2024,留学,サービス業（他に分類されないもの）,0.001909383453634021,0.1909383453634021
2024,永住者,建設業,0.0003017718715393134,0.03017718715393134
2024,永住者,製造業,0.002520111159865438,0.2520111159865438
2024,永住者,情報通信業,0.00033246097912618315,0.033246097912618316
2024,永住者,卸売業、小売業,0.001378737541528239,0.1378737541528239
2024,永住者,宿泊業、飲食サービス業,0.0009091288994755427,0.09091288994755427
2024,永住者,教育、学習支援業,0.00048561921477673997,0.048561921477674
2024,永住者,医療、福祉,0.0005226289726070331,0.052262897260703316
2024,永住者,サービス業（他に分類されないもの）,0.002080277481769364,0.20802774817693642
2024,日本人の配偶者等,建設業,0.00038436969757460823,0.038436969757460825
2024,日本人の配偶者等,製造業,0.0023557241241640883,0.23557241241640883
2024,日本人の配偶者等,情報通信業,0.00033077153408523805,0.0330771534085238
2024,日本人の配偶者等,卸売業、小売業,0.0012624014372691885,0.12624014372691886
2024,日本人の配偶者等,宿泊業、飲食サービス業,0.0010064876734205011,0.10064876734205011
2024,日本人の配偶者等,教育、学習支援業,0.0006651362411418304,0.06651362411418305
2024,日本人の配偶者等,医療、福祉,0.0004424593272781715,0.04424593272781715
2024,日本人の配偶者等,サービス業（他に分類されないもの）,0.00217816149316299,0.21781614931629903
2024,永住者の配偶者等,建設業,0.0007624226914054169,0.07624226914054169
2024,永住者の配偶者等,製造業,0.0026060993815312434,0.26060993815312433
2024,永住者の配偶者等,情報通信業,0.0002329921091917253,0.02329921091917253
2024,永住者の配偶者等,卸売業、小売業,0.001306248667093197,0.1306248667093197
2024,永住者の配偶者等,宿泊業、飲食サービス業,0.000955960759223715,0.0955960759223715
2024,永住者の配偶者等,教育、学習支援業,0.00021912987843889956,0.021912987843889956
2024,永住者の配偶者等,医療、福祉,0.00022446150565152485,0.022446150565152485
2024,永住者の配偶者等,サービス業（他に分類されないもの）,0.0024088291746641073,0.24088291746641075
2024,定住者,建設業,0.00043480310135979067,0.04348031013597907
2024,定住者,製造業,0.003057368871711482,0.3057368871711482
2024,定住者,情報通信業,9.39520341872285e-05,0.00939520341872285
2024,定住者,卸売業、小売業,0.0007858663461613994,0.07858663461613995
2024,定住者,宿泊業、飲食サービス業,0.0007610428990015633,0.07610428990015633
2024,定住者,教育、学習支援業,9.002427356067213e-05,0.009002427356067213
2024,定住者,医療、福祉,0.0003081720987596132,0.03081720987596132
2024,定住者,サービス業（他に分類されないもの）,0.0034857304456437205,0.34857304456437205
