調査年度,在留資格,回答者数,受けたことがある割合,受けたことがある割合_pct,受けたことはないが見聞きしたことはある割合,受けたことはないが見聞きしたことはある割合_pct,経験あり割合,経験あり割合_pct,受けたことも見聞きしたこともない割合,受けたことも見聞きしたこともない割合_pct,分からない割合,分からない割合_pct,出典ファイル,出典ページ,出典表
2024,全体,7621,0.127,12.7,0.316,31.6,0.443,44.3,0.388,38.8,0.168,16.8,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,技術・人文知識・国際業務,1011,0.128,12.8,0.401,40.1,0.529,52.9,0.332,33.2,0.139,13.9,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,特定技能,532,0.115,11.5,0.271,27.1,0.386,38.6,0.438,43.8,0.177,17.7,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,技能実習,968,0.084,8.4,0.213,21.3,0.297,29.7,0.495,49.5,0.209,20.9,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,留学,611,0.121,12.1,0.391,39.1,0.512,51.2,0.304,30.4,0.183,18.3,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,家族滞在,634,0.093,9.3,0.281,28.1,0.374,37.4,0.412,41.2,0.215,21.5,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,特定活動,118,0.102,10.2,0.347,34.7,0.449,44.9,0.364,36.4,0.186,18.6,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,永住者,2088,0.134,13.4,0.317,31.7,0.451,45.1,0.395,39.5,0.154,15.4,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,日本人の配偶者等,455,0.143,14.3,0.257,25.7,0.4,40.0,0.459,45.9,0.141,14.1,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,定住者,462,0.173,17.3,0.312,31.2,0.485,48.5,0.366,36.6,0.149,14.9,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,特別永住者,330,0.255,25.5,0.448,44.8,0.703,70.3,0.2,20.0,0.097,9.7,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
2024,その他,412,0.114,11.4,0.311,31.1,0.425,42.5,0.371,37.1,0.204,20.4,001436052.pdf,553,図表．【在留資格別】ヘイトスピーチの経験（単一回答）
