調査年度,能力項目,在留資格,回答者数,選択肢順,選択肢,割合,割合_pct,出典ファイル,出典ページ,出典表
2024,会話,全体,7291,1,どんな内容でも適切に会話を進めることができる,0.176,17.6,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,全体,7291,2,流ちょうに自然に会話をすることができる,0.175,17.5,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,全体,7291,3,日常生活で必要な会話ができる,0.333,33.3,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,全体,7291,4,身近で基本的な情報交換ができる,0.131,13.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,全体,7291,5,日常的な言い回しを使うことができる,0.161,16.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,全体,7291,6,全くできない,0.024,2.4,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技術・人文知識・国際業務,1011,1,どんな内容でも適切に会話を進めることができる,0.228,22.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技術・人文知識・国際業務,1011,2,流ちょうに自然に会話をすることができる,0.242,24.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技術・人文知識・国際業務,1011,3,日常生活で必要な会話ができる,0.327,32.7,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技術・人文知識・国際業務,1011,4,身近で基本的な情報交換ができる,0.111,11.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技術・人文知識・国際業務,1011,5,日常的な言い回しを使うことができる,0.074,7.4,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技術・人文知識・国際業務,1011,6,全くできない,0.017,1.7,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定技能,532,1,どんな内容でも適切に会話を進めることができる,0.098,9.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定技能,532,2,流ちょうに自然に会話をすることができる,0.068,6.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定技能,532,3,日常生活で必要な会話ができる,0.451,45.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定技能,532,4,身近で基本的な情報交換ができる,0.182,18.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定技能,532,5,日常的な言い回しを使うことができる,0.186,18.6,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定技能,532,6,全くできない,0.015,1.5,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技能実習,968,1,どんな内容でも適切に会話を進めることができる,0.065,6.5,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技能実習,968,2,流ちょうに自然に会話をすることができる,0.038,3.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技能実習,968,3,日常生活で必要な会話ができる,0.35,35.0,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技能実習,968,4,身近で基本的な情報交換ができる,0.201,20.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技能実習,968,5,日常的な言い回しを使うことができる,0.318,31.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,技能実習,968,6,全くできない,0.027,2.7,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,留学,611,1,どんな内容でも適切に会話を進めることができる,0.149,14.9,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,留学,611,2,流ちょうに自然に会話をすることができる,0.201,20.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,留学,611,3,日常生活で必要な会話ができる,0.419,41.9,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,留学,611,4,身近で基本的な情報交換ができる,0.123,12.3,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,留学,611,5,日常的な言い回しを使うことができる,0.098,9.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,留学,611,6,全くできない,0.01,1.0,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,家族滞在,634,1,どんな内容でも適切に会話を進めることができる,0.062,6.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,家族滞在,634,2,流ちょうに自然に会話をすることができる,0.082,8.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,家族滞在,634,3,日常生活で必要な会話ができる,0.306,30.6,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,家族滞在,634,4,身近で基本的な情報交換ができる,0.183,18.3,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,家族滞在,634,5,日常的な言い回しを使うことができる,0.317,31.7,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,家族滞在,634,6,全くできない,0.05,5.0,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定活動,118,1,どんな内容でも適切に会話を進めることができる,0.119,11.9,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定活動,118,2,流ちょうに自然に会話をすることができる,0.136,13.6,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定活動,118,3,日常生活で必要な会話ができる,0.297,29.7,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定活動,118,4,身近で基本的な情報交換ができる,0.136,13.6,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定活動,118,5,日常的な言い回しを使うことができる,0.212,21.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,特定活動,118,6,全くできない,0.102,10.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,永住者,2088,1,どんな内容でも適切に会話を進めることができる,0.273,27.3,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,永住者,2088,2,流ちょうに自然に会話をすることができる,0.249,24.9,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,永住者,2088,3,日常生活で必要な会話ができる,0.304,30.4,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,永住者,2088,4,身近で基本的な情報交換ができる,0.082,8.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,永住者,2088,5,日常的な言い回しを使うことができる,0.078,7.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,永住者,2088,6,全くできない,0.013,1.3,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,日本人の配偶者等,455,1,どんな内容でも適切に会話を進めることができる,0.191,19.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,日本人の配偶者等,455,2,流ちょうに自然に会話をすることができる,0.244,24.4,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,日本人の配偶者等,455,3,日常生活で必要な会話ができる,0.305,30.5,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,日本人の配偶者等,455,4,身近で基本的な情報交換ができる,0.112,11.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,日本人の配偶者等,455,5,日常的な言い回しを使うことができる,0.125,12.5,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,日本人の配偶者等,455,6,全くできない,0.022,2.2,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,定住者,462,1,どんな内容でも適切に会話を進めることができる,0.141,14.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,定住者,462,2,流ちょうに自然に会話をすることができる,0.141,14.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,定住者,462,3,日常生活で必要な会話ができる,0.299,29.9,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,定住者,462,4,身近で基本的な情報交換ができる,0.149,14.9,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,定住者,462,5,日常的な言い回しを使うことができる,0.223,22.3,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,定住者,462,6,全くできない,0.048,4.8,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,その他,412,1,どんな内容でも適切に会話を進めることができる,0.167,16.7,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,その他,412,2,流ちょうに自然に会話をすることができる,0.165,16.5,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,その他,412,3,日常生活で必要な会話ができる,0.301,30.1,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,その他,412,4,身近で基本的な情報交換ができる,0.124,12.4,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,その他,412,5,日常的な言い回しを使うことができる,0.204,20.4,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,会話,その他,412,6,全くできない,0.039,3.9,001436052.pdf,71,図表．【在留資格別】日本語能力（会話）（単一回答）
2024,読む,全体,7291,1,どんな内容の文章でも容易に読むことができる,0.136,13.6,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,全体,7291,2,新聞記事などを読むことができる,0.126,12.6,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,全体,7291,3,日常生活のEメールなどを読むことができる,0.206,20.6,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,全体,7291,4,簡単で短い文章を読むことができる,0.291,29.1,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,全体,7291,5,掲示等の名前や言葉なら読むことができる,0.133,13.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,全体,7291,6,全く分からない,0.107,10.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技術・人文知識・国際業務,1011,1,どんな内容の文章でも容易に読むことができる,0.171,17.1,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技術・人文知識・国際業務,1011,2,新聞記事などを読むことができる,0.215,21.5,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技術・人文知識・国際業務,1011,3,日常生活のEメールなどを読むことができる,0.318,31.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技術・人文知識・国際業務,1011,4,簡単で短い文章を読むことができる,0.18,18.0,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技術・人文知識・国際業務,1011,5,掲示等の名前や言葉なら読むことができる,0.058,5.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技術・人文知識・国際業務,1011,6,全く分からない,0.058,5.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定技能,532,1,どんな内容の文章でも容易に読むことができる,0.034,3.4,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定技能,532,2,新聞記事などを読むことができる,0.013,1.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定技能,532,3,日常生活のEメールなどを読むことができる,0.199,19.9,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定技能,532,4,簡単で短い文章を読むことができる,0.502,50.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定技能,532,5,掲示等の名前や言葉なら読むことができる,0.164,16.4,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定技能,532,6,全く分からない,0.088,8.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,1,どんな内容の文章でも容易に読むことができる,0.024,2.4,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,2,新聞記事などを読むことができる,0.011,1.1,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,3,日常生活のEメールなどを読むことができる,0.105,10.5,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,4,簡単で短い文章を読むことができる,0.553,55.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,5,掲示等の名前や言葉なら読むことができる,0.163,16.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,6,全く分からない,0.144,14.4,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
