調査年,能力項目,能力順,日本語能力カテゴリ,平均賃金_円,平均時給_円,平均時給_所定内_円,労働時間,労働時間_所定内,勤続年数,平均年齢,度数,出典ファイル,出典ページ,出典資料,備考
2024,会話,1,母語レベル,341265,2113,2085,168.6,152.6,4.6,34.8,897,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,会話,2,幅広く可能,328365,1993,1957,170.1,155.5,3.7,36.9,1775,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,会話,3,場面に応じて可能,288830,1729,1688,170.5,158.1,2.5,32.2,1021,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,会話,4,長い会話に参加可能,277588,1626,1582,175.3,156.2,3.6,34.3,463,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,会話,5,身近な話題ならば可能,259941,1551,1496,173.8,157.3,2.4,31.7,773,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,会話,6,短い会話なら可能,256142,1447,1392,182.4,160.1,2.3,29.9,1332,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,会話,7,基本的な挨拶のみ,256202,1427,1379,185.3,161.8,2.2,31.4,612,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,会話,8,ほぼできない,288392,1670,1616,181.5,161.0,2.6,35.6,112,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,読解,1,母語レベル,353605,2209,2192,166.6,153.0,4.3,34.1,931,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,読解,2,N1レベル,347683,2157,2124,165.3,153.4,3.7,37.3,1507,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,読解,3,N2レベル,297200,1774,1713,171.4,158.5,2.7,32.3,1118,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,読解,4,N3レベル,270124,1597,1549,174.8,157.9,2.8,31.9,1037,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,読解,5,N4レベル,246884,1368,1315,184.8,161.2,2.1,29.2,1136,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,読解,6,N5レベル,243505,1359,1309,184.2,159.9,2.4,31.5,893,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
2024,読解,7,ほぼわからない,270320,1631,1596,177.7,155.8,2.7,38.5,337,001676598.pdf,8,令和６年外国人雇用実態調査を用いた日本語能力と賃金に関する分析について,一般労働者に限定。度数はウェイトなし、その他はウェイトを乗じた復元値による算出。
