年,表示区分,性別,年代,人口,性別総人口,構成比,構成比_pct
2024,日本人の配偶者等,男,0~13歳,766,62247,0.012305813934808103,1.2305813934808103
2024,日本人の配偶者等,男,10代(14歳以上),537,62247,0.008626921779362862,0.8626921779362862
2024,日本人の配偶者等,男,20代,5528,62247,0.08880749273057337,8.880749273057337
2024,日本人の配偶者等,男,30代,19384,62247,0.31140456568188024,31.140456568188025
2024,日本人の配偶者等,男,40代,15856,62247,0.25472713544427844,25.472713544427844
2024,日本人の配偶者等,男,50代,10834,62247,0.1740485485244269,17.40485485244269
2024,日本人の配偶者等,男,60代,6607,62247,0.10614166144553151,10.61416614455315
2024,日本人の配偶者等,男,70代以上,2735,62247,0.04393786045913859,4.393786045913859
2024,日本人の配偶者等,女,0~13歳,760,87960,0.008640291041382447,0.8640291041382447
2024,日本人の配偶者等,女,10代(14歳以上),533,87960,0.006059572532969531,0.6059572532969532
2024,日本人の配偶者等,女,20代,9320,87960,0.10595725329695316,10.595725329695316
2024,日本人の配偶者等,女,30代,29767,87960,0.33841518872214643,33.84151887221464
2024,日本人の配偶者等,女,40代,24050,87960,0.27341973624374716,27.341973624374717
2024,日本人の配偶者等,女,50代,14600,87960,0.16598453842655753,16.598453842655754
2024,日本人の配偶者等,女,60代,6478,87960,0.07364711232378354,7.364711232378355
2024,日本人の配偶者等,女,70代以上,2452,87960,0.027876307412460208,2.7876307412460206
