年,国籍・地域,罪種00,罪種01,外国人全体_在日米軍関係者以外,来日外国人,検挙人員
2021,その他,その他の刑法犯,,197,157,40
2021,その他,凶悪犯,不同意性交等,25,18,7
2021,その他,凶悪犯,強盗,17,11,6
2021,その他,凶悪犯,放火,1,1,0
2021,その他,凶悪犯,殺人,7,7,0
2021,その他,知能犯,,69,47,22
2021,その他,窃盗犯,,392,253,139
2021,その他,粗暴犯,,389,284,105
2021,その他,風俗犯,,61,50,11
2021,アメリカ,その他の刑法犯,,16,11,5
2021,アメリカ,凶悪犯,不同意性交等,1,1,0
2021,アメリカ,凶悪犯,強盗,0,0,0
2021,アメリカ,凶悪犯,放火,0,0,0
2021,アメリカ,凶悪犯,殺人,0,0,0
2021,アメリカ,知能犯,,1,1,0
2021,アメリカ,窃盗犯,,28,18,10
2021,アメリカ,粗暴犯,,40,23,17
2021,アメリカ,風俗犯,,5,2,3
2021,イギリス,その他の刑法犯,,3,3,0
2021,イギリス,凶悪犯,不同意性交等,2,1,1
2021,イギリス,凶悪犯,強盗,0,0,0
2021,イギリス,凶悪犯,放火,0,0,0
2021,イギリス,凶悪犯,殺人,0,0,0
2021,イギリス,知能犯,,0,0,0
2021,イギリス,窃盗犯,,8,4,4
2021,イギリス,粗暴犯,,17,12,5
2021,イギリス,風俗犯,,3,2,1
2021,イタリア,その他の刑法犯,,1,1,0
2021,イタリア,凶悪犯,不同意性交等,0,0,0
2021,イタリア,凶悪犯,強盗,0,0,0
2021,イタリア,凶悪犯,放火,0,0,0
2021,イタリア,凶悪犯,殺人,0,0,0
2021,イタリア,知能犯,,0,0,0
2021,イタリア,窃盗犯,,1,0,1
2021,イタリア,粗暴犯,,5,3,2
2021,イタリア,風俗犯,,0,0,0
2021,イラン,その他の刑法犯,,4,1,3
2021,イラン,凶悪犯,不同意性交等,2,1,1
2021,イラン,凶悪犯,強盗,1,1,0
2021,イラン,凶悪犯,放火,0,0,0
2021,イラン,凶悪犯,殺人,0,0,0
2021,イラン,知能犯,,1,1,0
2021,イラン,窃盗犯,,7,1,6
2021,イラン,粗暴犯,,19,9,10
2021,イラン,風俗犯,,2,2,0
2021,インド,その他の刑法犯,,14,12,2
2021,インド,凶悪犯,不同意性交等,5,5,0
2021,インド,凶悪犯,強盗,3,3,0
2021,インド,凶悪犯,放火,0,0,0
2021,インド,凶悪犯,殺人,1,1,0
2021,インド,知能犯,,5,4,1
2021,インド,窃盗犯,,22,16,6
2021,インド,粗暴犯,,19,14,5
2021,インド,風俗犯,,12,11,1
2021,インドネシア,その他の刑法犯,,18,17,1
2021,インドネシア,凶悪犯,不同意性交等,0,0,0
2021,インドネシア,凶悪犯,強盗,0,0,0
2021,インドネシア,凶悪犯,放火,0,0,0
2021,インドネシア,凶悪犯,殺人,0,0,0
2021,インドネシア,知能犯,,7,7,0
2021,インドネシア,窃盗犯,,25,22,3
2021,インドネシア,粗暴犯,,7,4,3
2021,インドネシア,風俗犯,,3,3,0
2021,カナダ,その他の刑法犯,,2,1,1
2021,カナダ,凶悪犯,不同意性交等,0,0,0
2021,カナダ,凶悪犯,強盗,0,0,0
2021,カナダ,凶悪犯,放火,0,0,0
2021,カナダ,凶悪犯,殺人,0,0,0
2021,カナダ,知能犯,,0,0,0
2021,カナダ,窃盗犯,,1,0,1
2021,カナダ,粗暴犯,,10,6,4
2021,カナダ,風俗犯,,1,1,0
2021,スリランカ,その他の刑法犯,,25,25,0
2021,スリランカ,凶悪犯,不同意性交等,2,2,0
2021,スリランカ,凶悪犯,強盗,3,2,1
2021,スリランカ,凶悪犯,放火,0,0,0
2021,スリランカ,凶悪犯,殺人,1,1,0
2021,スリランカ,知能犯,,24,24,0
2021,スリランカ,窃盗犯,,45,44,1
2021,スリランカ,粗暴犯,,44,42,2
2021,スリランカ,風俗犯,,11,11,0
2021,タイ,その他の刑法犯,,14,10,4
2021,タイ,凶悪犯,不同意性交等,1,1,0
2021,タイ,凶悪犯,強盗,0,0,0
2021,タイ,凶悪犯,放火,0,0,0
2021,タイ,凶悪犯,殺人,2,2,0
2021,タイ,知能犯,,5,3,2
2021,タイ,窃盗犯,,31,21,10
2021,タイ,粗暴犯,,24,15,9
2021,タイ,風俗犯,,1,1,0
2021,ドイツ,その他の刑法犯,,2,2,0
2021,ドイツ,凶悪犯,不同意性交等,0,0,0
2021,ドイツ,凶悪犯,強盗,0,0,0
2021,ドイツ,凶悪犯,放火,0,0,0
2021,ドイツ,凶悪犯,殺人,0,0,0
2021,ドイツ,知能犯,,1,0,1
2021,ドイツ,窃盗犯,,1,1,0
2021,ドイツ,粗暴犯,,4,2,2
2021,ドイツ,風俗犯,,0,0,0
2021,バングラデシュ,その他の刑法犯,,3,3,0
2021,バングラデシュ,凶悪犯,不同意性交等,3,1,2
2021,バングラデシュ,凶悪犯,強盗,1,1,0
2021,バングラデシュ,凶悪犯,放火,0,0,0
2021,バングラデシュ,凶悪犯,殺人,0,0,0
2021,バングラデシュ,知能犯,,2,1,1
2021,バングラデシュ,窃盗犯,,10,9,1
2021,バングラデシュ,粗暴犯,,24,12,12
2021,バングラデシュ,風俗犯,,6,6,0
2021,パキスタン,その他の刑法犯,,12,8,4
2021,パキスタン,凶悪犯,不同意性交等,1,0,1
2021,パキスタン,凶悪犯,強盗,0,0,0
2021,パキスタン,凶悪犯,放火,1,1,0
2021,パキスタン,凶悪犯,殺人,0,0,0
2021,パキスタン,知能犯,,7,3,4
2021,パキスタン,窃盗犯,,12,8,4
2021,パキスタン,粗暴犯,,33,16,17
2021,パキスタン,風俗犯,,11,8,3
2021,フィリピン,その他の刑法犯,,86,52,34
2021,フィリピン,凶悪犯,不同意性交等,12,6,6
2021,フィリピン,凶悪犯,強盗,4,3,1
2021,フィリピン,凶悪犯,放火,3,3,0
2021,フィリピン,凶悪犯,殺人,0,0,0
2021,フィリピン,知能犯,,69,37,32
2021,フィリピン,窃盗犯,,277,140,137
2021,フィリピン,粗暴犯,,237,126,111
2021,フィリピン,風俗犯,,15,7,8
2021,フランス,その他の刑法犯,,4,4,0
2021,フランス,凶悪犯,不同意性交等,0,0,0
2021,フランス,凶悪犯,強盗,0,0,0
2021,フランス,凶悪犯,放火,0,0,0
2021,フランス,凶悪犯,殺人,0,0,0
2021,フランス,知能犯,,1,0,1
2021,フランス,窃盗犯,,7,6,1
2021,フランス,粗暴犯,,10,7,3
2021,フランス,風俗犯,,2,1,1
2021,ブラジル,その他の刑法犯,,103,48,55
2021,ブラジル,凶悪犯,不同意性交等,9,6,3
2021,ブラジル,凶悪犯,強盗,10,6,4
2021,ブラジル,凶悪犯,放火,3,2,1
2021,ブラジル,凶悪犯,殺人,5,4,1
2021,ブラジル,知能犯,,25,10,15
2021,ブラジル,窃盗犯,,221,107,114
2021,ブラジル,粗暴犯,,230,117,113
2021,ブラジル,風俗犯,,12,5,7
2021,ベトナム,その他の刑法犯,,468,461,7
2021,ベトナム,凶悪犯,不同意性交等,7,7,0
2021,ベトナム,凶悪犯,強盗,30,28,2
2021,ベトナム,凶悪犯,放火,1,1,0
2021,ベトナム,凶悪犯,殺人,44,44,0
2021,ベトナム,知能犯,,156,143,13
2021,ベトナム,窃盗犯,,986,937,49
2021,ベトナム,粗暴犯,,245,231,14
2021,ベトナム,風俗犯,,63,56,7
2021,マレーシア,その他の刑法犯,,1,1,0
2021,マレーシア,凶悪犯,不同意性交等,0,0,0
2021,マレーシア,凶悪犯,強盗,0,0,0
2021,マレーシア,凶悪犯,放火,0,0,0
2021,マレーシア,凶悪犯,殺人,0,0,0
2021,マレーシア,知能犯,,2,1,1
2021,マレーシア,窃盗犯,,6,5,1
