年,国籍・地域,人数
2021,その他,95207
2021,アメリカ,18830
2021,イギリス,6346
2021,イタリア,1193
2021,イラン,2648
2021,インド,6449
2021,インドネシア,6694
2021,カナダ,3951
2021,スリランカ,3136
2021,タイ,21043
2021,ドイツ,1799
2021,バングラデシュ,3296
2021,パキスタン,4912
2021,フィリピン,131875
2021,フランス,3104
2021,ブラジル,101470
2021,ベトナム,16802
2021,マレーシア,2824
2021,ロシア,4069
2021,中国,266176
2021,韓国・朝鮮,357663
2022,その他,98560
2022,アメリカ,19417
2022,イギリス,6598
2022,イタリア,1254
2022,イラン,2670
2022,インド,7212
2022,インドネシア,6967
2022,カナダ,4095
2022,スリランカ,3341
2022,タイ,21411
2022,ドイツ,1881
2022,バングラデシュ,3474
2022,パキスタン,5104
2022,フィリピン,134218
2022,フランス,3335
2022,ブラジル,103073
2022,ベトナム,18193
2022,マレーシア,2981
2022,ロシア,4200
2022,中国,280013
2022,韓国・朝鮮,352073
2023,その他,102159
2023,アメリカ,20043
2023,イギリス,6844
2023,イタリア,1320
2023,イラン,2653
2023,インド,7778
2023,インドネシア,7275
2023,カナダ,4233
2023,スリランカ,3606
2023,タイ,21853
2023,ドイツ,1969
2023,バングラデシュ,3666
2023,パキスタン,5301
2023,フィリピン,136849
2023,フランス,3557
2023,ブラジル,104943
2023,ベトナム,20056
2023,マレーシア,3155
2023,ロシア,4385
2023,中国,299281
2023,韓国・朝鮮,346540
2024,その他,104479
2024,アメリカ,20436
2024,イギリス,6967
2024,イタリア,1378
2024,イラン,2648
2024,インド,8249
2024,インドネシア,7552
2024,カナダ,4321
2024,スリランカ,3780
2024,タイ,22118
2024,ドイツ,2025
2024,バングラデシュ,3803
2024,パキスタン,5489
2024,フィリピン,139135
2024,フランス,3684
2024,ブラジル,106538
2024,ベトナム,22112
2024,マレーシア,3251
2024,ロシア,4482
2024,中国,311703
2024,韓国・朝鮮,340695
