年,区分00,区分01,国籍・地域,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2021,外国人,来日外国人以外,その他,その他の刑法犯,計,40,95207,4.201371747875681
2021,外国人,来日外国人以外,その他,凶悪犯,不同意性交等,7,95207,0.7352400558782443
2021,外国人,来日外国人以外,その他,凶悪犯,強盗,6,95207,0.6302057621813522
2021,外国人,来日外国人以外,その他,凶悪犯,放火,0,95207,0.0
2021,外国人,来日外国人以外,その他,凶悪犯,殺人,0,95207,0.0
2021,外国人,来日外国人以外,その他,凶悪犯,計,13,95207,1.3654458180595963
2021,外国人,来日外国人以外,その他,知能犯,計,22,95207,2.3107544613316247
2021,外国人,来日外国人以外,その他,窃盗犯,計,139,95207,14.599766823867993
2021,外国人,来日外国人以外,その他,粗暴犯,計,105,95207,11.028600838173665
2021,外国人,来日外国人以外,その他,計,計,330,95207,34.66131691997437
2021,外国人,来日外国人以外,その他,風俗犯,計,11,95207,1.1553772306658123
2021,外国人,来日外国人以外,アメリカ,その他の刑法犯,計,5,18830,2.655337227827934
2021,外国人,来日外国人以外,アメリカ,凶悪犯,不同意性交等,0,18830,0.0
2021,外国人,来日外国人以外,アメリカ,凶悪犯,強盗,0,18830,0.0
2021,外国人,来日外国人以外,アメリカ,凶悪犯,放火,0,18830,0.0
2021,外国人,来日外国人以外,アメリカ,凶悪犯,殺人,0,18830,0.0
2021,外国人,来日外国人以外,アメリカ,凶悪犯,計,0,18830,0.0
2021,外国人,来日外国人以外,アメリカ,知能犯,計,0,18830,0.0
2021,外国人,来日外国人以外,アメリカ,窃盗犯,計,10,18830,5.310674455655868
2021,外国人,来日外国人以外,アメリカ,粗暴犯,計,17,18830,9.028146574614976
2021,外国人,来日外国人以外,アメリカ,計,計,35,18830,18.587360594795538
2021,外国人,来日外国人以外,アメリカ,風俗犯,計,3,18830,1.5932023366967605
2021,外国人,来日外国人以外,イギリス,その他の刑法犯,計,0,6346,0.0
2021,外国人,来日外国人以外,イギリス,凶悪犯,不同意性交等,1,6346,1.5757957768673179
2021,外国人,来日外国人以外,イギリス,凶悪犯,強盗,0,6346,0.0
2021,外国人,来日外国人以外,イギリス,凶悪犯,放火,0,6346,0.0
2021,外国人,来日外国人以外,イギリス,凶悪犯,殺人,0,6346,0.0
2021,外国人,来日外国人以外,イギリス,凶悪犯,計,1,6346,1.5757957768673179
2021,外国人,来日外国人以外,イギリス,知能犯,計,0,6346,0.0
2021,外国人,来日外国人以外,イギリス,窃盗犯,計,4,6346,6.3031831074692715
2021,外国人,来日外国人以外,イギリス,粗暴犯,計,5,6346,7.87897888433659
2021,外国人,来日外国人以外,イギリス,計,計,11,6346,17.3337535455405
2021,外国人,来日外国人以外,イギリス,風俗犯,計,1,6346,1.5757957768673179
2021,外国人,来日外国人以外,イタリア,その他の刑法犯,計,0,1193,0.0
2021,外国人,来日外国人以外,イタリア,凶悪犯,不同意性交等,0,1193,0.0
2021,外国人,来日外国人以外,イタリア,凶悪犯,強盗,0,1193,0.0
