在留資格,年代,人数,総数,構成比,構成比_pct
永住者,0~13歳,78143,902203,0.08661354484522885,8.661354484522885
永住者,10代(14歳以上),38944,902203,0.04316545167772663,4.316545167772663
永住者,20代,60547,902203,0.06711017365271452,6.711017365271451
永住者,30代,134094,902203,0.14862952129398815,14.862952129398815
永住者,40代,217240,902203,0.24078838132881403,24.0788381328814
永住者,50代,211021,902203,0.23389525417228718,23.389525417228718
永住者,60代,118622,902203,0.13148038745160456,13.148038745160456
永住者,70代以上,43592,902203,0.04831728557763607,4.831728557763607
永住者の配偶者等,0~13歳,19148,52587,0.3641204099872592,36.41204099872592
永住者の配偶者等,10代(14歳以上),691,52587,0.013140129689847301,1.3140129689847302
永住者の配偶者等,20代,3419,52587,0.06501606861011276,6.501606861011276
永住者の配偶者等,30代,13648,52587,0.25953182345446596,25.953182345446596
永住者の配偶者等,40代,9103,52587,0.17310361876509403,17.310361876509404
永住者の配偶者等,50代,4571,52587,0.08692262346207237,8.692262346207237
永住者の配偶者等,60代,1678,52587,0.031909026945823114,3.1909026945823116
永住者の配偶者等,70代以上,329,52587,0.00625629908532527,0.625629908532527
特別永住者,0~13歳,10318,277664,0.037160020744496945,3.7160020744496944
特別永住者,10代(14歳以上),6657,277664,0.02397502016826092,2.397502016826092
特別永住者,20代,15833,277664,0.057022156275210324,5.702215627521032
特別永住者,30代,24363,277664,0.08774273942606892,8.774273942606891
特別永住者,40代,38779,277664,0.1396616053935692,13.96616053935692
特別永住者,50代,46688,277664,0.16814567246744266,16.814567246744268
特別永住者,60代,47461,277664,0.17092961276939034,17.092961276939032
特別永住者,70代以上,87565,277664,0.3153631727555607,31.53631727555607
