表示区分,罪種,検挙人員,総検挙人員,構成比,構成比_pct
韓国・朝鮮籍,凶悪犯,44,1561,0.028187059577194105,2.8187059577194105
韓国・朝鮮籍,粗暴犯,436,1561,0.27930813581037794,27.930813581037796
韓国・朝鮮籍,窃盗犯,784,1561,0.5022421524663677,50.224215246636774
韓国・朝鮮籍,知能犯,92,1561,0.058936579115951314,5.893657911595131
韓国・朝鮮籍,風俗犯,33,1561,0.02114029468289558,2.114029468289558
韓国・朝鮮籍,その他の刑法犯,172,1561,0.11018577834721333,11.018577834721333
それ以外,凶悪犯,98,2425,0.04041237113402062,4.041237113402062
それ以外,粗暴犯,746,2425,0.30762886597938144,30.762886597938145
それ以外,窃盗犯,1040,2425,0.4288659793814433,42.88659793814433
それ以外,知能犯,138,2425,0.05690721649484536,5.690721649484536
それ以外,風俗犯,85,2425,0.03505154639175258,3.5051546391752577
それ以外,その他の刑法犯,318,2425,0.1311340206185567,13.11340206185567
