罪種,検挙人員,表示区分,総検挙人員,構成比,構成比_pct
凶悪犯,6292.0,日本全体,191716.0,0.032819378664274236,3.2819378664274237
粗暴犯,49457.0,日本全体,191716.0,0.25797012247282436,25.797012247282435
窃盗犯,88279.0,日本全体,191716.0,0.4604675666089424,46.04675666089424
知能犯,11546.0,日本全体,191716.0,0.0602244987377162,6.02244987377162
風俗犯,11069.0,日本全体,191716.0,0.057736443489327965,5.773644348932796
その他の刑法犯,25073.0,日本全体,191716.0,0.13078199002691482,13.078199002691482
凶悪犯,5848.0,日本人,181362.0,0.032244902460272826,3.2244902460272824
粗暴犯,46816.0,日本人,181362.0,0.25813566237690366,25.813566237690367
窃盗犯,83810.0,日本人,181362.0,0.46211444514286343,46.21144451428634
知能犯,10838.0,日本人,181362.0,0.05975893516833736,5.975893516833736
風俗犯,10683.0,日本人,181362.0,0.05890429086578225,5.890429086578225
その他の刑法犯,23367.0,日本人,181362.0,0.12884176398584046,12.884176398584046
凶悪犯,444.0,外国人全体,10354.0,0.042881977979524824,4.288197797952482
粗暴犯,2641.0,外国人全体,10354.0,0.2550705041529844,25.507050415298437
窃盗犯,4469.0,外国人全体,10354.0,0.43162062970832527,43.16206297083253
知能犯,708.0,外国人全体,10354.0,0.06837937029167472,6.837937029167472
風俗犯,386.0,外国人全体,10354.0,0.03728027815337068,3.7280278153370676
その他の刑法犯,1706.0,外国人全体,10354.0,0.16476723971412013,16.476723971412014
