年,国籍・地域_名寄せ後,人口,特別永住者_総人口,構成比,韓国・朝鮮籍フラグ
2021,韓国,270569,300441,0.9005728246144834,True
2021,朝鮮,26268,300441,0.0874314757306759,True
2021,台湾,1098,300441,0.003654627697284991,False
2021,米国,829,300441,0.0027592771958554257,False
2021,中国,783,300441,0.0026061689316704446,False
2021,オーストラリア,146,300441,0.00048595231676102794,False
2021,カナダ,119,300441,0.0003960844225654954,False
2021,フランス,101,300441,0.00033617249310180703,False
2021,英国,90,300441,0.0002995596473184419,False
2021,無国籍,85,300441,0.00028291744468963954,False
2021,フィリピン,51,300441,0.00016975046681378373,False
2021,ニュージーランド,37,300441,0.00012315229945313722,False
2021,ブラジル,33,300441,0.00010983853735009536,False
2021,スイス,22,300441,7.322569156673024e-05,False
2021,ドイツ,20,300441,6.656881051520931e-05,False
2021,イタリア,15,300441,4.992660788640698e-05,False
2021,オランダ,15,300441,4.992660788640698e-05,False
2021,ナイジェリア,14,300441,4.659816736064652e-05,False
2021,スウェーデン,13,300441,4.326972683488605e-05,False
2021,タイ,11,300441,3.661284578336512e-05,False
2021,マレーシア,11,300441,3.661284578336512e-05,False
2021,イラン,8,300441,2.6627524206083724e-05,False
2021,インドネシア,8,300441,2.6627524206083724e-05,False
2021,メキシコ,8,300441,2.6627524206083724e-05,False
2021,アイルランド,6,300441,1.9970643154562794e-05,False
2021,スペイン,6,300441,1.9970643154562794e-05,False
2021,ロシア,6,300441,1.9970643154562794e-05,False
2021,インド,5,300441,1.664220262880233e-05,False
2021,ギリシャ,5,300441,1.664220262880233e-05,False
2021,シンガポール,5,300441,1.664220262880233e-05,False
2021,ベルギー,5,300441,1.664220262880233e-05,False
2021,ルーマニア,5,300441,1.664220262880233e-05,False
2021,ベトナム,4,300441,1.3313762103041862e-05,False
2021,デンマーク,3,300441,9.985321577281397e-06,False
2021,ネパール,3,300441,9.985321577281397e-06,False
2021,ペルー,3,300441,9.985321577281397e-06,False
2021,モンゴル,3,300441,9.985321577281397e-06,False
2021,アルゼンチン,2,300441,6.656881051520931e-06,False
2021,ウクライナ,2,300441,6.656881051520931e-06,False
2021,エジプト,2,300441,6.656881051520931e-06,False
2021,オーストリア,2,300441,6.656881051520931e-06,False
2021,コスタリカ,2,300441,6.656881051520931e-06,False
2021,コンゴ民主共和国,2,300441,6.656881051520931e-06,False
2021,スロバキア,2,300441,6.656881051520931e-06,False
2021,ハンガリー,2,300441,6.656881051520931e-06,False
2021,パキスタン,2,300441,6.656881051520931e-06,False
2021,フィンランド,2,300441,6.656881051520931e-06,False
2021,ブルガリア,2,300441,6.656881051520931e-06,False
2021,ポーランド,2,300441,6.656881051520931e-06,False
2021,イスラエル,1,300441,3.3284405257604655e-06,False
2021,ガーナ,1,300441,3.3284405257604655e-06,False
2021,ジャマイカ,1,300441,3.3284405257604655e-06,False
2021,ラオス,1,300441,3.3284405257604655e-06,False
2022,韓国,263827,292702,0.9013501786800227,True
2022,朝鮮,25356,292702,0.08662735478404657,True
2022,台湾,1069,292702,0.003652178666356909,False
2022,北アメリカ168米国,838,292702,0.0028629800957970905,False
2022,中国,731,292702,0.00249742058475856,False
2022,オセアニア184オーストラリア,141,292702,0.00048171860800404507,False
2022,北アメリカ151カナダ,118,292702,0.00040314039535090297,False
2022,ヨーロッパ078フランス,97,292702,0.0003313950707545558,False
2022,ヨーロッパ050英国,92,292702,0.0003143128506125684,False
2022,無国籍199無国籍,79,292702,0.00026989907824340116,False
2022,フィリピン,50,292702,0.00017082220141987413,False
2022,オセアニア192ニュージーランド,38,292702,0.00012982487307910436,False
2022,南アメリカ180ブラジル,34,292702,0.00011615909696551442,False
2022,ヨーロッパ072ドイツ,22,292702,7.516176862474462e-05,False
2022,ヨーロッパ062スイス,21,292702,7.174532459634714e-05,False
2022,ヨーロッパ053オランダ,15,292702,5.124666042596224e-05,False
2022,ナイジェリア,14,292702,4.783021639756476e-05,False
2022,ヨーロッパ047イタリア,14,292702,4.783021639756476e-05,False
2022,ヨーロッパ063スウェーデン,13,292702,4.441377236916728e-05,False
2022,タイ,11,292702,3.758088431237231e-05,False
2022,マレーシア,11,292702,3.758088431237231e-05,False
2022,イラン,8,292702,2.733155222717986e-05,False
2022,インドネシア,8,292702,2.733155222717986e-05,False
2022,北アメリカ171メキシコ,8,292702,2.733155222717986e-05,False
2022,ヨーロッパ064スペイン,7,292702,2.391510819878238e-05,False
2022,ヨーロッパ042アイルランド,6,292702,2.0498664170384898e-05,False
2022,ヨーロッパ094ロシア,6,292702,2.0498664170384898e-05,False
2022,インド,5,292702,1.7082220141987413e-05,False
2022,シンガポール,5,292702,1.7082220141987413e-05,False
2022,ヨーロッパ056ギリシャ,5,292702,1.7082220141987413e-05,False
2022,ヨーロッパ081ベルギー,5,292702,1.7082220141987413e-05,False
2022,ヨーロッパ092ルーマニア,5,292702,1.7082220141987413e-05,False
2022,ベトナム,4,292702,1.366577611358993e-05,False
2022,ネパール,3,292702,1.0249332085192449e-05,False
2022,モンゴル,3,292702,1.0249332085192449e-05,False
2022,ヨーロッパ071デンマーク,3,292702,1.0249332085192449e-05,False
2022,南アメリカ182ペルー,3,292702,1.0249332085192449e-05,False
2022,エジプト,2,292702,6.832888056794965e-06,False
2022,コンゴ民主共和国,2,292702,6.832888056794965e-06,False
2022,パキスタン,2,292702,6.832888056794965e-06,False
2022,ヨーロッパ048ウクライナ,2,292702,6.832888056794965e-06,False
2022,ヨーロッパ052オーストリア,2,292702,6.832888056794965e-06,False
2022,ヨーロッパ065スロバキア,2,292702,6.832888056794965e-06,False
2022,ヨーロッパ076ハンガリー,2,292702,6.832888056794965e-06,False
2022,ヨーロッパ077フィンランド,2,292702,6.832888056794965e-06,False
2022,ヨーロッパ079ブルガリア,2,292702,6.832888056794965e-06,False
2022,ヨーロッパ082ポーランド,2,292702,6.832888056794965e-06,False
2022,北アメリカ155コスタリカ,2,292702,6.832888056794965e-06,False
2022,南アメリカ172アルゼンチン,2,292702,6.832888056794965e-06,False
2022,ガーナ,1,292702,3.4164440283974826e-06,False
2022,ラオス,1,292702,3.4164440283974826e-06,False
2022,北アメリカ156ジャマイカ,1,292702,3.4164440283974826e-06,False
2023,韓国,256964,284807,0.9022390601354602,True
2023,朝鮮,24331,284807,0.08542978227360985,True
2023,台湾,1051,284807,0.003690218288174097,False
2023,北アメリカ168米国,861,284807,0.0030230998535850594,False
2023,中国,694,284807,0.0024367378610778527,False
2023,オセアニア184オーストラリア,158,284807,0.0005547616456056207,False
2023,北アメリカ151カナダ,123,284807,0.0004318714076550085,False
2023,ヨーロッパ078フランス,100,284807,0.00035111496557317765,False
2023,ヨーロッパ050英国,95,284807,0.00033355921729451873,False
2023,無国籍199無国籍,75,284807,0.00026333622417988324,False
2023,フィリピン,50,284807,0.00017555748278658882,False
