年,罪種00,罪種01,韓国朝鮮籍_外国人全体,韓国朝鮮籍_来日外国人,検挙人員,特別永住者近似区分
2021,その他の刑法犯,,220,31,189,特別永住者近似
2021,凶悪犯,不同意性交等,8,2,6,特別永住者近似
2021,凶悪犯,強盗,20,2,18,特別永住者近似
2021,凶悪犯,放火,6,1,5,特別永住者近似
2021,凶悪犯,殺人,9,1,8,特別永住者近似
2021,知能犯,,102,9,93,特別永住者近似
2021,窃盗犯,,844,87,757,特別永住者近似
2021,粗暴犯,,568,89,479,特別永住者近似
2021,風俗犯,,55,5,50,特別永住者近似
2022,その他の刑法犯,,203,26,177,特別永住者近似
2022,凶悪犯,不同意性交等,12,3,9,特別永住者近似
2022,凶悪犯,強盗,17,4,13,特別永住者近似
2022,凶悪犯,放火,6,0,6,特別永住者近似
2022,凶悪犯,殺人,9,0,9,特別永住者近似
2022,知能犯,,118,10,108,特別永住者近似
2022,窃盗犯,,818,80,738,特別永住者近似
2022,粗暴犯,,509,75,434,特別永住者近似
2022,風俗犯,,28,9,19,特別永住者近似
2023,その他の刑法犯,,234,38,196,特別永住者近似
2023,凶悪犯,不同意性交等,14,4,10,特別永住者近似
2023,凶悪犯,強盗,12,0,12,特別永住者近似
2023,凶悪犯,放火,7,2,5,特別永住者近似
2023,凶悪犯,殺人,13,3,10,特別永住者近似
2023,知能犯,,97,9,88,特別永住者近似
2023,窃盗犯,,879,107,772,特別永住者近似
2023,粗暴犯,,534,79,455,特別永住者近似
2023,風俗犯,,49,9,40,特別永住者近似
2024,その他の刑法犯,,219,47,172,特別永住者近似
2024,凶悪犯,不同意性交等,19,5,14,特別永住者近似
2024,凶悪犯,強盗,21,5,16,特別永住者近似
2024,凶悪犯,放火,6,1,5,特別永住者近似
2024,凶悪犯,殺人,11,2,9,特別永住者近似
2024,知能犯,,99,7,92,特別永住者近似
2024,窃盗犯,,892,108,784,特別永住者近似
2024,粗暴犯,,502,66,436,特別永住者近似
2024,風俗犯,,55,22,33,特別永住者近似
