年,区分00,区分01,特別永住者近似区分,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2021,外国人,来日外国人以外,特別永住者近似,その他の刑法犯,計,189,357663.0,5.28430393974216
2021,外国人,来日外国人以外,特別永住者近似,凶悪犯,不同意性交等,6,357663.0,0.1677556806267352
2021,外国人,来日外国人以外,特別永住者近似,凶悪犯,強盗,18,357663.0,0.5032670418802057
2021,外国人,来日外国人以外,特別永住者近似,凶悪犯,放火,5,357663.0,0.13979640052227935
2021,外国人,来日外国人以外,特別永住者近似,凶悪犯,殺人,8,357663.0,0.22367424083564696
2021,外国人,来日外国人以外,特別永住者近似,凶悪犯,計,37,357663.0,1.0344933638648672
2021,外国人,来日外国人以外,特別永住者近似,知能犯,計,93,357663.0,2.600213049714396
2021,外国人,来日外国人以外,特別永住者近似,窃盗犯,計,757,357663.0,21.165175039073095
2021,外国人,来日外国人以外,特別永住者近似,粗暴犯,計,479,357663.0,13.392495170034362
2021,外国人,来日外国人以外,特別永住者近似,計,計,1605,357663.0,44.87464456765167
2021,外国人,来日外国人以外,特別永住者近似,風俗犯,計,50,357663.0,1.3979640052227935
2021,外国人,来日外国人以外,特別永住者近似以外,その他の刑法犯,計,255,701824.0,3.633389567754879
2021,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,不同意性交等,25,701824.0,0.3562146635053802
2021,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,強盗,26,701824.0,0.3704632500455955
2021,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,放火,1,701824.0,0.01424858654021521
2021,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,殺人,4,701824.0,0.05699434616086084
2021,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,計,56,701824.0,0.7979208462520518
2021,外国人,来日外国人以外,特別永住者近似以外,知能犯,計,139,701824.0,1.9805535290899143
2021,外国人,来日外国人以外,特別永住者近似以外,窃盗犯,計,925,701824.0,13.17994254969907
2021,外国人,来日外国人以外,特別永住者近似以外,粗暴犯,計,717,701824.0,10.216236549334306
2021,外国人,来日外国人以外,特別永住者近似以外,計,計,2150,701824.0,30.6344610614627
2021,外国人,来日外国人以外,特別永住者近似以外,風俗犯,計,58,701824.0,0.8264180193324823
2022,外国人,来日外国人以外,特別永住者近似,その他の刑法犯,計,177,352073.0,5.027366483655379
2022,外国人,来日外国人以外,特別永住者近似,凶悪犯,不同意性交等,9,352073.0,0.2556288042536633
2022,外国人,来日外国人以外,特別永住者近似,凶悪犯,強盗,13,352073.0,0.36924160614418033
2022,外国人,来日外国人以外,特別永住者近似,凶悪犯,放火,6,352073.0,0.17041920283577552
2022,外国人,来日外国人以外,特別永住者近似,凶悪犯,殺人,9,352073.0,0.2556288042536633
2022,外国人,来日外国人以外,特別永住者近似,凶悪犯,計,37,352073.0,1.0509184174872823
2022,外国人,来日外国人以外,特別永住者近似,知能犯,計,108,352073.0,3.0675456510439596
2022,外国人,来日外国人以外,特別永住者近似,窃盗犯,計,738,352073.0,20.96156194880039
2022,外国人,来日外国人以外,特別永住者近似,粗暴犯,計,434,352073.0,12.326989005121098
2022,外国人,来日外国人以外,特別永住者近似,計,計,1513,352073.0,42.97404231508806
2022,外国人,来日外国人以外,特別永住者近似,風俗犯,計,19,352073.0,0.5396608089799559
2022,外国人,来日外国人以外,特別永住者近似以外,その他の刑法犯,計,253,727997.0,3.4752890465207957
2022,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,不同意性交等,15,727997.0,0.20604480512969148
2022,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,強盗,27,727997.0,0.37088064923344466
2022,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,放火,4,727997.0,0.05494528136791772
2022,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,殺人,9,727997.0,0.12362688307781489
2022,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,計,55,727997.0,0.7554976188088688
2022,外国人,来日外国人以外,特別永住者近似以外,知能犯,計,114,727997.0,1.5659405189856552
2022,外国人,来日外国人以外,特別永住者近似以外,窃盗犯,計,895,727997.0,12.29400670607159
2022,外国人,来日外国人以外,特別永住者近似以外,粗暴犯,計,711,727997.0,9.766523763147376
2022,外国人,来日外国人以外,特別永住者近似以外,計,計,2084,727997.0,28.626491592685134
2022,外国人,来日外国人以外,特別永住者近似以外,風俗犯,計,56,727997.0,0.7692339391508481
2023,外国人,来日外国人以外,特別永住者近似,その他の刑法犯,計,196,346540.0,5.655912737346338
2023,外国人,来日外国人以外,特別永住者近似,凶悪犯,不同意性交等,10,346540.0,0.28856697639522133
2023,外国人,来日外国人以外,特別永住者近似,凶悪犯,強盗,12,346540.0,0.3462803716742656
2023,外国人,来日外国人以外,特別永住者近似,凶悪犯,放火,5,346540.0,0.14428348819761067
2023,外国人,来日外国人以外,特別永住者近似,凶悪犯,殺人,10,346540.0,0.28856697639522133
2023,外国人,来日外国人以外,特別永住者近似,凶悪犯,計,37,346540.0,1.067697812662319
2023,外国人,来日外国人以外,特別永住者近似,知能犯,計,88,346540.0,2.539389392277948
2023,外国人,来日外国人以外,特別永住者近似,窃盗犯,計,772,346540.0,22.277370577711086
2023,外国人,来日外国人以外,特別永住者近似,粗暴犯,計,455,346540.0,13.129797425982572
2023,外国人,来日外国人以外,特別永住者近似,計,計,1588,346540.0,45.82443585156115
2023,外国人,来日外国人以外,特別永住者近似,風俗犯,計,40,346540.0,1.1542679055808853
2023,外国人,来日外国人以外,特別永住者近似以外,その他の刑法犯,計,274,760926.0,3.600875775042514
2023,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,不同意性交等,30,760926.0,0.3942564717199833
2023,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,強盗,32,760926.0,0.4205402365013155
2023,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,放火,5,760926.0,0.06570941195333055
2023,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,殺人,9,760926.0,0.118276941515995
2023,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,計,76,760926.0,0.9987830616906243
2023,外国人,来日外国人以外,特別永住者近似以外,知能犯,計,117,760926.0,1.5376002397079347
2023,外国人,来日外国人以外,特別永住者近似以外,窃盗犯,計,994,760926.0,13.063031096322113
2023,外国人,来日外国人以外,特別永住者近似以外,粗暴犯,計,794,760926.0,10.43465461818889
2023,外国人,来日外国人以外,特別永住者近似以外,計,計,2303,760926.0,30.265755145704052
2023,外国人,来日外国人以外,特別永住者近似以外,風俗犯,計,48,760926.0,0.6308103547519732
2024,外国人,来日外国人以外,特別永住者近似,その他の刑法犯,計,172,340695.0,5.048503793715787
2024,外国人,来日外国人以外,特別永住者近似,凶悪犯,不同意性交等,14,340695.0,0.410924727395471
2024,外国人,来日外国人以外,特別永住者近似,凶悪犯,強盗,16,340695.0,0.4696282598805383
2024,外国人,来日外国人以外,特別永住者近似,凶悪犯,放火,5,340695.0,0.14675883121266822
2024,外国人,来日外国人以外,特別永住者近似,凶悪犯,殺人,9,340695.0,0.2641658961828028
2024,外国人,来日外国人以外,特別永住者近似,凶悪犯,計,44,340695.0,1.2914777146714804
2024,外国人,来日外国人以外,特別永住者近似,知能犯,計,92,340695.0,2.700362494313095
2024,外国人,来日外国人以外,特別永住者近似,窃盗犯,計,784,340695.0,23.011784734146378
2024,外国人,来日外国人以外,特別永住者近似,粗暴犯,計,436,340695.0,12.797370081744669
2024,外国人,来日外国人以外,特別永住者近似,計,計,1561,340695.0,45.818107104595015
2024,外国人,来日外国人以外,特別永住者近似,風俗犯,計,33,340695.0,0.9686082860036103
2024,外国人,来日外国人以外,特別永住者近似以外,その他の刑法犯,計,318,784150.0,4.055346553593062
2024,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,不同意性交等,41,784150.0,0.5228591468469043
2024,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,強盗,38,784150.0,0.48460116049225277
2024,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,放火,6,784150.0,0.07651597270930306
2024,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,殺人,13,784150.0,0.1657846075368233
2024,外国人,来日外国人以外,特別永住者近似以外,凶悪犯,計,98,784150.0,1.2497608875852833
2024,外国人,来日外国人以外,特別永住者近似以外,知能犯,計,138,784150.0,1.7598673723139704
2024,外国人,来日外国人以外,特別永住者近似以外,窃盗犯,計,1040,784150.0,13.262768602945865
2024,外国人,来日外国人以外,特別永住者近似以外,粗暴犯,計,746,784150.0,9.513485940190016
2024,外国人,来日外国人以外,特別永住者近似以外,計,計,2425,784150.0,30.925205636676655
2024,外国人,来日外国人以外,特別永住者近似以外,風俗犯,計,85,784150.0,1.0839762800484603
