年,在留資格,人口,前年差,前年比_pct
2013,特別永住者,377689,,
2014,特別永住者,363893,-13796.0,-3.652740747016725
2015,特別永住者,354291,-9602.0,-2.6386877461231695
2016,特別永住者,344322,-9969.0,-2.81378866524975
2017,特別永住者,334298,-10024.0,-2.911228443143332
2018,特別永住者,326190,-8108.0,-2.425380947537825
2019,特別永住者,317849,-8341.0,-2.5570986235016413
2020,特別永住者,309282,-8567.0,-2.6953050033191817
2021,特別永住者,300441,-8841.0,-2.8585562690360278
2022,特別永住者,292702,-7739.0,-2.5758801228860206
2023,特別永住者,284807,-7895.0,-2.6972825604198114
2024,特別永住者,277664,-7143.0,-2.5080141990892035
