年,表示区分,年代,人数,総人数,構成比,構成比_pct
2013,日本人,0~13歳,15080880.02863848,125704000.0,0.11997136152102145,11.997136152102145
2013,日本人,10代(14歳以上),7143943.168529494,125704000.0,0.05683147050634422,5.683147050634422
2013,日本人,20代,12668899.216419397,125704000.0,0.10078358060538564,10.078358060538564
2013,日本人,30代,16341869.997215703,125704000.0,0.13000278429656736,13.000278429656737
2013,日本人,40代,17794858.438407384,125704000.0,0.14156159261763654,14.156159261763653
2013,日本人,50代,15295878.318284873,125704000.0,0.12168171512668549,12.168171512668549
2013,日本人,60代,18260854.73131537,125704000.0,0.14526868461875017,14.526868461875017
2013,日本人,70代以上,23116816.101189293,125704000.0,0.18389881070760908,18.389881070760907
2013,永住者等,0~13歳,85717.0,1041347.0,0.08231358039155055,8.231358039155054
2013,永住者等,10代(14歳以上),44461.0,1041347.0,0.04269566244489109,4.269566244489109
2013,永住者等,20代,97272.0,1041347.0,0.09340978559500339,9.34097855950034
2013,永住者等,30代,194288.0,1041347.0,0.18657373574802635,18.657373574802634
2013,永住者等,40代,254943.0,1041347.0,0.24482041048757042,24.48204104875704
2013,永住者等,50代,172256.0,1041347.0,0.16541652302258517,16.541652302258516
2013,永住者等,60代,106044.0,1041347.0,0.10183349066161423,10.183349066161423
2013,永住者等,70代以上,86366.0,1041347.0,0.08293681164875877,8.293681164875878
2013,定住者,0~13歳,38505.72375984591,166582.01807583196,0.23115174257474308,23.115174257474308
2013,定住者,10代(14歳以上),18183.96774706323,166582.01807583196,0.10915924754126505,10.915924754126504
2013,定住者,20代,38252.41678903921,166582.01807583196,0.2296311284428421,22.963112844284208
2013,定住者,30代,35027.859906632955,166582.01807583196,0.21027395580408606,21.027395580408605
2013,定住者,40代,22652.588703834652,166582.01807583196,0.1359845976504059,13.598459765040591
2013,定住者,50代,9531.696175677924,166582.01807583196,0.05721923822137199,5.721923822137199
2013,定住者,60代,2665.8515879253514,166582.01807583196,0.016003237436538885,1.6003237436538884
2013,定住者,70代以上,1761.9134058127322,166582.01807583196,0.010576852328746965,1.0576852328746964
2013,日本人の配偶者等,0~13歳,2623.4374833721795,163360.27523990074,0.016059213168682304,1.6059213168682303
2013,日本人の配偶者等,10代(14歳以上),1195.59596304536,163360.27523990074,0.007318768049879826,0.7318768049879826
2013,日本人の配偶者等,20代,28005.898120429247,163360.27523990074,0.1714364038582913,17.14364038582913
2013,日本人の配偶者等,30代,62617.77637465355,163360.27523990074,0.38331091376221654,38.33109137622166
2013,日本人の配偶者等,40代,41010.60786829285,163360.27523990074,0.25104394448446676,25.104394448446676
2013,日本人の配偶者等,50代,19742.955288720288,163360.27523990074,0.12085530132541103,12.085530132541104
2013,日本人の配偶者等,60代,6577.860716545726,163360.27523990074,0.04026597474132489,4.0265974741324895
2013,日本人の配偶者等,70代以上,1586.1434248415358,163360.27523990074,0.009709480609727329,0.9709480609727329
2013,技能実習,0~13歳,0.0,162066.45204609327,0.0,0.0
2013,技能実習,10代(14歳以上),5528.794253793564,162066.45204609327,0.03411436595293097,3.411436595293097
2013,技能実習,20代,117646.28167281293,162066.45204609327,0.7259138469900802,72.59138469900802
2013,技能実習,30代,36488.783624145166,162066.45204609327,0.2251470502591579,22.51470502591579
2013,技能実習,40代,2390.0079864179693,162066.45204609327,0.01474708649596542,1.474708649596542
2013,技能実習,50代,12.584508923657584,162066.45204609327,7.765030186554851e-05,0.0077650301865548515
2013,技能実習,60代,0.0,162066.45204609327,0.0,0.0
2013,技能実習,70代以上,0.0,162066.45204609327,0.0,0.0
2013,留学,0~13歳,4.104436143984466,183212.7944861426,2.2402562853190403e-05,0.0022402562853190405
2013,留学,10代(14歳以上),13650.328505856338,183212.7944861426,0.07450532340899799,7.450532340899799
2013,留学,20代,151866.18954549724,183212.7944861426,0.8289060268494716,82.89060268494715
2013,留学,30代,16523.433806645462,183212.7944861426,0.09018711740623125,9.018711740623125
2013,留学,40代,1058.9445251479922,183212.7944861426,0.005779861216123124,0.5779861216123123
2013,留学,50代,89.2714861316617,183212.7944861426,0.00048725574205688894,0.0487255742056889
2013,留学,60代,18.469962647929837,183212.7944861426,0.0001008115328393554,0.010081153283935539
2013,留学,70代以上,2.052218071992233,183212.7944861426,1.1201281426595202e-05,0.0011201281426595202
2013,短期滞在,0~13歳,11673.697892101063,188430.2651429409,0.06195235082456387,6.195235082456387
2013,短期滞在,10代(14歳以上),8198.850860089398,188430.2651429409,0.043511326876655675,4.351132687665568
2013,短期滞在,20代,36862.73189919833,188430.2651429409,0.19563063221948296,19.563063221948298
2013,短期滞在,30代,46231.07303794741,188430.2651429409,0.24534844762266342,24.534844762266342
2013,短期滞在,40代,38211.367207101626,188430.2651429409,0.20278784397036725,20.278784397036727
2013,短期滞在,50代,28664.74490501444,188430.2651429409,0.1521238898818601,15.21238898818601
2013,短期滞在,60代,13479.90756791602,188430.2651429409,0.07153791116140673,7.153791116140673
2013,短期滞在,70代以上,5107.891773572599,188430.2651429409,0.027107597443000012,2.710759744300001
