年,在留資格,人数,不法残留者総数,構成比,構成比_pct
2018,その他,7800,66498,0.11729676080483624,11.729676080483625
2018,技能実習,6914,66498,0.1039730518211074,10.39730518211074
2018,日本人の配偶者等,3092,66498,0.04649763902673765,4.649763902673765
2018,留学,4100,66498,0.06165598965382418,6.165598965382418
2018,短期滞在,44592,66498,0.6705765586934945,67.05765586934945
2019,その他,9748,74167,0.13143311715452966,13.143311715452965
2019,技能実習,9366,74167,0.12628257850526514,12.628257850526515
2019,日本人の配偶者等,2946,74167,0.03972116979249531,3.9721169792495314
2019,留学,4708,74167,0.06347836638936455,6.347836638936455
2019,短期滞在,47399,74167,0.6390847681583454,63.90847681583453
2020,その他,10996,82892,0.1326545384355547,13.26545384355547
2020,技能実習,12427,82892,0.14991796554552914,14.991796554552913
2020,日本人の配偶者等,2687,82892,0.032415673406360083,3.241567340636008
2020,留学,5543,82892,0.06687014428412874,6.6870144284128745
2020,短期滞在,51239,82892,0.6181416783284274,61.814167832842735
2021,その他,11120,73327,0.15164946063523668,15.164946063523669
2021,技能実習,9186,73327,0.12527445552115865,12.527445552115864
2021,日本人の配偶者等,2506,73327,0.034175678808624384,3.4175678808624386
2021,留学,3616,73327,0.049313349789299986,4.931334978929999
2021,短期滞在,46899,73327,0.6395870552456803,63.958705524568025
2022,その他,9380,58241,0.1610549269415017,16.10549269415017
2022,技能実習,6093,58241,0.10461702237255542,10.461702237255542
2022,日本人の配偶者等,1992,58241,0.034202709431500146,3.4202709431500145
2022,留学,2302,58241,0.03952542023660308,3.952542023660308
2022,短期滞在,38474,58241,0.6605999210178397,66.05999210178398
2023,その他,14465,79101,0.18286747323042693,18.286747323042693
2023,技能実習,10913,79101,0.13796285761241955,13.796285761241956
2023,日本人の配偶者等,1890,79101,0.023893503242689726,2.3893503242689724
2023,留学,2348,79101,0.02968356910784946,2.9683569107849457
2023,短期滞在,49485,79101,0.6255925968066143,62.55925968066143
2024,その他,13485,77935,0.173028806056329,17.3028806056329
2024,技能実習,11802,77935,0.15143388721370374,15.143388721370373
2024,日本人の配偶者等,1884,77935,0.02417399114646821,2.417399114646821
2024,留学,2421,77935,0.031064348495541155,3.1064348495541156
2024,短期滞在,48343,77935,0.620298967087958,62.029896708795796
