年,区分00,区分01,国籍・地域,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2024,外国人,来日外国人以外,パキスタン,計,計,32,5489,58.29841501184187
2024,外国人,来日外国人以外,イラン,計,計,15,2648,56.64652567975831
2024,外国人,来日外国人以外,バングラデシュ,計,計,21,3803,55.219563502498026
2024,外国人,来日外国人以外,スリランカ,計,計,19,3780,50.264550264550266
2024,外国人,来日外国人以外,韓国・朝鮮,計,計,1561,340695,45.818107104595015
2024,外国人,来日外国人以外,ベトナム,計,計,101,22112,45.67655571635312
2024,外国人,来日外国人以外,ロシア,計,計,17,4482,37.92949576082106
2024,外国人,来日外国人以外,その他,計,計,367,104479,35.1266761741594
2024,外国人,来日外国人以外,ブラジル,計,計,344,106538,32.28894854418142
2024,外国人,来日外国人以外,中国,計,計,990,311703,31.76100326272125
2024,外国人,来日外国人以外,インド,計,計,26,8249,31.51897199660565
2024,外国人,来日外国人以外,イタリア,計,計,4,1378,29.02757619738752
2024,外国人,来日外国人以外,フィリピン,計,計,364,139135,26.161641571135945
2024,外国人,来日外国人以外,アメリカ,計,計,50,20436,24.466627520062637
2024,外国人,来日外国人以外,カナダ,計,計,10,4321,23.142791020597087
2024,外国人,来日外国人以外,インドネシア,計,計,13,7552,17.213983050847457
2024,外国人,来日外国人以外,イギリス,計,計,11,6967,15.78871824314626
2024,外国人,来日外国人以外,タイ,計,計,34,22118,15.372095126141604
2024,外国人,来日外国人以外,フランス,計,計,5,3684,13.572204125950051
2024,外国人,来日外国人以外,ドイツ,計,計,1,2025,4.938271604938271
2024,外国人,来日外国人以外,マレーシア,計,計,1,3251,3.075976622577669
