年,国籍・地域_名寄せ後,人口,特別永住者_総人口,構成比,韓国・朝鮮籍フラグ
2024,韓国,250881,277664,0.9035416906765013,True
2024,朝鮮,23295,277664,0.0838963639506742,True
2024,台湾,1030,277664,0.003709519419154,False
2024,米国,880,277664,0.0031692981445199,False
2024,中国,653,277664,0.0023517632822404,False
2024,オーストラリア,170,277664,0.0006122507779186,False
2024,カナダ,127,277664,0.0004573873458568,False
2024,フランス,103,277664,0.0003709519419154,False
2024,英国,95,277664,0.0003421401406015,False
2024,無国籍,72,277664,0.0002593062118243,False
2024,フィリピン,50,277664,0.0001800737582113,False
2024,ニュージーランド,40,277664,0.000144059006569,False
2024,ブラジル,32,277664,0.0001152472052552,False
2024,ドイツ,27,277664,9.723982943413622e-05,False
2024,スイス,22,277664,7.923245361299988e-05,False
2024,オランダ,16,277664,5.762360262763628e-05,False
2024,ナイジェリア,14,277664,5.042065229918175e-05,False
2024,イタリア,13,277664,4.681917713495448e-05,False
2024,タイ,12,277664,4.321770197072721e-05,False
2024,スウェーデン,11,277664,3.961622680649994e-05,False
2024,マレーシア,11,277664,3.961622680649994e-05,False
2024,インドネシア,8,277664,2.881180131381814e-05,False
2024,メキシコ,8,277664,2.881180131381814e-05,False
2024,イラン,7,277664,2.5210326149590876e-05,False
2024,アイルランド,6,277664,2.1608850985363604e-05,False
2024,シンガポール,6,277664,2.1608850985363604e-05,False
2024,スペイン,6,277664,2.1608850985363604e-05,False
2024,ロシア,6,277664,2.1608850985363604e-05,False
2024,インド,5,277664,1.8007375821136336e-05,False
2024,ギリシャ,5,277664,1.8007375821136336e-05,False
2024,ベトナム,5,277664,1.8007375821136336e-05,False
2024,ベルギー,5,277664,1.8007375821136336e-05,False
2024,ルーマニア,5,277664,1.8007375821136336e-05,False
2024,デンマーク,3,277664,1.0804425492681802e-05,False
2024,ネパール,3,277664,1.0804425492681802e-05,False
2024,ペルー,3,277664,1.0804425492681802e-05,False
2024,モンゴル,3,277664,1.0804425492681802e-05,False
2024,アルゼンチン,2,277664,7.202950328454535e-06,False
2024,ウクライナ,2,277664,7.202950328454535e-06,False
2024,エジプト,2,277664,7.202950328454535e-06,False
2024,オーストリア,2,277664,7.202950328454535e-06,False
2024,コスタリカ,2,277664,7.202950328454535e-06,False
2024,コンゴ民主共和国,2,277664,7.202950328454535e-06,False
2024,ハンガリー,2,277664,7.202950328454535e-06,False
2024,パキスタン,2,277664,7.202950328454535e-06,False
2024,フィンランド,2,277664,7.202950328454535e-06,False
2024,ブルガリア,2,277664,7.202950328454535e-06,False
2024,ポーランド,2,277664,7.202950328454535e-06,False
2024,ガーナ,1,277664,3.601475164227268e-06,False
2024,ジャマイカ,1,277664,3.601475164227268e-06,False
2024,スロバキア,1,277664,3.601475164227268e-06,False
2024,ラオス,1,277664,3.601475164227268e-06,False
