外国人比率_pct,倍率種別,外国人_対日本人倍率,日本全体への影響倍率
0,年齢調整前,1.568675558129914,1.0
0,年齢調整後,1.2625242145556743,1.0
1,年齢調整前,1.568675558129914,1.0056867555812992
1,年齢調整後,1.2625242145556743,1.0026252421455568
2,年齢調整前,1.568675558129914,1.0113735111625983
2,年齢調整後,1.2625242145556743,1.0052504842911134
3,年齢調整前,1.568675558129914,1.0170602667438975
3,年齢調整後,1.2625242145556743,1.0078757264366702
4,年齢調整前,1.568675558129914,1.0227470223251964
4,年齢調整後,1.2625242145556743,1.010500968582227
5,年齢調整前,1.568675558129914,1.0284337779064956
5,年齢調整後,1.2625242145556743,1.0131262107277836
6,年齢調整前,1.568675558129914,1.0341205334877948
6,年齢調整後,1.2625242145556743,1.0157514528733405
7,年齢調整前,1.568675558129914,1.039807289069094
7,年齢調整後,1.2625242145556743,1.018376695018897
8,年齢調整前,1.568675558129914,1.045494044650393
8,年齢調整後,1.2625242145556743,1.021001937164454
9,年齢調整前,1.568675558129914,1.0511808002316922
9,年齢調整後,1.2625242145556743,1.0236271793100107
10,年齢調整前,1.568675558129914,1.0568675558129914
10,年齢調整後,1.2625242145556743,1.0262524214555675
11,年齢調整前,1.568675558129914,1.0625543113942906
11,年齢調整後,1.2625242145556743,1.028877663601124
12,年齢調整前,1.568675558129914,1.0682410669755897
12,年齢調整後,1.2625242145556743,1.031502905746681
13,年齢調整前,1.568675558129914,1.073927822556889
13,年齢調整後,1.2625242145556743,1.0341281478922377
14,年齢調整前,1.568675558129914,1.079614578138188
14,年齢調整後,1.2625242145556743,1.0367533900377943
15,年齢調整前,1.568675558129914,1.085301333719487
15,年齢調整後,1.2625242145556743,1.0393786321833511
16,年齢調整前,1.568675558129914,1.0909880893007862
16,年齢調整後,1.2625242145556743,1.042003874328908
17,年齢調整前,1.568675558129914,1.0966748448820853
17,年齢調整後,1.2625242145556743,1.0446291164744645
18,年齢調整前,1.568675558129914,1.1023616004633845
18,年齢調整後,1.2625242145556743,1.0472543586200214
19,年齢調整前,1.568675558129914,1.1080483560446837
19,年齢調整後,1.2625242145556743,1.0498796007655782
20,年齢調整前,1.568675558129914,1.1137351116259828
20,年齢調整後,1.2625242145556743,1.052504842911135
21,年齢調整前,1.568675558129914,1.119421867207282
21,年齢調整後,1.2625242145556743,1.0551300850566916
22,年齢調整前,1.568675558129914,1.1251086227885811
22,年齢調整後,1.2625242145556743,1.0577553272022484
23,年齢調整前,1.568675558129914,1.1307953783698803
23,年齢調整後,1.2625242145556743,1.0603805693478052
24,年齢調整前,1.568675558129914,1.1364821339511795
24,年齢調整後,1.2625242145556743,1.0630058114933618
25,年齢調整前,1.568675558129914,1.1421688895324786
25,年齢調整後,1.2625242145556743,1.0656310536389186
26,年齢調整前,1.568675558129914,1.1478556451137778
26,年齢調整後,1.2625242145556743,1.0682562957844755
27,年齢調整前,1.568675558129914,1.1535424006950767
27,年齢調整後,1.2625242145556743,1.070881537930032
28,年齢調整前,1.568675558129914,1.159229156276376
28,年齢調整後,1.2625242145556743,1.0735067800755889
29,年齢調整前,1.568675558129914,1.164915911857675
29,年齢調整後,1.2625242145556743,1.0761320222211455
30,年齢調整前,1.568675558129914,1.1706026674389742
30,年齢調整後,1.2625242145556743,1.0787572643667023
