年,表示区分,国籍・地域,人口,総人口,構成比,構成比_pct
2024,その他,ベトナム,310391,1190774,0.26066323248576134,26.066323248576133
2024,その他,中国,269075,1190774,0.22596647222730762,22.596647222730763
2024,その他,ネパール,119609,1190774,0.1004464323204907,10.04464323204907
2024,その他,インドネシア,65915,1190774,0.055354752455125826,5.535475245512583
2024,その他,ミャンマー,54663,1190774,0.04590543629605618,4.590543629605618
2024,その他,フィリピン,53762,1190774,0.04514878557979936,4.5148785579799355
2024,その他,韓国,48393,1190774,0.04063995350923013,4.063995350923013
2024,その他,インド,37461,1190774,0.031459370123969786,3.1459370123969785
2024,その他,スリランカ,33932,1190774,0.02849575150280406,2.8495751502804056
2024,その他,台湾,26097,1190774,0.021915997494066884,2.1915997494066883
2024,その他,米国,24230,1190774,0.020348109716873227,2.034810971687323
2024,その他,パキスタン,16357,1190774,0.013736443691246198,1.3736443691246198
2024,その他,バングラデシュ,15271,1190774,0.012824431840130874,1.2824431840130874
2024,その他,タイ,13035,1190774,0.010946661583138362,1.0946661583138362
2024,その他,モンゴル,10374,1190774,0.00871198061093037,0.871198061093037
2024,その他,英国,8063,1190774,0.006771226110076303,0.6771226110076303
2024,その他,フランス,7174,1190774,0.006024652872837331,0.6024652872837332
2024,その他,カンボジア,7096,1190774,0.005959149259221313,0.5959149259221314
2024,その他,アフガニスタン,4908,1190774,0.004121688918300198,0.4121688918300198
2024,その他,オーストラリア,4848,1190774,0.004071301523210953,0.4071301523210953
2024,その他,マレーシア,4685,1190774,0.0039344157665518395,0.393441576655184
2024,その他,カナダ,4401,1190774,0.003695915429796082,0.3695915429796082
2024,その他,ロシア,3736,1190774,0.0031374551342236226,0.31374551342236223
2024,その他,ドイツ,3576,1190774,0.0030030887473189707,0.30030887473189705
2024,その他,トルコ,3552,1190774,0.002982933789283273,0.2982933789283273
2024,その他,ウズベキスタン,2698,1190774,0.0022657531991796933,0.22657531991796934
2024,その他,ブラジル,1927,1190774,0.0016182751722829017,0.16182751722829017
2024,その他,イタリア,1874,1190774,0.0015737663066207358,0.15737663066207358
2024,その他,スペイン,1678,1190774,0.0014091674826625371,0.14091674826625372
2024,その他,ニュージーランド,1670,1190774,0.0014024491633173046,0.14024491633173047
2024,その他,ウクライナ,1554,1190774,0.0013050335328114318,0.13050335328114318
2024,その他,シンガポール,1454,1190774,0.0012210545409960245,0.12210545409960245
2024,その他,エジプト,1282,1190774,0.0010766106750735235,0.10766106750735235
2024,その他,南アフリカ共和国,1108,1190774,0.0009304872293147146,0.09304872293147146
2024,その他,ナイジェリア,1093,1190774,0.0009178903805424036,0.09178903805424035
2024,その他,メキシコ,1036,1190774,0.0008700223552076213,0.08700223552076213
2024,その他,カメルーン,881,1190774,0.0007398549178937397,0.07398549178937397
2024,その他,イラン,769,1190774,0.0006457984470604833,0.06457984470604833
2024,その他,シリア,754,1190774,0.0006332015982881723,0.06332015982881722
2024,その他,ガーナ,734,1190774,0.0006164057999250908,0.061640579992509076
2024,その他,オランダ,716,1190774,0.0006012895813983174,0.06012895813983174
2024,その他,ジャマイカ,687,1190774,0.0005769356737718493,0.05769356737718493
2024,その他,スウェーデン,672,1190774,0.0005643388249995381,0.05643388249995381
2024,その他,ポーランド,668,1190774,0.0005609796653269218,0.05609796653269218
2024,その他,アルゼンチン,646,1190774,0.0005425042871275322,0.05425042871275322
2024,その他,アイルランド,611,1190774,0.0005131116399921396,0.05131116399921396
2024,その他,キルギス,517,1190774,0.00043417138768565654,0.043417138768565657
2024,その他,ラオス,500,1190774,0.00041989495907703727,0.041989495907703726
2024,その他,ケニア,484,1190774,0.0004064583203865721,0.04064583203865721
2024,その他,ウガンダ,480,1190774,0.0004030991607139558,0.04030991607139558
2024,その他,セネガル,474,1190774,0.00039806042120503135,0.039806042120503135
2024,その他,チリ,447,1190774,0.00037538609341487134,0.03753860934148713
2024,その他,ジンバブエ,443,1190774,0.00037202693374225503,0.0372026933742255
2024,その他,スイス,439,1190774,0.0003686677740696387,0.03686677740696387
2024,その他,ベルギー,399,1190774,0.00033507617734347575,0.03350761773434757
2024,その他,デンマーク,397,1190774,0.0003333965975071676,0.03333965975071676
2024,その他,カザフスタン,384,1190774,0.00032247932857116466,0.03224793285711647
2024,その他,ペルー,377,1190774,0.00031660079914408614,0.03166007991440861
2024,その他,ポルトガル,372,1190774,0.00031240184955331574,0.031240184955331575
2024,その他,コンゴ民主共和国,354,1190774,0.0002972856310265424,0.02972856310265424
2024,その他,コロンビア,349,1190774,0.00029308668143577203,0.029308668143577202
2024,その他,チュニジア,346,1190774,0.0002905673116813098,0.02905673116813098
2024,その他,ハンガリー,338,1190774,0.0002838489923360772,0.02838489923360772
2024,その他,フィンランド,326,1190774,0.00027377151331822833,0.027377151331822832
2024,その他,ベネズエラ,315,1190774,0.0002645338242185335,0.02645338242185335
2024,その他,ブータン,311,1190774,0.0002611746645459172,0.026117466454591717
2024,その他,ルーマニア,290,1190774,0.00024353907626468164,0.024353907626468163
2024,その他,オーストリア,282,1190774,0.00023682075691944902,0.0236820756919449
