年,表示区分,性別,年代,人口,総人口,構成比,構成比_pct
2024,その他,その他,20代,5,1190774,4.1989495907703725e-06,0.00041989495907703727
2024,その他,その他,30代,6,1190774,5.038739508924448e-06,0.0005038739508924448
2024,その他,その他,40代,1,1190774,8.397899181540746e-07,8.397899181540746e-05
2024,その他,女,0~13歳,56502,1190774,0.04744980995554152,4.744980995554152
2024,その他,女,10代(14歳以上),10156,1190774,0.00852890640877278,0.8528906408772781
2024,その他,女,20代,205115,1190774,0.17225350906217302,17.2253509062173
2024,その他,女,30代,175714,1190774,0.14756284567852507,14.756284567852507
2024,その他,女,40代,47201,1190774,0.03963892392679048,3.963892392679048
2024,その他,女,50代,14406,1190774,0.012098013560927599,1.2098013560927598
2024,その他,女,60代,4901,1190774,0.00411581038887312,0.41158103888731196
2024,その他,女,70代以上,2711,1190774,0.002276670468115696,0.2276670468115696
2024,その他,男,0~13歳,61063,1190774,0.051280091772242256,5.128009177224226
2024,その他,男,10代(14歳以上),11723,1190774,0.009844857210520216,0.9844857210520216
2024,その他,男,20代,228859,1190774,0.19219348087882335,19.219348087882334
2024,その他,男,30代,257535,1190774,0.2162752965718096,21.62752965718096
2024,その他,男,40代,79503,1190774,0.0667658178630034,6.676581786300339
2024,その他,男,50代,26389,1190774,0.022161216150167876,2.2161216150167875
2024,その他,男,60代,7195,1190774,0.006042288461118567,0.6042288461118567
2024,その他,男,70代以上,1789,1190774,0.0015023841635776393,0.15023841635776394
2024,定住者,女,0~13歳,24576,221217,0.11109453613420307,11.109453613420307
2024,定住者,女,10代(14歳以上),11546,221217,0.052193095467346545,5.219309546734655
2024,定住者,女,20代,18203,221217,0.08228571945194085,8.228571945194085
2024,定住者,女,30代,21758,221217,0.09835591297233033,9.835591297233034
2024,定住者,女,40代,21554,221217,0.0974337415298101,9.74337415298101
2024,定住者,女,50代,13670,221217,0.0617945275453514,6.17945275453514
2024,定住者,女,60代,5208,221217,0.023542494473752017,2.3542494473752016
2024,定住者,女,70代以上,1723,221217,0.007788732330697912,0.7788732330697912
2024,定住者,男,0~13歳,25052,221217,0.11324626950008362,11.324626950008362
2024,定住者,男,10代(14歳以上),11783,221217,0.05326444170203917,5.326444170203917
2024,定住者,男,20代,19030,221217,0.08602413015274595,8.602413015274594
2024,定住者,男,30代,19767,221217,0.0893557005112627,8.93557005112627
2024,定住者,男,40代,15685,221217,0.0709032307643626,7.09032307643626
2024,定住者,男,50代,7820,221217,0.03534990529660921,3.534990529660921
2024,定住者,男,60代,2813,221217,0.01271602092063449,1.271602092063449
2024,定住者,男,70代以上,1029,221217,0.004651541246830036,0.4651541246830036
2024,技能実習,女,10代(14歳以上),12037,425714,0.028274851191175294,2.8274851191175294
2024,技能実習,女,20代,118485,425714,0.2783206565910447,27.832065659104472
2024,技能実習,女,30代,35234,425714,0.08276448507683562,8.276448507683561
2024,技能実習,女,40代,8067,425714,0.018949341576739314,1.8949341576739314
2024,技能実習,女,50代,1565,425714,0.003676176963877157,0.3676176963877157
2024,技能実習,女,60代,6,425714,1.409396919058335e-05,0.001409396919058335
2024,技能実習,男,10代(14歳以上),12456,425714,0.029259080039651032,2.925908003965103
2024,技能実習,男,20代,180097,425714,0.4230469282194149,42.304692821941494
2024,技能実習,男,30代,51937,425714,0.12199974630855456,12.199974630855456
2024,技能実習,男,40代,5491,425714,0.012898330804248861,1.289833080424886
2024,技能実習,男,50代,333,425714,0.0007822152900773759,0.07822152900773759
2024,技能実習,男,60代,6,425714,1.409396919058335e-05,0.001409396919058335
2024,日本人の配偶者等,その他,20代,1,150208,6.657435023434171e-06,0.0006657435023434171
2024,日本人の配偶者等,女,0~13歳,760,150208,0.0050596506178099705,0.5059650617809971
2024,日本人の配偶者等,女,10代(14歳以上),533,150208,0.003548412867490413,0.3548412867490413
2024,日本人の配偶者等,女,20代,9320,150208,0.06204729441840648,6.204729441840648
2024,日本人の配偶者等,女,30代,29767,150208,0.19817186834256498,19.817186834256496
2024,日本人の配偶者等,女,40代,24050,150208,0.16011131231359182,16.011131231359183
2024,日本人の配偶者等,女,50代,14600,150208,0.0971985513421389,9.719855134213889
2024,日本人の配偶者等,女,60代,6478,150208,0.04312686408180656,4.312686408180657
2024,日本人の配偶者等,女,70代以上,2452,150208,0.016324030677460587,1.6324030677460588
2024,日本人の配偶者等,男,0~13歳,766,150208,0.005099595227950575,0.5099595227950575
2024,日本人の配偶者等,男,10代(14歳以上),537,150208,0.00357504260758415,0.357504260758415
2024,日本人の配偶者等,男,20代,5528,150208,0.0368023008095441,3.68023008095441
2024,日本人の配偶者等,男,30代,19384,150208,0.12904772049424798,12.904772049424798
2024,日本人の配偶者等,男,40代,15856,150208,0.10556028973157222,10.556028973157222
2024,日本人の配偶者等,男,50代,10834,150208,0.07212665104388581,7.212665104388581
2024,日本人の配偶者等,男,60代,6607,150208,0.04398567319982957,4.398567319982957
2024,日本人の配偶者等,男,70代以上,2735,150208,0.018208084789092457,1.8208084789092458
2024,永住者等,女,0~13歳,51862,1232454,0.0420802723671634,4.20802723671634
2024,永住者等,女,10代(14歳以上),22525,1232454,0.018276544195564296,1.8276544195564297
2024,永住者等,女,20代,40198,1232454,0.03261622746163346,3.261622746163346
2024,永住者等,女,30代,95048,1232454,0.07712093108546039,7.712093108546039
2024,永住者等,女,40代,158979,1232454,0.12899386102848465,12.899386102848464
2024,永住者等,女,50代,164964,1232454,0.13385002604559684,13.385002604559684
2024,永住者等,女,60代,100997,1232454,0.08194788608743207,8.194788608743208
2024,永住者等,女,70代以上,77598,1232454,0.0629621876354006,6.296218763540059
2024,永住者等,男,0~13歳,55747,1232454,0.04523251983441167,4.523251983441167
2024,永住者等,男,10代(14歳以上),23767,1232454,0.019284289717912392,1.9284289717912393
2024,永住者等,男,20代,39601,1232454,0.03213182804388642,3.2131828043886426
2024,永住者等,男,30代,77057,1232454,0.06252322601898326,6.252322601898326
2024,永住者等,男,40代,106143,1232454,0.08612329547390815,8.612329547390814
2024,永住者等,男,50代,97316,1232454,0.07896116203931343,7.896116203931343
2024,永住者等,男,60代,66764,1232454,0.05417159585672163,5.417159585672163
2024,永住者等,男,70代以上,53888,1232454,0.04372414710812736,4.372414710812736
2024,留学,その他,10代(14歳以上),2,368589,5.426097903084465e-06,0.0005426097903084465
2024,留学,その他,20代,7,368589,1.8991342660795627e-05,0.0018991342660795627
2024,留学,女,0~13歳,144,368589,0.0003906790490220815,0.03906790490220815
2024,留学,女,10代(14歳以上),19754,368589,0.053593568988765265,5.359356898876526
2024,留学,女,20代,130598,368589,0.3543187669735125,35.43187669735125
2024,留学,女,30代,12581,368589,0.03413286885935283,3.4132868859352827
2024,留学,女,40代,1185,368589,0.0032149630075775457,0.3214963007577546
2024,留学,女,50代,282,368589,0.0007650798043349097,0.07650798043349097
2024,留学,女,60代,39,368589,0.00010580890911014708,0.010580890911014709
2024,留学,女,70代以上,5,368589,1.3565244757711164e-05,0.0013565244757711163
2024,留学,男,0~13歳,128,368589,0.0003472702657974058,0.034727026579740576
2024,留学,男,10代(14歳以上),22789,368589,0.06182767255669594,6.182767255669594
2024,留学,男,20代,163045,368589,0.44234906630420334,44.23490663042033
2024,留学,男,30代,16289,368589,0.044192854371671426,4.419285437167143
2024,留学,男,40代,1490,368589,0.004042442937797926,0.40424429377979265
2024,留学,男,50代,216,368589,0.0005860185735331223,0.05860185735331223
2024,留学,男,60代,31,368589,8.410451749780922e-05,0.008410451749780922
2024,留学,男,70代以上,4,368589,1.085219580616893e-05,0.001085219580616893
