年,国籍・地域,年代,人口,総人口,構成比,構成比_pct
2024,ブラジル,0~13歳,13439,72023,0.18659317162573066,18.659317162573068
2024,ブラジル,10代(14歳以上),6572,72023,0.09124862891020924,9.124862891020925
2024,ブラジル,20代,12544,72023,0.1741665856740208,17.41665856740208
2024,ブラジル,30代,17185,72023,0.23860433472640685,23.860433472640686
2024,ブラジル,40代,15106,72023,0.20973855573913888,20.973855573913887
2024,ブラジル,50代,5796,72023,0.08047429293420158,8.047429293420159
2024,ブラジル,60代,1265,72023,0.017563833775321773,1.7563833775321773
2024,ブラジル,70代以上,116,72023,0.001610596614970218,0.1610596614970218
2024,フィリピン,0~13歳,12787,61721,0.20717421947149267,20.717421947149266
2024,フィリピン,10代(14歳以上),6892,61721,0.111663777320523,11.1663777320523
2024,フィリピン,20代,11258,61721,0.18240145169391292,18.24014516939129
2024,フィリピン,30代,11782,61721,0.19089126877399912,19.089126877399913
2024,フィリピン,40代,10627,61721,0.17217802692762593,17.217802692762593
2024,フィリピン,50代,6650,61721,0.10774290760033052,10.774290760033052
2024,フィリピン,60代,1553,61721,0.025161614361400495,2.5161614361400497
2024,フィリピン,70代以上,172,61721,0.002786733850715316,0.2786733850715316
2024,中国,0~13歳,10159,30443,0.3337056137699964,33.37056137699964
2024,中国,10代(14歳以上),4147,30443,0.1362217915448543,13.622179154485432
2024,中国,20代,5052,30443,0.1659494793548599,16.59494793548599
2024,中国,30代,4198,30443,0.13789705350983805,13.789705350983805
2024,中国,40代,3291,30443,0.10810366915218605,10.810366915218605
2024,中国,50代,2089,30443,0.06862004401668692,6.862004401668692
2024,中国,60代,1026,30443,0.03370232894261407,3.370232894261407
2024,中国,70代以上,481,30443,0.015800019708964295,1.5800019708964295
