年,在留資格,国籍・地域,検挙人員
2015,定住者,ブラジル,282
2015,定住者,フィリピン,225
2015,定住者,中国,142
2015,定住者,ペルー,153
2015,定住者,ベトナム,105
2015,定住者,その他,300
2016,定住者,ブラジル,238
2016,定住者,フィリピン,226
2016,定住者,中国,142
2016,定住者,ペルー,119
2016,定住者,ベトナム,78
2016,定住者,その他,284
2017,定住者,ブラジル,294
2017,定住者,フィリピン,219
2017,定住者,中国,125
2017,定住者,ペルー,105
2017,定住者,ベトナム,83
2017,定住者,その他,267
2018,定住者,ブラジル,263
2018,定住者,フィリピン,193
2018,定住者,中国,120
2018,定住者,ペルー,99
2018,定住者,ベトナム,68
2018,定住者,その他,234
2019,定住者,ブラジル,238
2019,定住者,フィリピン,198
2019,定住者,中国,113
2019,定住者,ペルー,87
2019,定住者,ベトナム,63
2019,定住者,その他,233
2020,定住者,ブラジル,278
2020,定住者,フィリピン,190
2020,定住者,中国,86
2020,定住者,ペルー,89
2020,定住者,ベトナム,68
2020,定住者,その他,215
2021,定住者,ブラジル,256
2021,定住者,フィリピン,218
2021,定住者,中国,124
2021,定住者,ペルー,76
2021,定住者,ベトナム,70
2021,定住者,その他,213
2022,定住者,ブラジル,261
2022,定住者,フィリピン,200
2022,定住者,中国,128
2022,定住者,ペルー,69
2022,定住者,ベトナム,45
2022,定住者,その他,199
2023,定住者,ブラジル,281
2023,定住者,フィリピン,189
2023,定住者,中国,136
2023,定住者,ペルー,92
2023,定住者,ベトナム,63
2023,定住者,その他,244
2024,定住者,ブラジル,312
2024,定住者,フィリピン,271
2024,定住者,中国,122
2024,定住者,ペルー,74
2024,定住者,ベトナム,70
2024,定住者,その他,250
