年,国籍・地域,人口,総人口,構成比,構成比_pct
2024,ブラジル,72023,221217,0.32557624414036895,32.557624414036894
2024,フィリピン,61721,221217,0.2790065862930968,27.90065862930968
2024,中国,30443,221217,0.13761600600315527,13.761600600315527
2024,ペルー,11480,221217,0.05189474588300176,5.189474588300176
2024,韓国,7206,221217,0.032574350072553195,3.2574350072553195
2024,ベトナム,6779,221217,0.030644118670807397,3.06441186708074
2024,タイ,4407,221217,0.01992161542738578,1.992161542738578
2024,インドネシア,2769,221217,0.012517121197737967,1.2517121197737968
2024,ボリビア,2702,221217,0.012214251165145535,1.2214251165145535
2024,ミャンマー,2627,221217,0.011875217546571918,1.187521754657192
2024,パキスタン,1873,221217,0.008466799567845148,0.8466799567845148
2024,台湾,1678,221217,0.007585312159553741,0.7585312159553741
2024,米国,1639,221217,0.0074090146778954605,0.740901467789546
2024,ネパール,1419,221217,0.006414516063412848,0.6414516063412848
2024,ウクライナ,1111,221217,0.005022218003137191,0.5022218003137191
2024,インド,939,221217,0.004244700904541695,0.42447009045416945
2024,スリランカ,743,221217,0.00335869304800264,0.335869304800264
2024,パラグアイ,687,221217,0.0031055479461343386,0.3105547946134339
2024,バングラデシュ,662,221217,0.002992536739943133,0.2992536739943133
2024,アフガニスタン,633,221217,0.0028614437407613338,0.28614437407613336
2024,モンゴル,507,221217,0.002291867261557656,0.2291867261557656
2024,トルコ,506,221217,0.002287346813310008,0.22873468133100078
2024,シリア,502,221217,0.002269265020319415,0.22692650203194148
2024,ロシア,453,221217,0.0020477630561846513,0.20477630561846513
2024,コロンビア,443,221217,0.002002558573708169,0.2002558573708169
2024,アルゼンチン,401,221217,0.001812699747306943,0.18126997473069428
2024,ガーナ,295,221217,0.0013335322330562298,0.133353223305623
2024,カンボジア,265,221217,0.0011979187856267827,0.11979187856267827
2024,ラオス,260,221217,0.0011753165443885417,0.11753165443885416
2024,英国,249,221217,0.001125591613664411,0.11255916136644109
2024,ナイジェリア,236,221217,0.001066825786444984,0.1066825786444984
2024,ルーマニア,230,221217,0.0010397030969590945,0.10397030969590945
2024,イラン,230,221217,0.0010397030969590945,0.10397030969590945
2024,フランス,174,221217,0.0007865579950907932,0.07865579950907932
2024,マレーシア,172,221217,0.0007775170985954967,0.07775170985954967
2024,カナダ,170,221217,0.0007684762021002002,0.07684762021002002
2024,メキシコ,167,221217,0.0007549148573572556,0.07549148573572556
2024,無国籍,148,221217,0.000669026340651939,0.06690263406519391
2024,オーストラリア,138,221217,0.0006238218581754567,0.06238218581754567
2024,ドミニカ共和国,125,221217,0.0005650560309560296,0.05650560309560296
2024,ウズベキスタン,99,221217,0.00044752437651717544,0.04475243765171755
2024,チリ,99,221217,0.00044752437651717544,0.04475243765171755
2024,ウガンダ,95,221217,0.0004294425835265825,0.04294425835265825
2024,ドイツ,93,221217,0.000420401687031286,0.0420401687031286
2024,イタリア,81,221217,0.0003661563080595072,0.03661563080595072
2024,エチオピア,76,221217,0.000343554066821266,0.0343554066821266
2024,(朝鮮),76,221217,0.000343554066821266,0.0343554066821266
2024,スペイン,73,221217,0.00032999272207832127,0.03299927220783213
2024,コンゴ民主共和国,72,221217,0.000325472273830673,0.032547227383067305
2024,カメルーン,68,221217,0.0003073904808400801,0.03073904808400801
2024,エジプト,66,221217,0.0002983495843447836,0.02983495843447836
2024,イエメン,58,221217,0.00026218599836359775,0.026218599836359775
2024,セネガル,58,221217,0.00026218599836359775,0.026218599836359775
2024,ニュージーランド,52,221217,0.0002350633088777083,0.02350633088777083
2024,ベネズエラ,47,221217,0.00021246106763946713,0.021246106763946712
2024,チュニジア,45,221217,0.00020342017114417067,0.020342017114417067
2024,シンガポール,39,221217,0.00017629748165828122,0.017629748165828123
2024,ギニア,35,221217,0.0001582156886676883,0.015821568866768828
2024,タンザニア,29,221217,0.00013109299918179888,0.013109299918179888
2024,ケニア,28,221217,0.00012657255093415063,0.012657255093415063
2024,スーダン,25,221217,0.00011301120619120592,0.011301120619120593
2024,ポルトガル,24,221217,0.00010849075794355769,0.010849075794355768
2024,ポーランド,24,221217,0.00010849075794355769,0.010849075794355768
2024,ハンガリー,23,221217,0.00010397030969590944,0.010397030969590944
2024,スウェーデン,22,221217,9.944986144826121e-05,0.009944986144826121
2024,イスラエル,21,221217,9.492941320061298e-05,0.009492941320061298
2024,イラク,21,221217,9.492941320061298e-05,0.009492941320061298
2024,マリ,20,221217,9.040896495296473e-05,0.009040896495296474
2024,ブルンジ,19,221217,8.58885167053165e-05,0.00858885167053165
2024,スイス,18,221217,8.136806845766826e-05,0.008136806845766826
2024,オランダ,18,221217,8.136806845766826e-05,0.008136806845766826
2024,南アフリカ共和国,17,221217,7.684762021002002e-05,0.007684762021002003
2024,エクアドル,17,221217,7.684762021002002e-05,0.007684762021002003
2024,キューバ,16,221217,7.232717196237179e-05,0.007232717196237179
2024,モロッコ,16,221217,7.232717196237179e-05,0.007232717196237179
2024,ヨルダン,15,221217,6.780672371472355e-05,0.006780672371472354
2024,ジャマイカ,15,221217,6.780672371472355e-05,0.006780672371472354
2024,モルドバ,15,221217,6.780672371472355e-05,0.006780672371472354
2024,リトアニア,14,221217,6.328627546707531e-05,0.0063286275467075315
2024,ベラルーシ,14,221217,6.328627546707531e-05,0.0063286275467075315
2024,コートジボワール,14,221217,6.328627546707531e-05,0.0063286275467075315
2024,デンマーク,13,221217,5.8765827219427076e-05,0.005876582721942708
2024,エリトリア,13,221217,5.8765827219427076e-05,0.005876582721942708
2024,コスタリカ,12,221217,5.4245378971778844e-05,0.005424537897177884
2024,ベルギー,12,221217,5.4245378971778844e-05,0.005424537897177884
2024,アイルランド,11,221217,4.9724930724130605e-05,0.0049724930724130605
2024,パレスチナ,11,221217,4.9724930724130605e-05,0.0049724930724130605
2024,カザフスタン,10,221217,4.520448247648237e-05,0.004520448247648237
2024,ホンジュラス,9,221217,4.068403422883413e-05,0.004068403422883413
2024,モザンビーク,9,221217,4.068403422883413e-05,0.004068403422883413
2024,キルギス,9,221217,4.068403422883413e-05,0.004068403422883413
2024,ソマリア,9,221217,4.068403422883413e-05,0.004068403422883413
2024,ミクロネシア,9,221217,4.068403422883413e-05,0.004068403422883413
2024,レバノン,8,221217,3.6163585981185896e-05,0.0036163585981185895
2024,アンゴラ,8,221217,3.6163585981185896e-05,0.0036163585981185895
2024,チェコ,8,221217,3.6163585981185896e-05,0.0036163585981185895
2024,エストニア,8,221217,3.6163585981185896e-05,0.0036163585981185895
2024,南スーダン共和国,8,221217,3.6163585981185896e-05,0.0036163585981185895
2024,ルワンダ,8,221217,3.6163585981185896e-05,0.0036163585981185895
2024,フィジー,7,221217,3.164313773353766e-05,0.0031643137733537658
2024,エルサルバドル,7,221217,3.164313773353766e-05,0.0031643137733537658
2024,ニカラグア,7,221217,3.164313773353766e-05,0.0031643137733537658
2024,スロバキア,7,221217,3.164313773353766e-05,0.0031643137733537658
2024,ブルガリア,6,221217,2.7122689485889422e-05,0.002712268948588942
2024,モーリシャス,5,221217,2.2602241238241183e-05,0.0022602241238241184
2024,ブルキナファソ,5,221217,2.2602241238241183e-05,0.0022602241238241184
2024,リビア,5,221217,2.2602241238241183e-05,0.0022602241238241184
2024,サモア,5,221217,2.2602241238241183e-05,0.0022602241238241184
2024,オーストリア,5,221217,2.2602241238241183e-05,0.0022602241238241184
2024,フィンランド,5,221217,2.2602241238241183e-05,0.0022602241238241184
2024,トーゴ,5,221217,2.2602241238241183e-05,0.0022602241238241184
2024,クロアチア,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,ウルグアイ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,アルジェリア,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,ギリシャ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,ジンバブエ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,グアテマラ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,マラウイ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,ボツワナ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,トリニダード・トバゴ,4,221217,1.8081792990592948e-05,0.0018081792990592947
2024,中央アフリカ,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,ノルウェー,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,パナマ,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,シエラレオネ,3,221217,1.3561344742944711e-05,0.001356134474294471
2024,ラトビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,ジョージア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,コンゴ共和国,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,ガンビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,ギニアビサウ,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,サウジアラビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,トンガ,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,トルクメニスタン,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,レソト,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,マダガスカル,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,ボスニア・ヘルツェゴビナ,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,ベナン,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,セルビア,2,221217,9.040896495296474e-06,0.0009040896495296474
2024,アゼルバイジャン,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,スロベニア,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,ニジェール,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,チャド,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,セントビンセント,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,ソロモン,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,バヌアツ,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,パラオ,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,ルクセンブルク,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,北マケドニア,1,221217,4.520448247648237e-06,0.0004520448247648237
