罪種統合,罪種統合_名寄せ後
凶悪犯/殺人/殺人,凶悪犯/殺人/
凶悪犯/殺人/嬰児殺,凶悪犯/殺人/
凶悪犯/殺人/殺人予備,凶悪犯/殺人/
凶悪犯/殺人/自殺関与,凶悪犯/殺人/
凶悪犯/強盗/強盗殺人,凶悪犯/強盗/
凶悪犯/強盗/強盗傷人,凶悪犯/強盗/
凶悪犯/強盗/強盗強姦,凶悪犯/強盗/
凶悪犯/強盗/強盗・準強盗,凶悪犯/強盗/
凶悪犯/放火/,凶悪犯/放火/
凶悪犯/強姦/,凶悪犯/不同意性交等/
粗暴犯/凶器準備集合/,粗暴犯//
粗暴犯/暴行/,粗暴犯//
粗暴犯/傷害/傷害致死,粗暴犯//
粗暴犯/脅迫/,粗暴犯//
粗暴犯/恐喝/,粗暴犯//
窃盗犯/侵入盗/,窃盗犯//
窃盗犯/乗り物盗/,窃盗犯//
窃盗犯/非侵入盗/,窃盗犯//
知能犯/詐欺/,知能犯//
知能犯/横領/横領,知能犯//
知能犯/横領/業務上横領,知能犯//
知能犯/偽造/通貨偽造,知能犯//
知能犯/偽造/文書偽造,知能犯//
知能犯/偽造/支払用カード偽造,知能犯//
知能犯/偽造/有価証券偽造,知能犯//
知能犯/偽造/印章偽造,知能犯//
知能犯/汚職/賄賂,知能犯//
知能犯/あっせん利得処罰法/,知能犯//
知能犯/背任/,知能犯//
風俗犯/賭博/普通賭博,風俗犯//
風俗犯/賭博/常習賭博,風俗犯//
風俗犯/賭博/賭博開張等,風俗犯//
風俗犯/わいせつ/強制わいせつ,風俗犯//
風俗犯/わいせつ/公然わいせつ,風俗犯//
その他の刑法犯/占有離脱物横領/,その他の刑法犯//
その他の刑法犯/公務執行妨害/,その他の刑法犯//
その他の刑法犯/住居侵入/,その他の刑法犯//
その他の刑法犯/逮捕監禁/,その他の刑法犯//
その他の刑法犯/略取誘拐・人身売買/,その他の刑法犯//
その他の刑法犯/盗品等/,その他の刑法犯//
その他の刑法犯/器物損壊等/,その他の刑法犯//
粗暴犯/傷害/その他,粗暴犯//
知能犯/汚職/その他,知能犯//
風俗犯/わいせつ/その他,風俗犯//
その他の刑法犯/その他/,その他の刑法犯//
凶悪犯/強盗/強盗・強制性交等,凶悪犯/強盗/
凶悪犯/強制性交等/,凶悪犯/不同意性交等/
凶悪犯/強盗/強盗・不同意性交等,凶悪犯/強盗/
凶悪犯/不同意性交等/,凶悪犯/不同意性交等/
風俗犯/賭博/,風俗犯//
風俗犯/わいせつ/不同意わいせつ,風俗犯//
風俗犯/わいせつ/面会要求等,風俗犯//
風俗犯/性的姿態撮影等処罰法/,風俗犯//
