罪種統合,罪種統合_名寄せ後
凶悪犯/殺人/,凶悪犯/殺人/
凶悪犯/強盗/,凶悪犯/強盗/
凶悪犯/放火/,凶悪犯/放火/
凶悪犯/強姦/,凶悪犯/不同意性交等/
粗暴犯/暴行/,粗暴犯//
粗暴犯/傷害/,粗暴犯//
粗暴犯/脅迫/,粗暴犯//
粗暴犯/恐喝/,粗暴犯//
窃盗犯/侵入盗/,窃盗犯//
知能犯/詐欺/,知能犯//
知能犯/横領/,知能犯//
知能犯/偽造/通貨偽造,知能犯//
知能犯/偽造/文書偽造,知能犯//
知能犯/偽造/有価証券偽造,知能犯//
風俗犯/賭博/,風俗犯//
風俗犯/強制わいせつ/,風俗犯//
風俗犯/公然わいせつ・物/,風俗犯//
その他の刑法犯/占有離脱物横領/,その他の刑法犯//
その他の刑法犯/公務執行妨害/,その他の刑法犯//
その他の刑法犯/住居侵入/,その他の刑法犯//
その他の刑法犯/器物損壊/,その他の刑法犯//
粗暴犯/その他/,粗暴犯//
窃盗犯/その他/,窃盗犯//
知能犯/その他/,知能犯//
知能犯/偽造/その他,知能犯//
風俗犯/その他/,風俗犯//
その他の刑法犯/その他/,その他の刑法犯//
凶悪犯/強制性交等/,凶悪犯/不同意性交等/
凶悪犯/不同意性交等/,凶悪犯/不同意性交等/
風俗犯/不同意わいせつ/,風俗犯//
