年齢,年代
20歳,20代
21歳,20代
22歳,20代
23歳,20代
24歳,20代
25歳,20代
26歳,20代
27歳,20代
28歳,20代
29歳,20代
30歳,30代
31歳,30代
32歳,30代
33歳,30代
34歳,30代
35歳,30代
36歳,30代
37歳,30代
38歳,30代
39歳,30代
40歳,40代
41歳,40代
42歳,40代
43歳,40代
44歳,40代
45歳,40代
46歳,40代
47歳,40代
48歳,40代
49歳,40代
50歳,50代
51歳,50代
52歳,50代
53歳,50代
54歳,50代
55歳,50代
56歳,50代
58歳,50代
59歳,50代
61歳,60代
62歳,60代
63歳,60代
64歳,60代
66歳,60代
57歳,50代
60歳,60代
65歳,60代
67歳,60代
68歳,60代
69歳,60代
70歳,70代以上
72歳,70代以上
74歳,70代以上
77歳,70代以上
79歳,70代以上
19歳,10代(14歳以上)
71歳,70代以上
75歳,70代以上
76歳,70代以上
78歳,70代以上
80歳以上,70代以上
18歳,10代(14歳以上)
73歳,70代以上
16歳,10代(14歳以上)
00歳,0~13歳
01歳,0~13歳
02歳,0~13歳
03歳,0~13歳
04歳,0~13歳
05歳,0~13歳
06歳,0~13歳
07歳,0~13歳
08歳,0~13歳
09歳,0~13歳
10歳,0~13歳
11歳,0~13歳
12歳,0~13歳
13歳,0~13歳
14歳,10代(14歳以上)
15歳,10代(14歳以上)
17歳,10代(14歳以上)
21,20代
22,20代
23,20代
24,20代
25,20代
26,20代
27,20代
28,20代
29,20代
30,30代
31,30代
32,30代
33,30代
34,30代
35,30代
36,30代
37,30代
38,30代
39,30代
40,40代
41,40代
42,40代
43,40代
44,40代
45,40代
46,40代
47,40代
48,40代
49,40代
50,50代
51,50代
53,50代
54,50代
55,50代
56,50代
58,50代
61,60代
52,50代
57,50代
59,50代
60,60代
62,60代
63,60代
64,60代
65,60代
66,60代
67,60代
70,70代以上
71,70代以上
76,70代以上
20,20代
68,60代
69,60代
72,70代以上
73,70代以上
74,70代以上
75,70代以上
77,70代以上
78,70代以上
19,10代(14歳以上)
79,70代以上
0,0~13歳
1,0~13歳
10,0~13歳
11,0~13歳
12,0~13歳
13,0~13歳
14,10代(14歳以上)
15,10代(14歳以上)
16,10代(14歳以上)
17,10代(14歳以上)
18,10代(14歳以上)
2,0~13歳
3,0~13歳
4,0~13歳
5,0~13歳
6,0~13歳
7,0~13歳
8,0~13歳
9,0~13歳
0歳,0~13歳
1歳,0~13歳
2歳,0~13歳
3歳,0~13歳
4歳,0~13歳
5歳,0~13歳
6歳,0~13歳
7歳,0~13歳
8歳,0~13歳
9歳,0~13歳
不詳,不詳
