年,年代,人数,滞在日数,年代別平均滞在日数
2022,00~04歳,37338.0,330515.5,8.85198725159355
2022,05~09歳,55676.0,404192.5,7.2597259142179755
2022,10~14歳,58602.0,408772.0,6.975393331285622
2022,15~19歳,72703.0,515625.0,7.092210775346272
2022,20~24歳,173983.0,2069986.5,11.897636550697483
2022,25~29歳,321459.0,3699356.0,11.508018129839265
2022,30~34歳,339105.0,3275583.0,9.65949484672889
2022,35~39歳,274847.0,2459279.0,8.947810963918107
2022,40~44歳,248003.0,1934166.5,7.798964125433966
2022,45~49歳,216905.0,1609201.5,7.418923030819944
2022,50~54歳,208792.0,1562218.5,7.482176041227633
2022,55~59歳,175521.0,1494577.0,8.515089362526421
2022,60~64歳,143585.0,1351883.0,9.415210502489815
2022,65~69歳,91918.0,1010379.0,10.992177810657324
2022,70歳以上,81781.0,917600.0,11.220210073244397
2023,00~04歳,413028.0,2766172.5,6.697300183038438
2023,05~09歳,713624.0,4511496.0,6.3219510554577765
2023,10~14歳,789904.0,5049220.5,6.392195127509166
2023,15~19歳,943911.0,6382583.5,6.761848839562204
2023,20~24歳,1812613.0,12978818.5,7.160281041788843
2023,25~29歳,2860836.0,19422420.5,6.789071621022666
2023,30~34歳,2920894.0,19594750.5,6.708477096395829
2023,35~39歳,2304970.0,14780017.5,6.4122385540809645
2023,40~44歳,2116280.0,12769222.5,6.033805781843612
2023,45~49歳,1758614.0,10626602.5,6.042600877736672
2023,50~54歳,1691722.0,10409233.5,6.153040215827423
2023,55~59歳,1473337.0,9849179.0,6.684946485427298
2023,60~64歳,1280048.0,9168880.5,7.162919281151956
2023,65~69歳,892873.0,7056559.5,7.903206279056484
2023,70歳以上,845409.0,6951186.5,8.222276436612338
2024,00~04歳,608467.0,3878800.5,6.374709721316028
2024,05~09歳,1133219.0,6831461.0,6.028367861816648
2024,10~14歳,1268892.0,7784011.5,6.134494897910933
2024,15~19歳,1435699.0,9419742.5,6.561084530949732
2024,20~24歳,2610826.0,18063256.5,6.9185983669536
2024,25~29歳,4070501.0,26535327.5,6.518934032935995
2024,30~34歳,4251373.0,27075566.0,6.368663958678761
2024,35~39歳,3486167.0,21124422.0,6.059498010278911
2024,40~44歳,3174312.0,18229715.0,5.742886962592209
2024,45~49歳,2540510.0,14755112.5,5.807933249623107
2024,50~54歳,2340712.0,14039034.5,5.997762432969114
2024,55~59歳,2018892.0,12972838.0,6.4257216334504275
2024,60~64歳,1774059.0,12459015.5,7.0228867811048
2024,65~69歳,1268809.0,9550694.0,7.527290553582139
2024,70歳以上,1195630.0,9540465.0,7.9794459824527655
